sequence_id	class_fst_stage	class_snd_stage
c_000000000110	bacteria	n/a
c_000000000160	bacteria	n/a
c_000000000231	bacteria	n/a
c_000000000279	bacteria	n/a
c_000000000791	bacteria	n/a
c_000000000874	bacteria	n/a
c_000000000976	bacteria	n/a
c_000000001020	bacteria	n/a
c_000000001064	bacteria	n/a
c_000000001100	bacteria	n/a
c_000000001494	bacteria	n/a
c_000000001546	bacteria	n/a
c_000000001557	bacteria	n/a
c_000000001586	prokarya	n/a
c_000000001603	bacteria	n/a
c_000000001712	bacteria	n/a
c_000000001800	bacteria	n/a
c_000000001882	bacteria	n/a
c_000000002048	bacteria	n/a
c_000000002096	bacteria	n/a
c_000000002126	bacteria	n/a
c_000000002159	bacteria	n/a
c_000000002328	bacteria	n/a
c_000000002345	bacteria	n/a
c_000000002414	bacteria	n/a
c_000000002417	bacteria	n/a
c_000000002425	bacteria	n/a
c_000000002493	bacteria	n/a
c_000000002495	bacteria	n/a
c_000000002552	bacteria	n/a
c_000000002655	bacteria	n/a
c_000000002855	bacteria	n/a
c_000000002862	bacteria	n/a
c_000000002892	bacteria	n/a
c_000000002946	bacteria	n/a
c_000000002974	bacteria	n/a
c_000000003000	bacteria	n/a
c_000000003029	bacteria	n/a
c_000000003085	bacteria	n/a
c_000000003244	bacteria	n/a
c_000000003312	bacteria	n/a
c_000000003328	bacteria	n/a
c_000000003358	bacteria	n/a
c_000000003364	bacteria	n/a
c_000000003366	bacteria	n/a
c_000000003381	bacteria	n/a
c_000000003425	bacteria	n/a
c_000000003511	bacteria	n/a
c_000000003612	bacteria	n/a
c_000000003642	bacteria	n/a
c_000000003678	bacteria	n/a
c_000000003819	bacteria	n/a
c_000000003879	bacteria	n/a
c_000000003895	bacteria	n/a
c_000000004050	bacteria	n/a
c_000000004095	bacteria	n/a
c_000000004097	bacteria	n/a
c_000000004164	bacteria	n/a
c_000000004244	bacteria	n/a
c_000000004336	bacteria	n/a
c_000000004365	bacteria	n/a
c_000000004535	bacteria	n/a
c_000000004636	bacteria	n/a
c_000000004668	bacteria	n/a
c_000000004797	bacteria	n/a
c_000000004800	bacteria	n/a
c_000000004801	bacteria	n/a
c_000000004827	bacteria	n/a
c_000000004959	bacteria	n/a
c_000000004969	bacteria	n/a
c_000000004977	bacteria	n/a
c_000000005012	bacteria	n/a
c_000000005065	bacteria	n/a
c_000000005270	bacteria	n/a
c_000000005340	bacteria	n/a
c_000000005429	bacteria	n/a
c_000000005449	bacteria	n/a
c_000000005545	bacteria	n/a
c_000000005587	bacteria	n/a
c_000000005592	bacteria	n/a
c_000000005619	bacteria	n/a
c_000000005652	bacteria	n/a
c_000000005737	bacteria	n/a
c_000000005807	bacteria	n/a
c_000000005818	bacteria	n/a
c_000000005928	bacteria	n/a
