bin,bin_size(bp),particle_abundance,freeLiving_abundance,ratio,lifestyle,SRR3967558_0.8,SRR3967699_0.8,SRR3962771_0.8,SRR3960576_0.8,SRR3963622_0.2,SRR3960581_0.8,SRR3961604_0.8,SRR3965809_0.8,SRR3962680_0.2,SRR3962508_0.8,SRR3961935_0.2,SRR3963804_0.2,SRR3963498_0.8,SRR3965586_0.2,SRR3960580_0.8,SRR3965875_0.8,SRR3963982_0.2,SRR3968061_0.2,SRR3963458_0.2,SRR3966130_0.2,SRR3968062_0.2,SRR3965758_0.2,SRR3963658_0.8,SRR3963599_0.8,SRR3960684_0.8,SRR3967905_0.8,SRR3967690_0.2,SRR3965873_0.2,SRR3961906_0.2,SRR3963571_0.8,SRR3963449_0.2,SRR3962772_0.8,SRR3963457_0.2,SRR3964650_0.8,SRR3961047_0.2,SRR3960578_0.2,SRR3963805_0.8,SRR3965592_0.2,SRR3968060_0.8,SRR3965874_0.2,SRR3960579_0.2,SRR3960572_0.8,SRR3965676_0.8,SRR3967700_0.2,SRR3960577_0.2,SRR3968777_0.2,SRR3965647_0.8,SRR3967319_0.2,SRR3965585_0.8,SRR3961936_0.8,SRR3962773_0.2,SRR3963456_0.8,SRR3967025_0.8,SRR3962293_0.2,SRR3962777_0.8,SRR3968063_0.8,SRR3960575_0.2,SRR3968770_0.8
deep_MAG_0002,3413907,43.29913956,61.71170607,0.701635756,mixed,0.139192662,0.025952215,3.241436817,1.067240277,2.890261633,0.144348158,0.110094455,0.586263059,1.093777373,0.26574138,2.369183776,0.362795765,0.817588684,0.066018126,0.086951922,8.432519568,6.028000112,0.00343795,6.634440303,0.179503279,0.012270817,6.263233651,1.458770588,1.438957316,0.044367801,0.00164439,0.081340532,1.2589363,0.503315715,0.919355113,0.605746147,1.841168781,1.38843645,2.074137084,0.138271636,2.60010324,0.207358105,11.285258,0.009795432,9.081363683,0.047051279,0.431352074,8.606096666,0.009172416,0.597901331,0.000893156,4.7504374,0.132816687,0.075095758,4.556127334,2.953299638,0.879693797,0.162791535,4.9628896,0.880984225,0.043246983,0.161987473,0.000429982
deep_MAG_0008,2884344,0.449775051,2.072646,0.217005244,planktonic,0.006677804,0.003421169,0.001737906,0.00030254,0.028176351,0.000510882,0.040592303,0.061873279,0.003906145,0.009212406,0.017702178,0.000390297,0.008984902,0.280762208,0.000237013,0.001109769,0.044313526,0.13551517,0.040698943,0.473584722,0.017297224,0.069658346,0.006774912,0.08003049,0.006279191,0.024304474,0.012753676,0.35130793,0.061031133,0.01478413,0.035624177,0.009383949,0.0956583,0.00636694,0.152990174,0.001153755,0.000401435,0.00115764,0.003933889,0.00475677,0.068352102,0.000641942,0.000759106,0.011970943,0.00478445,0.001833099,0.008999175,0.029553179,0.049051272,0.008801886,0.062654929,0.007252191,0.070366046,0.063041077,0.000924531,0.015683962,0.002017555,0.000375557
deep_MAG_0011,6827226,3.467776184,0.139780058,24.8088049,particle,0.22901536,0.176041626,0.060976011,0.07962314,0.003127981,0.072254276,0.060517487,0.088999115,0.005629567,0.040809055,0.004157605,0.001615187,0.084757197,0.011000264,0.149385343,0.119138297,0.00803006,0.003800765,0.002887576,0.010167014,0.004136171,0.006098664,0.088998066,0.123228144,0.025121249,0.088680725,0.006147413,0.004690702,0.003199785,0.134117977,0.006151927,0.088554348,0.00383131,0.097574281,0.004991859,0.003293272,0.01688478,0.003519306,0.105350463,0.004278352,0.004635993,0.099450786,0.066062575,0.002061785,0.003989155,0.006620593,0.167235817,0.006588114,0.635459607,0.048286815,0.005937512,0.058656922,0.227274918,0.003640525,0.065165472,0.003074154,0.005551601,0.16708218
deep_MAG_0013,2454194,0.651298908,1.527946635,0.426257628,planktonic,0.028382392,0.031376442,0.006992153,0.014118864,0.0330313,0.00983719,0.051382339,0.012984575,0.058299024,0.017537386,0.042250341,0.016066476,0.028224706,0.050667121,0.02417018,0.013210455,0.041355279,0.089753178,0.050232464,0.024636143,0.062584411,0.052769472,0.022607537,0.01598177,0.020850635,0.050859755,0.039141675,0.03038793,0.046586622,0.023479313,0.045685521,0.023039889,0.056408026,0.008979413,0.176052575,0.037527596,0.006011889,0.031978438,0.026480132,0.044936736,0.182430021,0.018198154,0.009293324,0.021552755,0.037867519,0.02932798,0.027539211,0.036736486,0.033378328,0.023361913,0.083190578,0.00946492,0.014059852,0.069114341,0.009815195,0.051958355,0.037376626,0.01772264
deep_MAG_0015,610097,41.86780382,33.67113607,1.243433062,mixed,1.871819579,2.209638465,0.827413499,1.091390541,0.905784333,0.678446159,1.135758103,1.376809587,0.844077506,1.720897048,0.866804641,0.263775269,1.646888092,0.159611433,1.004936308,0.947755734,1.186847548,0.977650836,1.090878493,1.50619338,1.290779757,1.164218699,2.381184059,1.246938887,0.588670612,2.362861769,1.06526296,1.355532792,0.651400337,1.446413244,1.489737736,1.336480085,1.160635112,0.889906305,0.941153844,1.909774718,0.623352988,0.903961491,2.266962265,1.835971932,1.266075672,1.268680633,1.876539487,0.813525287,2.013085889,0.714605732,2.366551744,2.579617874,0.864166416,0.932240829,1.18495167,1.093527955,1.347999293,1.235598083,0.897724148,0.715672117,2.293623051,2.850177875
deep_MAG_0018,1951848,0.910214882,4.243815308,0.214480324,planktonic,0.062171729,0.051148109,0.012870212,0.094795552,0.182574096,0.015490752,0.007076097,0.014643408,0.08233427,0.020359506,0.200720111,0.030198945,0.034711871,0.054420024,0.03938079,0.021554291,0.109282246,0.156731359,0.082080227,0.105146988,0.16894685,0.162119175,0.038736014,0.014448828,0.002696045,0.029255337,0.275943619,0.069034342,0.132790766,0.039855479,0.085423623,0.011951958,0.205269172,0.008640956,0.039762022,0.048382354,0.007299538,0.294916374,0.040845058,0.19343331,0.039509732,0.020513593,0.029535542,0.110548295,0.203713585,0.345098275,0.02677065,0.304534028,0.00977002,0.011059263,0.118475634,0.009790081,0.024786131,0.081939354,0.008302876,0.152379874,0.360486531,0.049375321
deep_MAG_0019,2780895,4.217599186,5.112610112,0.824940508,mixed,0.040820474,0.045893429,0.284281179,0.095651109,0.086797726,0.182532748,0.121927937,0.096329314,0.184298732,0.257429759,0.300650834,0.02291951,0.06253014,0.153409053,0.29623012,0.140168639,0.163223455,0.005711906,0.158611391,0.077153556,0.037679031,0.220415544,0.086628457,0.061568773,0.056082721,0.003346904,0.058833043,0.149230834,0.452971623,0.215139835,0.118967352,0.348124494,0.26098835,0.122831958,0.366565856,0.232704563,0.034061879,0.143717018,0.023988714,0.14432723,0.186026461,0.246290416,0.153090259,0.012047124,0.178939028,0.005698893,0.246126066,0.04975194,0.121070176,0.435120468,0.462130713,0.069351212,0.053924194,0.610124857,0.269351769,0.04585225,0.268714489,0.001853793
deep_MAG_0020,1054802,0.274318931,2.946106414,0.093112363,planktonic,0.002347977,0.001542962,0.001274305,0.002818391,0.077666201,0.002843814,0.039467666,0.015418453,0.174899723,0.005339363,0.015128334,0.105121151,0.003212299,0.0338821,0.000772623,0.001814269,0.027605529,0.115406419,0.079749698,0.272912594,0.025690671,0.326469089,0.009680334,0.026919032,0.030855495,0.0142048,0.011859681,0.169134624,0.040700818,0.004917904,0.17787501,0.004031959,0.086204435,0.002251607,0.277175574,0.005034326,0.009458809,0.007102999,0.003088773,0.02184365,0.743990242,0.001625286,0.001445543,0.011840166,0.02336981,0.007257902,0.018133134,0.019135024,0.005612684,0.002794205,0.041893925,0.010124827,0.017731522,0.042532669,0.011201888,0.020681049,0.00462405,0.002707957
deep_MAG_0021,3892758,3.924545386,2.484720589,1.579471512,mixed,0.000109056,0.000119383,0.309372934,0.045906753,0.014657839,0.684024026,0.009997087,0.00026639,0.153741284,0.107735754,0.040595334,0.010621326,0.004410473,0.000247884,0.000698616,0.001018468,0.498885576,5.07E-05,1.493961269,0.000131173,0.000284704,0.000143043,0.151971968,0.225306556,0.033925049,9.48E-05,0.000179962,0.0001705,0.038561349,0.047897506,0.015515609,0.151811984,0.005402752,0.852470865,0.003547465,0.030362177,0.007061592,0.000894382,0.000315153,0.000526826,0.069255593,0.010331244,0.000305981,0.000137553,0.005821366,0.000130621,0.000230048,0.000113273,0.000506137,0.127302887,0.067983448,0.189829984,0.00024984,0.03211182,0.959683998,0.00123457,0.000685758,0.000356301
deep_MAG_0023,4049135,2.153582311,3.323474107,0.647991301,mixed,0.009728901,0.032501534,0.003533959,0.370613106,0.019007817,0.005906765,0.002199573,0.023281496,0.001547041,0.001816809,0.006694468,0.000581853,0.010232958,0.859656513,0.008563123,0.146831785,0.324189098,0.002728166,0.005089863,0.726448751,0.086102975,0.031109551,0.018056603,0.007079096,0.004044644,0.003920073,0.060674402,0.039039621,0.002010843,0.011065436,0.001266143,0.003354322,0.011241275,0.194142288,0.001677494,0.400074713,0.000834206,0.200816765,0.011402131,0.235246082,0.013117764,0.077460177,0.103315188,0.006720886,0.194252473,0.015079527,0.0175676,0.009706311,0.744242205,0.009219253,0.008224546,0.001409637,0.262665081,0.017238,0.001099882,0.048426538,0.043931166,0.019067942
