Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Lithomelissa_setosa-1545004at2759-S1	11	360	2	362	384	94.27	99.45
other_MGCollapse_EASP3-11	1	98	3	101	7437	1.36	97.03
other_MGCollapse_EASP3	18	1041	33	1074	13242	8.11	96.93
other_MGCollapse_EASP3-93	1	98	3	101	3261	3.1	97.03
other_MGCollapse_EASP3-135	1	99	2	101	2715	3.72	98.02
other_MGCollapse_EASP3-59	1	72	3	75	4011	1.87	96.0
other_MGCollapse_EASP3-36	1	98	3	101	4998	2.02	97.03
greenalgae-Micromonas_pusilla-392369at2759-S1	2	163	5	168	1638	10.26	97.02
other_MGCollapse_EASP3-111	1	100	1	101	2940	3.44	99.01
other_MGCollapse_EASP3-164	4	326	12	338	2376	14.23	96.45
other_MGCollapse_EASP3-414	1	98	3	101	1197	8.44	97.03
other_MGCollapse_EASP3-167	2	96	2	98	2358	4.16	97.96
other_MGCollapse_EASP3-264	4	185	5	190	1695	11.21	97.37
other_MGCollapse_EASP3-585	2	153	5	158	738	21.41	96.84
other_MGCollapse_EASP3-157	1	97	3	100	2475	4.04	97.0
other_MGCollapse_EASP3-415	2	169	6	175	1197	14.62	96.57
other_MGCollapse_EASP3-131	1	99	2	101	2724	3.71	98.02
other_MGCollapse_EASP3-549	2	111	3	114	861	13.24	97.37
other_MGCollapse_EASP3-516	5	272	8	280	921	30.4	97.14
other_MGCollapse_EASP3-565	2	175	7	182	783	23.24	96.15
other_MGCollapse_EASP3-553	1	98	3	101	843	11.98	97.03
other_MGCollapse_EASP3-640	1	97	3	100	606	16.5	97.0
other_MGCollapse_EASP3-698	1	98	3	101	489	20.65	97.03
other_MGCollapse_EASP3-734	1	98	3	101	267	37.83	97.03
other_MGCollapse_EASP3-462	1	98	3	101	1047	9.65	97.03
other_MGCollapse_EASP3-16	2	175	0	175	7107	2.46	100.0
other_MGCollapse_EASP3-348	2	178	0	178	1407	12.65	100.0
other_MGCollapse_EASP3-438	1	101	0	101	1122	9.0	100.0
other_MGCollapse_EASP3-151	2	171	0	171	2550	6.71	100.0
other_MGCollapse_EASP3-128	2	179	0	179	2760	6.49	100.0
protist-Bicosta_minor-39650at2759-S1	40	2972	7	2979	7035	42.35	99.77
protist-Bicosta_minor-87842at2759-S1	18	1107	4	1111	3081	36.06	99.64
protist-Bicosta_minor-156083at2759-S1	29	2226	4	2230	7609	29.31	99.82
protist-Bicosta_minor-160593at2759-S1	123	3717	85	3802	9441	40.27	97.76
protist-Bicosta_minor-166920at2759-S1	14	980	5	985	4188	23.52	99.49
protist-Bicosta_minor-261419at2759-S1	13	784	3	787	2946	26.71	99.62
protist-Bicosta_minor-293315at2759-S1	17	964	6	970	4593	21.12	99.38
protist-Bicosta_minor-418107at2759-S1	2	192	0	192	1416	13.56	100.0
protist-Bicosta_minor-543764at2759-S1	1	101	0	101	1467	6.88	100.0
protist-Bicosta_minor-551907at2759-S1	25	1746	8	1754	4434	39.56	99.54
protist-Bicosta_minor-582756at2759-S1	14	871	3	874	1629	53.65	99.66
protist-Bicosta_minor-621827at2759-S1	5	373	0	373	1551	24.05	100.0
protist-Bicosta_minor-679771at2759-S1	4	259	0	259	1191	21.75	100.0
