bin,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_gene_median,DCM_gene_median,MES_gene_median,deep_gene_median,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
IN-1077,0,9,0,0,nan,0.1121816800337358,nan,nan,0.10460845066489964,0.091917691014113,1.4894817857196327,nan
IN-32,17,33,40,44,0.1241209582057235,0.0712058032945619,0.0665826929738575,0.20010375450386908,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
IN-47,0,10,0,0,nan,0.053612429280476284,nan,nan,0.04110653260146743,0.08261533797926626,0.022159800104096176,nan
IN-924,6,6,0,0,0.12620969702529716,0.10333052712396963,nan,nan,0.0822839864688724,0.08598549960776725,0.0557001701691582,3.4424603633595376
IN-929,4,10,0,0,0.04193509522355325,0.04358355984815145,nan,nan,0.0304305189957277,0.04950306689820085,0.9083582157602116,nan
SP-1,0,18,0,0,nan,0.06126552050979176,nan,nan,nan,0.0592371523748963,0.023455126832256,nan
SP-230,5,7,0,0,0.0542283827128515,0.0554163602295521,nan,nan,0.0854333087045829,0.0905705145029722,0.0034701029612556004,nan
SP-259,0,8,0,0,nan,0.02840169700874985,nan,nan,0.109730106449759,0.0405075243950985,0.1187149684594459,nan
SP-288,0,7,0,0,nan,0.0927655095657808,nan,nan,0.508213572815866,0.085152450118693,0.018333307654154998,0.7713907157721143
SP-3030,0,6,7,0,nan,0.10623312166743884,0.1103923918244426,nan,0.00777758714001965,0.0600396483820349,0.0630836393988653,nan
NP-20,0,7,7,0,nan,0.1146851126498152,0.0615083902969098,nan,0.1382286454572126,0.07789436560059443,0.0883555455046344,nan
NP-54,0,12,12,0,nan,0.2032896165001365,0.15630597980591796,nan,nan,0.13959770996054194,0.138667926033518,0.04028475235920295
NP-937,0,6,5,0,nan,0.20481159197096407,0.15671603734795286,nan,nan,0.13014311898866174,0.12680247259719238,nan
NP-939,0,6,8,0,nan,0.20165486553486395,0.07753376234621352,nan,0.01407593772862115,0.0572632239907279,0.0492308907855098,0.1280999366513094
NP-966,0,6,11,0,nan,0.2139061276004433,0.2410543959629405,nan,nan,0.1949563060072615,0.1843128209857418,0.0914215597804695
NP-969,11,8,0,0,0.1492201817053053,0.09926625773853864,nan,nan,0.14213274164246875,0.09727353943191057,0.09580727198959564,nan
SAT-1,11,16,20,0,0.0614192933785335,0.07343470867889065,0.07436338010210555,nan,0.044045231760118,0.0472388017215544,0.04896579184733825,0.0903525308729376
SAT-1507,0,9,0,0,nan,0.1459587207799823,nan,nan,0.0304000791677138,0.10620706683197204,0.0581721108897972,nan
SAT-1608,2,6,0,0,0.0878022451959275,0.08363875148556978,nan,nan,0.10353792896024164,0.0694280351743509,0.3669518701559027,nan
SAT-1614,0,6,0,0,nan,0.12709017658940214,nan,nan,0.8886313393996959,0.08606936117191269,1.8646551961038684,nan
NAT-10,0,11,0,0,nan,0.12140424417081401,nan,nan,0.08216498250832564,0.054386441996117904,0.03495656893879502,0.3314500941619543
NAT-255,7,7,7,0,0.1053024881445994,0.0878841847404489,0.0646198745829494,nan,0.07138131904553305,0.08578942208192895,0.0646198745829494,nan
NAT-282,0,10,15,0,nan,0.03325073282274585,0.04740882387197435,nan,0.0058462164689949,0.029435762998973998,0.03675279004974842,nan
NAT-284,9,7,0,0,0.11396675566793064,0.1426876433208208,nan,nan,0.07963492790128804,0.083257782281085,0.0450892965519471,1.2379502182605089
NAT-39,9,8,0,0,0.14111242639637167,0.08553598558977178,nan,nan,0.098307792741505,0.09742092202961317,0.0513881027232573,nan
