contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599362,pnps_ERR599371,pnps_ERR599376,pnps_ERR599339,pnps_ERR599088,pnps_ERR599023,pnps_ERR594389,pnps_ERR599068,pnps_ERR599034,pnps_ERR598972,pnps_ERR599018,pnps_ERR599012,pnps_ERR598982,pnps_ERR599150,pnps_ERR599057,pnps_ERR594414,pnps_ERR594362,pnps_ERR599173,pnps_ERR594392,pnps_ERR598970,pnps_ERR599146,pnps_ERR599351,pnps_ERR599058,pnps_ERR599025,pnps_ERR594320,pnps_ERR599110,pnps_ERR594324,pnps_ERR594359,pnps_ERR594361,pnps_ERR594385,pnps_ERR599021,pnps_ERR599107,pnps_ERR594291,pnps_ERR598990,pnps_ERR598973,pnps_ERR598979,pnps_ERR599026,pnps_ERR598960,pnps_ERR594382,pnps_ERR599164
c_MHASMcontig_48918,EAC,122869,non-integron,R,General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2944607909824096,,
c_MHASMcontig_48918,EAC,122870,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2163794633799961,,
c_MHASMcontig_48918,EAC,122871,integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38495288776355774,,
c_MHASMcontig_50867,EAC,128049,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05891804278715398,,
c_MHASMcontig_54452,EAC,136495,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6702983136370007,,
c_MHASMcontig_83138,EAC,191382,non-integron,F!!!V,Nucleotide transport and metabolism!!!Defense mechanisms,,,,,,0.159795810565991,,0.03160573830602046,,,,,,0.13101204190194862,0.15941523300007301,,,0.16273632980654484,,,0.1110600191351356,,0.2718520126610537,,,0.13300124144561762,,,,,,,,0.16921551559169207,,,,,,
c_MHASMcontig_83138,EAC,191383,non-integron,H,Coenzyme transport and metabolism,,,,,,0.2476029207838217,,0.17389640470486545,,0.31348452337689325,,0.1190502123496394,0.2827561252771649,0.20556283240435305,0.14562020045490615,,,0.21333598287330244,,,0.24747985747064444,,0.3491476553575437,,,0.21114359554290613,,,,,,,,0.2111640047704115,0.07104758816333341,,0.32521187166785137,,,
c_MHASMcontig_83138,EAC,191387,non-integron,E,Amino acid transport and metabolism,,,,,,0.0029098239777736517,,,,,,,,0.004693375440867172,,,,0.0,,,,,,,,0.005351541530606365,,,,,,,,,,,,,,
c_MHASMcontig_83138,EAC,191388,non-integron,O!!!T,"Posttranslational modification, protein turnover, chaperones!!!Signal transduction mechanisms",,,,,,1.7555713244576263,,,,,,,,0.2282232776795051,,,,,,,,,1.5658403148923823,,,0.3372620119441444,,,,,,,,,,,,,,
c_MHASMcontig_94493,EAC,206226,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,0.0425203197928412,0.10652368751067473,,,,0.02196016052162224,0.1366559772928226,0.029456438134781056,,0.12810633336363147,0.07690621904991511,,,,,0.06830303826157362,0.14033224548426554,,0.14217919555922112,0.032659007030827754,,0.17743813260848967,,,,,,,,0.09251290867596744,,0.12135130339123515,0.07520625763496472,,,
c_MHASMcontig_94493,EAC,206227,non-integron,,,,,,,,0.06933457423268581,,,,0.01892842003136649,,,,0.0684722084404679,,,,,,,0.021805518982903442,,0.04279912095339159,,,0.06453807150054926,,,,,,,,0.02186462695431489,,0.026935123233429614,0.039449846444427436,,,
c_MHASMcontig_94493,EAC,206228,integron,F,Nucleotide transport and metabolism,,,,,,0.14844787425311648,,,,,,,,0.11171688098589133,,,,,,,0.10889365666221054,,0.06826631446998528,,,0.10701959502393213,,,,,,,,0.09655125146252556,,,,,,
c_MHASMcontig_94493,EAC,206229,non-integron,C,Energy production and conversion,,,,,,0.0,,,,,,,,0.1224607868899742,,,,,,,0.0706922514433819,,0.07713034743944971,,,0.1102775459521002,,,,,,,,0.16203451626336474,,0.25952663875387216,0.04359876087026629,,,
c_MHASMcontig_113490,EAC,234121,integron,,,,5.1566301091587885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_113490,EAC,234122,integron,,,,0.16670702951654615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_113490,EAC,234127,non-integron,,,,1.0228889485171175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_118332,EAC,253923,non-integron,,,,0.2430156075587869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_120625,EAC,262153,integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,,,,,,0.06449469362232225,,,,,,,,,,,,,,,,,,
c_MHASMcontig_120625,EAC,262154,integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,1.3819268295938405,,,,,,,,,,,,,,,,,,
c_MHASMcontig_120625,EAC,262160,non-integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,,,,,0.13372820576017405,,,,,,,,,,,,,,,,,,
c_MHASMcontig_126185,EAC,281631,non-integron,,,0.12688842255001312,,0.1055979622844936,0.10495255751529207,,,0.0681954585127484,,,,,0.13697344910042245,,0.09550642889370936,0.15737577249660956,0.19568628595483947,0.019895877136439758,,0.12505171258425693,,,,,,0.10510492908254318,,0.08478268835595804,0.21767001114827336,0.16043973395361255,0.14379992900071942,,,0.09902914095794343,,,,0.1299715498155309,,0.4731337494587994,
c_MHASMcontig_126185,EAC,281633,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02748852136964041,,,,,,,
c_MHASMcontig_129502,EAC,290656,non-integron,,,,,,7.571318313793249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_129502,EAC,290658,non-integron,,,,,0.1058754848917925,0.09237140949788904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1512831052650856,,,,,,,
c_MHASMcontig_130166,EAC,292412,non-integron,P,Inorganic ion transport and metabolism,,,0.14946605663135254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_135058,EAC,305517,non-integron,,,0.051774623568288734,,0.040204317791716265,0.0263443650291375,,,,,,,,,,,,,,,,,,,,,0.04203546469262754,,0.029234830819324993,,,0.04554835841250757,,,0.041430869264537984,,,,,,,
c_MHASMcontig_135058,EAC,305518,non-integron,X,"Mobilome: prophages, transposons",0.032530184866535736,,0.03367006517737682,0.03460418017910468,,,,,,,,,,,,,,,,,,,,,0.016326301524795302,,0.03419957263066451,0.0,0.02662211790890549,0.027057275252674068,,,0.02187730995731576,,,,,,,
c_MHASMcontig_135058,EAC,305519,integron,,,,,0.09739461386801863,,,,,,,,,,,,,,,,,,,,,,,,0.07041664330008544,,,,,,,,,,,,,
c_MHASMcontig_135058,EAC,305520,integron,X,"Mobilome: prophages, transposons",0.05807889950046985,,0.06327287634883344,0.04668462362089238,,,,,,,,,,,,,,,,,,,,,0.054781930264600084,,0.035054912317553734,,,0.005752766354556875,,,0.022615981634373176,,,,,,,
c_MHASMcontig_135058,EAC,305521,non-integron,,,0.08951769293325272,,,0.14941727898741222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_137690,EAC,312325,non-integron,K,Transcription,,,0.07687103764039603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_137690,EAC,312326,non-integron,S,Function unknown,,,0.17466251636083396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317172,non-integron,V,Defense mechanisms,,,0.19221184439928807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317173,non-integron,V,Defense mechanisms,,,0.23385623809571035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317174,non-integron,J!!!H!!!O,"Translation, ribosomal structure and biogenesis!!!Coenzyme transport and metabolism!!!Posttranslational modification, protein turnover, chaperones",,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317175,non-integron,R,General function prediction only,,,0.08341977742193486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317177,integron,X,"Mobilome: prophages, transposons",,,0.1693898016096642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317179,integron,V,Defense mechanisms,,,0.026934695683449486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317180,integron,S,Function unknown,,,3.333564109664921,,,,,,,,,,,,,,,,,,,0.0466048709977172,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317182,integron,X,"Mobilome: prophages, transposons",,,1.5006906461687808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_139508,EAC,317183,integron,K,Transcription,,,0.09584443185792907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_146792,EAC,336873,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,0.002859738398930576,,,,,,,,,,,,,,,,,,
c_MHASMcontig_146792,EAC,336874,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,0.092699986305861,,,,,,,,,,,,,,,,,,
c_MHASMcontig_161864,EAC,374543,non-integron,,,,,,,,,,,,,,,,,0.5082193471573899,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_161864,EAC,374544,integron,E,Amino acid transport and metabolism,,,,,,,,,,,,0.2971964179777904,,,0.07542163783193323,,,,,,,,0.08597328457636877,,,,,,,,,,,,,,0.1276038746400794,,,
c_MHASMcontig_161864,EAC,374545,integron,E!!!E,Amino acid transport and metabolism!!!Amino acid transport and metabolism,,,,,,,,,,,,,,,0.03443792840712582,,,,,,,,0.016167833250531238,,,,,,,,,,,,,,,,,
c_MHASMcontig_192529,EAC,408357,integron,G,Carbohydrate transport and metabolism,,,,,,0.17650860587893671,,,,,,,,,,,,,,,,,0.0,,,0.07980136714251324,,,,,,,,,,,0.04899661557590907,,,
c_MHASMcontig_216980,EAC,437118,non-integron,X,"Mobilome: prophages, transposons",,,0.049678227546902855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_226211,EAC,451525,non-integron,,,,,,,,0.060251401757842424,,,,,,,,0.07089987137524162,,,,,,,0.012729631808513171,,,,,0.09237781898043196,,,,,,,,0.05375600571776008,,,0.053913075139687,,,
c_MHASMcontig_226211,EAC,451526,integron,F,Nucleotide transport and metabolism,,,,,,0.1322051946958527,,,,,,,,0.09852728492048593,,,,,,,0.05838663382682096,,0.0054975261132490716,,,0.08846200943130478,,,,,,,,0.08043937962338657,,,0.049134719947268465,,,
c_MHASMcontig_226211,EAC,451527,non-integron,C,Energy production and conversion,,,,,0.06950229092097955,0.08671063937964396,,,,0.0626704946143029,0.07593793774735083,,,0.08147336694809655,,,,0.03180521643885658,,0.05395859953618589,0.08354402916664916,,,0.08334191480017271,,0.09440701603618867,,,,,,,0.04756245903478614,0.07753037661130248,,0.03952271398517919,0.0,,,
c_MHASMcontig_299216,EAC,583590,non-integron,,,0.012668166823358796,,0.02490878617844848,0.006001032633971712,,,,,,,,,,,,,,,,,,,,,0.006981793898469189,,0.014214568674540129,,,,,,0.013612012052867415,,,,,,,
c_MHASMcontig_299216,EAC,583591,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09869236431297733,,,,,,0.09525381880921564,,,,,,,
c_MHASMcontig_299216,EAC,583592,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0061810193882148355,,,,,,,,,,,,,
c_MHASMcontig_299216,EAC,583594,integron,L,"Replication, recombination and repair",0.05206417685846207,,0.04560906491494416,0.05775080469749756,,,,,,,,,,,,,,,0.018677784267610187,,,,,,0.03748335437593912,,0.03508538416649471,,,,,,0.02453538235734138,,,,,,,
c_MHASMcontig_299216,EAC,583595,integron,,,0.03854121157672137,,0.06703592151537735,0.04473921265850095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_299216,EAC,583596,non-integron,,,0.016663283530788834,,0.01952825087370779,0.015132501104203113,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.010363499753866866,,,,,,,
c_MHASMcontig_300847,EAC,587440,non-integron,,,0.34268211082531264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_300847,EAC,587445,integron,,,0.11983571204487213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_345349,EAC,636271,non-integron,,,,,,,,8.772885709044239,,,,,,3.197939330916196,,,6.992113660902108,,,,,,,,9.855449053666042,,,9.325430375898211,,,,,,,,,,,2.0807996661883688,,,
c_MHASMcontig_345349,EAC,636272,non-integron,,,,,,,,,,,,,,0.1147972967151233,,,0.1044548563200044,,,,,,,,0.11500060517360905,,,,,,,,,,,,,,,,,
c_MHASMcontig_345349,EAC,636273,integron,R,General function prediction only,,,,,,,,,,,,0.030315346085441588,,,0.028828688440661027,,,,,,,,0.020442901621565028,,,0.02367592395293229,,,,,,,,,,,0.029476632063841636,,,
c_MHASMcontig_345349,EAC,636274,integron,,,,,,,,,,,,,,,,,,,,,,,,,0.5465269247670479,,,,,,,,,,,,,,,,,
c_MHASMcontig_354533,EAC,652726,non-integron,,,0.09573941618974913,,0.18575453746564968,0.08639141738676848,,,,,,,,,,,,,,,,,,,,,,,,,,0.16906852761955252,,,,,,,,,,
c_MHASMcontig_354533,EAC,652727,integron,,,,,,0.5996061202848058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_354533,EAC,652729,non-integron,,,,,,0.11272664854380865,,,,,,,,,,,,0.10291479231098163,0.04624770130596073,,0.059473924541611864,,,,,,0.09438177015374967,,0.14701068378374454,0.027408361602509958,0.08729760375576115,0.1457032724275235,,,0.1544233766847427,,,,,,0.0233353215599069,
c_MHASMcontig_354533,EAC,652730,integron,O,"Posttranslational modification, protein turnover, chaperones",0.09888276394327968,,0.015043512191871769,0.07709593319685881,,,,,,,,,,,,0.2579275135635383,,,0.031018253236730995,,,,,,0.10435502599001828,,0.10177487198479672,0.2364217603241197,0.14065530675542365,0.1244614092216174,,,0.129455603892471,,,,,,0.19156500313590655,
c_MHASMcontig_357478,EAC,659145,non-integron,,,0.08407735753689738,,0.10212226033473554,0.09782865675795913,,,,,,,,,,,,0.1226261745232526,,,0.09099086507933736,,,,,,0.05822802221114205,,0.08814865506188044,0.10534617488816593,0.12399863560525405,0.2241864618165544,,,0.07623635354937547,,,,,,0.06574751745556548,
c_MHASMcontig_357478,EAC,659146,non-integron,,,0.1270355010858469,,0.1558077551298618,0.1360525548675452,,,,,,,,,,,,,,,0.1077250550562641,,,,,,,,0.08509630885557097,,,,,,0.2746697961852351,,,,,,,
c_MHASMcontig_357478,EAC,659148,integron,,,,,0.03149613125555368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_MHASMcontig_359771,EAC,664380,non-integron,,,,,,0.0073196834128336314,,,,,,,,,,,,,,,,,,,,,0.0,,0.007930055894567295,,0.003363957973039621,0.0,,,,,,,,,,
c_MHASMcontig_359771,EAC,664381,non-integron,,,,,,0.1075021491183381,,,,,,,,,,,,0.0894094057601166,,,0.08851783429133639,,,,,,0.1011352294663614,,0.07307845549547325,0.08539555857628618,0.11385338973416395,0.06537119615208505,,,0.11845406621638507,,,,,,0.10646382294707454,
c_MHASMcontig_359771,EAC,664382,non-integron,,,,,,0.16469738215646607,,,,,,,,,,,,,,,,,,,,,,,0.09424801275622674,,,,,,,,,,,,,
c_MHASMcontig_359771,EAC,664383,integron,,,,,,0.1038358018229825,,,,,,,,,,,,0.19529075558711653,,,0.6845014245014248,,,,,,0.14832943264444834,,0.24692711649963514,0.09507351539513252,0.17016815646837272,0.3467914315857072,,,0.16816877570696956,,,,,,,
c_MHASMcontig_359771,EAC,664384,integron,,,,,,0.11366832449961264,,,,,,,,,,,,0.07698478677265895,,,,,,,,,0.057070185119207084,,0.1116766623346138,0.0975937925462636,0.07169445961209328,,,,0.0933614072227892,,,,,,,
c_MHASMcontig_359771,EAC,664385,integron,,,,,,0.14485353406694487,,,,,,,,,,,,,,,,,,,,,0.21719196701924368,,0.14417324037941842,0.2668490062397901,0.17897299705230196,,,,0.0930596162551398,,,,,,0.03929111272450283,
c_MHASMcontig_359771,EAC,664386,integron,,,,,,0.0883795126753401,,,,,,,,,,,,,,,,,,,,,0.083131810271304,,0.09374398636451094,0.09124759003340824,0.09045529424835176,,,,0.10875757244951388,,,,,,,
c_MHASMcontig_359771,EAC,664387,integron,,,,,,0.05639578988296839,,,,,,,,,,,,0.15373539841076386,,,,,,,,,0.02397695923227151,,0.0880473128554077,0.035484200409250745,0.06322245684244852,0.1955183459965641,,,0.06507877782624794,,,,,,0.01387958837349724,
c_MHASMcontig_359771,EAC,664388,non-integron,,,,,,0.14000305116539313,,,,,,,,,,,,0.10907016060862232,,,,,,,,,0.1301098901098903,,0.1354140131857579,0.07553850847981447,0.14475003074319331,,,,,,,,,,,
c_MHASMcontig_384706,EAC,718125,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,0.023689914164308202,,,,,,,,,,,,,,,,,,
c_MHASMcontig_444529,EAC,799022,integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21818909251450985,,
c_MHASMcontig_446279,EAC,801080,integron,Q!!!R,"Secondary metabolites biosynthesis, transport and catabolism!!!General function prediction only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03703011807106329,,
c_MHASMcontig_446279,EAC,801081,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3235972920649451,,
c_MHASMcontig_446595,EAC,801343,non-integron,H!!!R,Coenzyme transport and metabolism!!!General function prediction only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17635466000962655,,
c_MHASMcontig_451691,EAC,807144,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07365486935180816,,0.05031451534518607
c_MHASMcontig_451691,EAC,807145,non-integron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013836125055536096,,0.0621718351781753
c_MHASMcontig_474480,EAC,833073,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04434520948888447,,0.034554374506038696
c_MHASMcontig_474480,EAC,833074,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07468161708618226,,0.06730946858312788
c_MHASMcontig_489987,EAC,857175,non-integron,,,0.005133201781044393,,,0.03375824730063242,,,,,,,,,,,,,,,0.053063571294793575,,,,,,0.07386925541452888,,0.051315200226547036,,,0.03846007104971776,,,0.07770573660686153,,,,,,,
c_MHASMcontig_511963,EAC,896042,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,0.00480135723642664,,0.007970824082469758,0.014689815771379925,,,,,,,,0.009300038708649616,,,0.0036728942172853103,,,,,,,,,,,0.004521128624863449,,,
