bin,depth,Percent Complete,Percent Contamination,Strain Heterogeneity,GC_content,contigs count,Max. contig length (bp),N50 contig length (bp),Mean contig length (bp),bin_size(Mbp),Coding density,Data repository hosting the genome assembly reported in this study,GenBank Accession ID for newly reported draft genomes,Matches Delmont et al. (2017) genome,Matches Tully et al. (2017) genome,Domain,Phylum,Class,Order,Family,Genus,Species,Phylogeny source method,ocean,Total ORFs,Transposases,Integrases,Percent Transposases,Percent Integrases,Highest Relative Abundance,complete genome size (Mbp),tara_station,size_fraction,biofilm_count,percent_biofilm,defense_count,percent_defense,prot,prot_normalized,bact,bact_over_prot,lifestyle
ARS-1,MES,97.19,9.64,70.0,31.21,60,"87,593","30,360","21,678",1.3,95.3,NCBI Assembly,NZES00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,,Hug et al. phylogenetic marker set,ARS,1375,0,11,0.0,0.008,tara039_bact_meso,1.3375861709999999,tara039,bact,1,0.0007272730000000001,18,0.01309090909090909,17.296278226000002,0.830116577941607,71.186533961,0.830116577941607,mixed
ARS-100,DCM,72.06,1.78,100.0,55.03,96,"72,109","21,801","18,695",1.79,95.52,NCBI Assembly,NZEQ00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,,,16S rRNA - SILVA SSURef128,ARS,1546,0,2,0.0,0.001293661,tara036_bact_dcm,2.484041077,tara036,bact,0,0.0,20,0.0129366106080207,0.04510299699999999,10.750193019736804,2.4039629,10.750193019736804,free_living
ARS-1004,SRF,72.61,3.89,15.0,41.8,99,"108,141","20,382","15,391",1.52,95.1,NCBI Assembly,NZEP00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_E,,Hug et al. phylogenetic marker set,ARS,1431,0,12,0.0,0.008385744,tara039_girus_surface,2.093375568,tara039,girus,0,0.0,24,0.016771488469601678,0.17649097800000002,7.174866604984973,6.278305419,7.174866604984973,mixed
ARS-1009,SRF,80.9,9.11,32.14,38.74,138,"118,312","32,200","22,912",3.16,94.35,NCBI Assembly,NZEL00000000,n.a.,n.a.,Bacteria,Verrucomicrobia,Verrucomicrobiae,novelOrder_A,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,2496,0,2,0.0,0.000801282,tara038_prot_surface,3.90605686,tara038,prot,1,0.000400641,43,0.017227564102564104,4.14500303,0.6365963216244717,13.082630493,0.6365963216244717,mixed
ARS-1012,SRF,91.25,6.81,62.5,52.91,121,"167,457","43,231","27,807",3.36,92.45,NCBI Assembly,NZEI00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,novel_order_E1,,,,Hug et al. phylogenetic marker set,ARS,3149,0,3,0.0,0.0009526830000000001,tara038_prot_surface,3.682191781,tara038,prot,2,0.000635122,81,0.025722451571927596,0.7749487210000001,1.3455772245891502,5.169966053999999,1.3455772245891502,mixed
ARS-1018,MES,76.79,3.27,0.0,33.71,128,"88,473","17,833","14,825",1.9,94.61,NCBI Assembly,NZEE00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,2110,1,3,0.000473934,0.001421801,tara039_girus_meso,2.474280505,tara039,girus,0,0.0,14,0.006635071090047393,0.036236904,0.4026355053576699,0.072338459,0.4026355053576699,mixed
ARS-1019,DCM,88.66,5.9,69.23,55.94,63,"111,961","51,072","35,876",2.26,91.34,NCBI Assembly,NZED00000000,n.a.,n.a.,Bacteria,Cyanobacteria,,Synechoccales,Synechoccaceae,Synechococcus,,Alternative phylogenetic marker set,ARS,2515,1,3,0.000397614,0.001192843,tara038_prot_dcm,2.549063839,tara038,prot,6,0.002385686,31,0.012326043737574552,2.280257541,0.6046377768876018,6.835735919000001,0.6046377768876018,mixed
ARS-102,MES,84.03,0.0,0.0,34.55,20,"139,818","56,427","43,225",0.86,89.79,NCBI Assembly,NZEC00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,952,0,1,0.0,0.00105042,tara037_girus_meso,1.023444008,tara037,girus,0,0.0,9,0.009453781512605041,0.31322786199999997,1.7974709501845918,2.7914404310000003,1.7974709501845918,mixed
ARS-1030,DCM,90.6,6.32,84.62,65.84,115,"107,664","29,545","22,821",2.62,94.32,NCBI Assembly,NZDT00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_C,,Hug et al. phylogenetic marker set,ARS,2612,0,0,0.0,0.0,tara039_bact_dcm,2.89183223,tara039,bact,0,0.0,60,0.022970903522205207,0.251951269,6.432244398383008,8.034987133000001,6.432244398383008,mixed
ARS-1032,MES,91.84,6.52,4.76,63.92,245,"81,462","21,107","17,599",4.31,91.46,NCBI Assembly,NZDS00000000,TARA_RED_MAG_00026,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,,Hug et al. phylogenetic marker set,ARS,4079,22,2,0.0053934790000000005,0.000490316,tara038_prot_meso,4.692944251,tara038,prot,4,0.000980633,72,0.017651385143417506,0.576884666,0.3770093615913098,1.078318926,0.3770093615913098,mixed
ARS-1034,DCM,90.29,5.21,55.56,44.86,82,"139,868","38,545","22,716",1.86,94.78,NCBI Assembly,NZDQ00000000,n.a.,n.a.,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_D,,Hug et al. phylogenetic marker set,ARS,1817,0,3,0.0,0.0016510729999999999,tara039_bact_dcm,2.060028796,tara039,bact,0,0.0,50,0.0275178866263071,0.563349299,12.683502667993407,35.426076892999994,12.683502667993407,free_living
ARS-1036,MES,93.52,5.71,83.78,64.03,116,"98,031","31,600","24,530",2.85,92.34,NCBI Assembly,NZDO00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,novel_genusE9,,Hug et al. phylogenetic marker set,ARS,2790,3,12,0.001075269,0.004301075,tara038_girus_meso,3.0474764760000004,tara038,girus,9,0.003225806,62,0.022222222222222223,2.764722579,0.307612649816284,4.2165946000000005,0.307612649816284,mixed
ARS-1037,MES,74.52,4.13,91.84,61.23,106,"140,298","39,485","26,015",2.76,91.06,NCBI Assembly,NZDN00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,,,Hug et al. phylogenetic marker set,ARS,2539,11,2,0.004332414000000001,0.000787712,tara038_girus_meso,3.7037037039999996,tara038,girus,5,0.001969279,60,0.023631350925561245,7.486036337,0.22573233699840087,8.3782209,0.22573233699840087,mixed
ARS-104,MES,71.69,1.03,0.0,36.23,322,"44,016","12,948","11,884",3.83,85.39,NCBI Assembly,NZDL00000000,n.a.,n.a.,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,,,CheckM,ARS,3283,9,9,0.002741395,0.002741395,tara037_prot_meso,5.342446645,tara037,prot,5,0.0015229970000000001,97,0.02954614681693573,66.660137667,0.051780408896859295,17.113458261,0.051780408896859295,particle
ARS-11,SRF,100.0,6.7,0.0,44.49,23,"661,953","429,745","125,079",2.88,91.65,NCBI Assembly,NZDE00000000,n.a.,n.a.,Bacteria,Proteobacteria,Alphaproteobacteria,InsertiaSedis,,,,16S rRNA - SILVA SSURef128,ARS,2730,4,14,0.001465201,0.005128205,tara039_girus_surface,2.88,tara039,girus,9,0.003296703,63,0.023076923076923078,0.5427765899999999,0.6454734044483373,1.7370229600000002,0.6454734044483373,mixed
ARS-112,MES,91.38,8.62,100.0,52.38,31,"750,301","220,152","112,791",3.5,93.39,NCBI Assembly,NZDD00000000,n.a.,n.a.,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,,,Hug et al. phylogenetic marker set,ARS,3283,5,13,0.0015229970000000001,0.003959793,tara038_girus_meso,3.830159772,tara038,girus,19,0.00578739,72,0.02193116052391106,0.519875493,0.655499339952644,1.689575884,0.655499339952644,mixed
ARS-1134,SRF,73.14,0.8,50.0,37.92,53,"139,335","41,522","25,623",1.36,95.56,NCBI Assembly,NZDA00000000,n.a.,n.a.,Archaea,Euryarchaeota,,,novelFamily_G,,,Hug et al. phylogenetic marker set,ARS,1151,0,1,0.0,0.00086881,tara038_girus_surface,1.859447635,tara038,girus,0,0.0,14,0.01216333622936577,0.418832902,8.933433953145022,18.550914337000005,8.933433953145022,mixed
ARS-115,MES,76.81,3.51,0.0,47.37,117,"117,185","29,090","21,080",2.47,92.75,NCBI Assembly,NZCZ00000000,n.a.,n.a.,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,,,Hug et al. phylogenetic marker set,ARS,2239,9,10,0.004019652,0.00446628,tara038_prot_meso,3.215727119,tara038,prot,4,0.001786512,54,0.0241179097811523,1.6965297260000003,0.27840513377789505,2.34177309,0.27840513377789505,mixed
ARS-1168,MES,75.41,0.0,0.0,52.13,43,"108,631","36,887","27,850",1.2,87.26,NCBI Assembly,NZCW00000000,n.a.,n.a.,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,novelFamily_A,,,Hug et al. phylogenetic marker set,ARS,1195,4,17,0.00334728,0.014225941,tara039_girus_meso,1.5913008880000001,tara039,girus,0,0.0,16,0.013389121338912133,0.550432838,0.20822521861766446,0.5682556470000002,0.20822521861766446,mixed
ARS-117,MES,73.85,3.41,0.0,63.95,214,"44,309","16,496","13,759",2.94,93.35,NCBI Assembly,NZCV00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,16S rRNA - SILVA SSURef128,ARS,2370,0,1,0.0,0.000421941,tara038_prot_meso,3.981042654,tara038,prot,1,0.000421941,46,0.019409282700421943,1.711852442,0.013485158917767227,0.114453346,0.013485158917767227,particle
ARS-1176,MES,78.5,1.87,0.0,27.63,32,"224,511","37,593","30,062",0.96,94.0,NCBI Assembly,NZCT00000000,n.a.,n.a.,Archaea,,,,,,,Hug et al. phylogenetic marker set,ARS,1184,0,18,0.0,0.015202703,tara039_girus_meso,1.2229299359999999,tara039,girus,0,0.0,22,0.018581081081081082,0.0034216230000000004,4.728515718869389,0.08021638599999999,4.728515718869389,mixed
ARS-1199,MES,86.21,0.0,0.0,36.77,15,"160,722","95,926","60,831",0.91,92.52,NCBI Assembly,NZCN00000000,n.a.,n.a.,Archaea,Woesearchaeota,,,,,,Hug et al. phylogenetic marker set,ARS,1035,0,9,0.0,0.008695652,tara037_girus_meso,1.0555620000000001,tara037,girus,1,0.0009661839999999999,21,0.020289855072463767,0.01441848,2.145238599223659,0.15335614400000006,2.145238599223659,mixed
