Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Paraphysomonas_bandaiensis-1322299at2759-S1	2	168	0	168	1641	10.24	100.0
greenalgae-Chloropicon_roscoffensis-625387at2759-S1	2	262	1	263	3483	7.55	99.62
protist-Durinskia_baltica-1049599at2759-S1	1	144	4	148	1686	8.78	97.3
protist-Durinskia_baltica-1217666at2759-D1	1	145	0	145	1311	11.06	100.0
protist-Durinskia_baltica-1314980at2759-S1	1	147	2	149	2583	5.77	98.66
fungi-Meyerozyma_SPCollapse_SP3-92	2	246	0	246	762	32.28	100.0
fungi-Meyerozyma_SPCollapse_SP3-41	2	280	0	280	1869	14.98	100.0
fungi-Meyerozyma_SPCollapse_SP3-67	1	150	0	150	1203	12.47	100.0
fungi-Meyerozyma_SPCollapse_SP3-22	2	277	1	278	2463	11.29	99.64
fungi-Meyerozyma_SPCollapse_SP3-68	2	227	5	232	1137	20.4	97.84
fungi-Exophiala_dermatitidis_NIH-UT8656-176625at2759-S1	2	253	0	253	6700	3.78	100.0
fungi-Candida_orthopsilosis_Co_90-125-918816at2759-S1	2	285	10	295	3543	8.33	96.61
fungi-Candida_orthopsilosis_Co_90-125-1377237at2759-S1	2	257	5	262	2358	11.11	98.09
fungi-Candida_orthopsilosis_Co_90-125-1266231at2759-S1	2	207	4	211	846	24.94	98.1
fungi-Candida_orthopsilosis_Co_90-125-923657at2759-S1	2	259	10	269	1092	24.63	96.28
fungi-Candida_orthopsilosis_Co_90-125-39650at2759-S1	2	225	1	226	6165	3.67	99.56
fungi-Debaryomyces_hansenii_CBS767-1428265at2759-S1	2	298	0	298	966	30.85	100.0
fungi-Debaryomyces_hansenii_CBS767-917326at2759-S1	2	182	0	182	2064	8.82	100.0
fungi-Meira_nashicola-270107at2759-S1	1	131	0	131	3189	4.11	100.0
fungi-Meira_nashicola-179362at2759-S1	2	295	0	295	4377	6.74	100.0
fungi-Meira_nashicola-604979at2759-S1	2	264	0	264	2556	10.33	100.0
fungi-Meira_nashicola-722805at2759-S1	2	297	0	297	5349	5.55	100.0
fungi-Meira_nashicola-245208at2759-S1	2	285	0	285	3615	7.88	100.0
fungi-Meira_nashicola-1314980at2759-S1	2	241	0	241	2670	9.03	100.0
fungi-Meira_nashicola-858842at2759-S1	1	148	0	148	1818	8.14	100.0
fungi-Meira_nashicola-87842at2759-S1	2	295	0	295	3870	7.62	100.0
fungi-Meira_nashicola-513979at2759-S1	2	229	0	229	1968	11.64	100.0
fungi-Meira_nashicola-891751at2759-S1	2	205	0	205	4057	5.05	100.0
fungi-Meira_nashicola-679187at2759-S1	2	235	0	235	3039	7.73	100.0
fungi-Meira_nashicola-1269649at2759-S1	1	146	0	146	954	15.3	100.0
fungi-Meira_nashicola-1370304at2759-S1	1	150	0	150	2916	5.14	100.0
fungi-Meira_nashicola-777920at2759-S1	2	191	0	191	1968	9.71	100.0
fungi-Meira_nashicola-774318at2759-S1	2	203	0	203	2379	8.53	100.0
fungi-Meira_nashicola-551907at2759-S1	1	106	0	106	3399	3.12	100.0
fungi-Meira_nashicola-261419at2759-S1	2	201	0	201	5115	3.93	100.0
fungi-Meira_nashicola-426305at2759-S1	2	245	0	245	2541	9.64	100.0
fungi-Meira_nashicola-1287401at2759-S1	2	223	0	223	654	34.1	100.0
fungi-Meira_nashicola-759498at2759-S1	2	226	1	227	2691	8.44	99.56
