contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599051,pnps_ERR598952,pnps_ERR598997,pnps_ERR598989,pnps_ERR599052,pnps_ERR598987,pnps_ERR599004,pnps_ERR598942,pnps_ERR598980,pnps_ERR599015,pnps_ERR599030,pnps_ERR598971,pnps_ERR598995
c_109,NP,1308,non-integron,,,,,,,0.04641588098750544,,,,,,,,
c_3890,NP,47486,integron,,,,,,,,,,0.136807779699557,,0.13323701266824606,,,
c_3890,NP,47491,non-integron,X!!!X,"Mobilome: prophages, transposons!!!Mobilome: prophages, transposons",0.017684688019848606,,,,,,0.030578110799948887,,0.017609635649552816,0.039762514097984085,0.046870657980054006,0.07635156655490856,
c_3890,NP,47492,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,0.05600419000645481,,0.04139356576540161,
c_6616,NP,79444,non-integron,M!!!O,"Cell wall/membrane/envelope biogenesis!!!Posttranslational modification, protein turnover, chaperones",,,,,0.17795299308628498,,,0.17615780939668388,,,,,
c_6616,NP,79445,non-integron,,,,,,,0.4786491723427948,,,,,,,,
c_6616,NP,79446,non-integron,,,,,,,0.07297940531634155,,,,,,,,
c_6616,NP,79447,non-integron,N,Cell motility,,,,,0.06445894873043283,,,0.0,,,,,
c_6616,NP,79448,non-integron,N,Cell motility,,,,,0.10952901810579864,,,0.0516943815802779,,,,,
c_6616,NP,79449,non-integron,N,Cell motility,,,,,0.011387397968508036,,,0.012008712354442015,,,,,
c_6616,NP,79450,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.06391415940685591,,,0.1495724614143619,,,,,
c_6616,NP,79451,non-integron,R,General function prediction only,,,,,0.06916229277850354,,,0.0635157583616955,,,,,
c_6616,NP,79452,non-integron,K!!!T,Transcription!!!Signal transduction mechanisms,,,,,0.1750853844142851,,,0.07876276458562054,,,,,
c_6616,NP,79453,non-integron,T,Signal transduction mechanisms,,,,,0.1667102734590773,,,0.17141955924114596,,,,,
c_6616,NP,79454,non-integron,N,Cell motility,,,,,0.17989546183991625,,,,,,,,
c_6616,NP,79455,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.12143846483163474,,,0.101988600267612,,,,,
c_6616,NP,79456,non-integron,N,Cell motility,,,,,0.019176048577025567,,,0.009908198054016359,,,,,
c_6616,NP,79457,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.225537403720594,,,0.3582848449260688,,,,,
c_6616,NP,79458,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,0.06878403331516493,,,,,,,,
c_6616,NP,79459,non-integron,,,,,,,0.11658611871176408,,,,,,,,
