sequence_id	class_fst_stage	class_snd_stage
NODE_78_length_3388_cov_18.0000	bacteria	n/a
NODE_88_length_3122_cov_10.0000	bacteria	n/a
NODE_141_length_6584_cov_22.0000	eukarya	n/a
NODE_143_length_4726_cov_8.0000	bacteria	n/a
NODE_437_length_5694_cov_15.0000	archaea	n/a
NODE_477_length_3928_cov_81.2289	archaea	n/a
NODE_504_length_7291_cov_26.8586	bacteria	n/a
NODE_516_length_3713_cov_14.1119	bacteria	n/a
NODE_574_length_6048_cov_25.8490	bacteria	n/a
NODE_683_length_6013_cov_15.6895	bacteria	n/a
NODE_793_length_5007_cov_28.2692	eukarya	n/a
NODE_805_length_7364_cov_23.8000	eukarya	n/a
NODE_858_length_4125_cov_15.0000	bacteria	n/a
NODE_868_length_3955_cov_13.0000	eukarya	n/a
NODE_996_length_3838_cov_24.9871	eukarya	n/a
NODE_1230_length_6989_cov_7.0000	bacteria	n/a
NODE_1247_length_8459_cov_22.8628	bacteria	n/a
NODE_1315_length_3006_cov_17.3256	archaea	n/a
NODE_1346_length_5271_cov_14.0000	bacteria	n/a
NODE_1400_length_3037_cov_29.6737	unknown	n/a
NODE_1505_length_4667_cov_21.5660	bacteria	n/a
NODE_1524_length_9470_cov_23.9508	prokarya	n/a
NODE_1652_length_6590_cov_27.2630	archaea	n/a
NODE_1676_length_3870_cov_44.8456	archaea	n/a
NODE_1712_length_4006_cov_17.9475	archaea	n/a
NODE_1750_length_7693_cov_23.0825	bacteria	n/a
NODE_1813_length_3728_cov_8.4990	bacteria	n/a
NODE_1890_length_5162_cov_33.6645	bacteria	n/a
NODE_1934_length_3944_cov_25.9953	prokarya	n/a
NODE_2136_length_4255_cov_16.8104	bacteria	n/a
NODE_2138_length_9689_cov_1700.0583	bacteria	n/a
NODE_2168_length_6247_cov_63.5065	bacteria	n/a
NODE_2266_length_18752_cov_29.0000	eukarya	n/a
NODE_2412_length_12793_cov_30.0000	eukarya	n/a
NODE_2435_length_3898_cov_15.9087	prokarya	n/a
NODE_2476_length_6385_cov_19.7996	bacteria	n/a
NODE_2519_length_4315_cov_7.9983	bacteria	n/a
NODE_2533_length_3943_cov_10.4571	archaea	n/a
NODE_2546_length_3503_cov_61.5733	bacteria	n/a
NODE_2557_length_3020_cov_18.2223	bacteria	n/a
NODE_2584_length_3048_cov_22.4141	bacteria	n/a
NODE_2816_length_5887_cov_14.0000	bacteria	n/a
NODE_2842_length_4888_cov_22.0000	bacteria	n/a
NODE_3031_length_4130_cov_28.0000	bacteria	n/a
NODE_3054_length_4473_cov_22.6918	archaea	n/a
NODE_3155_length_4236_cov_24.2383	bacteria	n/a
NODE_3201_length_4943_cov_90.7197	archaea	n/a
NODE_3248_length_11996_cov_20.0000	eukarya	n/a
NODE_3624_length_3832_cov_21.3259	archaea	n/a
NODE_3633_length_7276_cov_31.0000	archaea	n/a
NODE_3643_length_3821_cov_22.0000	archaea	n/a
NODE_3677_length_4374_cov_24.1483	eukarya	n/a
NODE_3761_length_3237_cov_24.0000	bacteria	n/a
NODE_3909_length_6798_cov_27.0000	eukarya	n/a
NODE_3915_length_4144_cov_16.0000	bacteria	n/a
NODE_3994_length_3432_cov_10.0000	bacteria	n/a
NODE_4034_length_4852_cov_12.0000	bacteria	n/a
NODE_4083_length_8908_cov_15.9659	archaea	n/a
NODE_4158_length_3978_cov_8.0000	bacteria	n/a
NODE_4228_length_3186_cov_15.2341	eukarya	n/a
NODE_4352_length_3114_cov_19.8985	eukarya	n/a
NODE_4470_length_4588_cov_125.2882	archaea	n/a
NODE_4527_length_4125_cov_25.0442	eukarya	n/a
NODE_4530_length_4735_cov_18.0000	bacteria	n/a
NODE_4606_length_3240_cov_12.0000	bacteria	n/a
NODE_4773_length_3203_cov_23.6008	archaea	n/a
NODE_4782_length_4489_cov_14.0000	archaea	n/a
NODE_4798_length_3849_cov_10.0000	archaea	n/a
NODE_4935_length_3979_cov_17.0000	archaea	n/a
NODE_5109_length_4109_cov_11.0000	bacteria	n/a
NODE_5238_length_3167_cov_48.4265	bacteria	n/a
NODE_5273_length_3875_cov_17.0000	archaea	n/a
NODE_5315_length_6164_cov_12.2715	archaea	n/a
NODE_5346_length_4203_cov_13.9332	archaea	n/a
NODE_5374_length_4329_cov_31.9116	bacteria	n/a
NODE_5422_length_4122_cov_30.6165	bacteria	n/a
NODE_5521_length_35929_cov_31.0000	eukarya	n/a
NODE_5889_length_3330_cov_26.0000	archaea	n/a
NODE_6080_length_7963_cov_25.8989	bacteria	n/a
NODE_6090_length_3234_cov_19.0000	eukarya	n/a
NODE_6268_length_3639_cov_20.1006	prokarya	n/a
NODE_6313_length_7854_cov_16.0000	bacteria	n/a
NODE_6336_length_7690_cov_34.9794	archaea	n/a
NODE_6337_length_4472_cov_18.7188	bacteria	n/a
NODE_6460_length_4235_cov_30.3149	eukarya	n/a
NODE_6684_length_10020_cov_28.2485	eukarya	n/a
NODE_6745_length_3070_cov_34.6083	archaea	n/a
NODE_6796_length_6528_cov_141.0730	archaea	n/a
NODE_6882_length_4255_cov_14.0000	bacteria	n/a
NODE_7155_length_3656_cov_17.0000	bacteria	n/a
NODE_7234_length_3174_cov_16.0000	bacteria	n/a
NODE_7400_length_3846_cov_87.7701	bacteria	n/a
NODE_7802_length_6740_cov_8.0000	bacteria	n/a
NODE_7870_length_4249_cov_35.0000	bacteria	n/a
NODE_8010_length_4475_cov_26.2599	eukarya	n/a
NODE_8086_length_3278_cov_18.6496	archaea	n/a
NODE_8102_length_4243_cov_19.0000	bacteria	n/a
NODE_8172_length_3411_cov_58.0219	archaea	n/a
NODE_8186_length_3038_cov_10.0000	archaea	n/a
NODE_8563_length_3020_cov_17.0000	prokarya	n/a
NODE_8578_length_5344_cov_52.2289	archaea	n/a
NODE_8602_length_4347_cov_38.4607	bacteria	n/a
NODE_8605_length_7255_cov_120.5807	bacteria	n/a
NODE_8796_length_3482_cov_61.6899	archaea	n/a
NODE_8943_length_3072_cov_17.0000	bacteria	n/a
NODE_8962_length_3722_cov_33.1116	archaea	n/a
NODE_9175_length_14023_cov_14.0000	bacteria	n/a
NODE_9217_length_3721_cov_19.6308	bacteria	n/a
NODE_9335_length_3114_cov_7.0000	bacteria	n/a
NODE_9358_length_3446_cov_40.7139	prokarya	n/a
NODE_9414_length_3493_cov_18.7048	bacteria	n/a
NODE_9433_length_5569_cov_15.0000	archaea	n/a
NODE_9461_length_3261_cov_15.0000	archaea	n/a
NODE_9553_length_7553_cov_9.3308	bacteria	n/a
NODE_9638_length_4532_cov_78.0000	bacteria	n/a
NODE_9734_length_3500_cov_28.0000	eukarya	n/a
NODE_9834_length_3265_cov_17.0000	bacteria	n/a
