gene_callers_id,contig,start,stop,direction,partial,call_type,accession,gene_function,e_value,category,element,cassette_begin,cassette_end,type_molecule,from_integron_type
4851,k127_3344704,3331,4381,f,0,1,COG0265,"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)",3.6e-38,"Posttranslational modification, protein turnover, chaperones",k127_3344704_4,3332,4381,protein,CALIN
4852,k127_3344704,4486,5215,f,0,1,,,,,k127_3344704_5,4487,5215,protein,CALIN
4853,k127_3344704,5301,6072,f,0,1,,,,,k127_3344704_6,5302,6072,protein,CALIN
4854,k127_3344704,6237,6393,r,0,1,,,,,k127_3344704_7,6238,6393,protein,CALIN
6721,k127_2229975,1814,2501,f,0,1,,,,,k127_2229975_1,1815,2501,protein,CALIN
9203,k127_2788453,2,272,r,1,1,,,,,k127_2788453_1,3,272,protein,CALIN
9204,k127_2788453,955,2209,f,0,1,,,,,k127_2788453_2,956,2209,protein,CALIN
9205,k127_2788453,2364,3222,f,0,1,,,,,k127_2788453_3,2365,3222,protein,CALIN
9206,k127_2788453,3425,4388,f,0,1,,,,,k127_2788453_4,3426,4388,protein,CALIN
9207,k127_2788453,4536,5478,f,0,1,,,,,k127_2788453_5,4537,5478,protein,CALIN
10460,k127_1520,295,559,f,0,1,,,,,k127_1520_2,296,559,protein,CALIN
10461,k127_1520,1224,1956,r,0,1,COG2186,"DNA-binding transcriptional regulator, FadR family (FadR) (PDB:1E2X)",2.5e-46,Transcription,k127_1520_3,1225,1956,protein,CALIN
14731,k127_11149208,324,1005,r,0,1,,,,,k127_11149208_1,325,1005,protein,CALIN
14732,k127_11149208,1093,1375,r,0,1,,,,,k127_11149208_2,1094,1375,protein,CALIN
14733,k127_11149208,1478,1859,r,0,1,,,,,k127_11149208_3,1479,1859,protein,CALIN
14736,k127_11149208,4204,5506,r,0,1,COG0793,"C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)",2.099999999999999e-192,"Posttranslational modification, protein turnover, chaperones",k127_11149208_6,4205,5506,protein,CALIN
14737,k127_11149208,5702,5915,r,0,1,,,,,k127_11149208_7,5703,5915,protein,CALIN
16986,k127_1117285,48364,49222,r,0,1,,,,,k127_1117285_53,48365,49222,protein,complete
16987,k127_1117285,49314,50208,r,0,1,,,,,k127_1117285_54,49315,50208,protein,complete
16988,k127_1117285,51393,51942,r,0,1,,,,,k127_1117285_55,51394,51942,protein,complete
16989,k127_1117285,52708,53122,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.6999999999999998e-36,"Replication, recombination and repair",k127_1117285_56,52709,53122,protein,complete
16990,k127_1117285,53121,53673,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.8999999999999996e-70,"Replication, recombination and repair",k127_1117285_57,53122,53673,protein,complete
25810,k127_6692007,142,469,f,0,1,,,,,k127_6692007_1,143,469,protein,CALIN
25811,k127_6692007,601,1027,f,0,1,,,,,k127_6692007_2,602,1027,protein,CALIN
25813,k127_6692007,2093,2468,f,0,1,,,,,k127_6692007_4,2094,2468,protein,CALIN
60866,k127_1123927,719,986,f,0,1,,,,,k127_1123927_2,720,986,protein,CALIN
60867,k127_1123927,1078,1369,r,0,1,COG2026,"mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)",1.1999999999999998e-36,Defense mechanisms,k127_1123927_3,1079,1369,protein,CALIN
60868,k127_1123927,1361,1583,r,0,1,,,,,k127_1123927_4,1362,1583,protein,CALIN
60869,k127_1123927,1725,2208,f,0,1,,,,,k127_1123927_5,1726,2208,protein,CALIN
68624,k127_1683145,1269,1728,r,0,1,,,,,k127_1683145_3,1270,1728,protein,CALIN
68625,k127_1683145,1846,2320,r,0,1,,,,,k127_1683145_4,1847,2320,protein,CALIN
68626,k127_1683145,2391,2871,r,0,1,,,,,k127_1683145_5,2392,2871,protein,CALIN
68627,k127_1683145,2948,3671,r,0,1,,,,,k127_1683145_6,2949,3671,protein,CALIN
68628,k127_1683145,3755,4046,r,0,1,,,,,k127_1683145_7,3756,4046,protein,CALIN
71735,k127_7256209,131,677,f,0,1,COG0456,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),3.099999999999999e-94,"Translation, ribosomal structure and biogenesis",k127_7256209_1,132,677,protein,CALIN
71736,k127_7256209,789,1368,f,0,1,COG1670,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",1.7e-61,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",k127_7256209_2,790,1368,protein,CALIN
71737,k127_7256209,1519,1975,f,0,1,COG0456,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),1e-74,"Translation, ribosomal structure and biogenesis",k127_7256209_3,1520,1975,protein,CALIN
72480,k127_11714648,2048,3740,f,0,1,COG5293,"Uncharacterized conserved protein YydD, contains DUF2326 domain (YydB)",4.8e-24,Function unknown,k127_11714648_5,2049,3740,protein,CALIN
72481,k127_11714648,3835,4390,f,0,1,COG0110,"Acetyltransferase, isoleucine patch superfamily (WbbJ)",1.3999999999999997e-76,General function prediction only,k127_11714648_6,3836,4390,protein,CALIN
75499,k127_7256696,570,1233,f,0,1,,,,,k127_7256696_1,571,1233,protein,CALIN
75500,k127_7256696,1972,2449,f,1,1,,,,,k127_7256696_2,1973,2449,protein,CALIN
76512,k127_10043565,2302,2503,f,0,1,,,,,k127_10043565_4,2303,2503,protein,CALIN
76513,k127_10043565,2650,3403,f,0,1,,,,,k127_10043565_5,2651,3403,protein,CALIN
76514,k127_10043565,3524,3941,f,0,1,,,,,k127_10043565_6,3525,3941,protein,CALIN
