sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_994998_cov_15.1211	bacteria	n/a
NODE_2_length_963043_cov_17.9712	bacteria	n/a
NODE_3_length_415372_cov_14.7972	bacteria	n/a
NODE_4_length_270691_cov_14.7882	bacteria	n/a
NODE_5_length_226794_cov_44.7853	bacteria	n/a
NODE_6_length_215093_cov_53.6799	bacteria	n/a
NODE_7_length_209742_cov_25.5331	bacteria	n/a
NODE_8_length_203931_cov_17.2446	bacteria	n/a
NODE_9_length_198895_cov_17.3803	bacteria	n/a
NODE_10_length_196397_cov_65.4682	bacteria	n/a
NODE_11_length_191601_cov_17.7745	bacteria	n/a
NODE_12_length_188956_cov_17.5179	bacteria	n/a
NODE_13_length_180012_cov_9.45562	bacteria	n/a
NODE_14_length_177912_cov_15.8463	archaea	n/a
NODE_15_length_177716_cov_8.13622	bacteria	n/a
NODE_16_length_176983_cov_9.59805	bacteria	n/a
NODE_17_length_172987_cov_8.67507	bacteria	n/a
NODE_18_length_162228_cov_9.44598	bacteria	n/a
NODE_19_length_158866_cov_85.1694	bacteria	n/a
NODE_20_length_158573_cov_95.7711	bacteria	n/a
NODE_21_length_157924_cov_9.34793	bacteria	n/a
NODE_22_length_155330_cov_113.849	bacteria	n/a
NODE_23_length_155267_cov_65.9864	bacteria	n/a
NODE_24_length_152297_cov_78.0384	bacteria	n/a
NODE_25_length_150849_cov_68.7987	bacteria	n/a
NODE_26_length_148509_cov_61.008	bacteria	n/a
NODE_27_length_148413_cov_8.23803	bacteria	n/a
NODE_28_length_147744_cov_70.7692	bacteria	n/a
NODE_29_length_146044_cov_56.7938	bacteria	n/a
NODE_30_length_142802_cov_57.6112	bacteria	n/a
NODE_31_length_142360_cov_62.6585	bacteria	n/a
NODE_32_length_140413_cov_29.3057	bacteria	n/a
NODE_33_length_139886_cov_17.2821	archaea	n/a
NODE_34_length_139419_cov_65.4991	bacteria	n/a
NODE_35_length_138661_cov_31.4195	bacteria	n/a
NODE_36_length_138473_cov_122.331	bacteria	n/a
NODE_37_length_137975_cov_9.06194	bacteria	n/a
NODE_38_length_137497_cov_8.88369	bacteria	n/a
NODE_39_length_134139_cov_70.0134	bacteria	n/a
NODE_40_length_133694_cov_255.672	bacteria	n/a
NODE_41_length_130270_cov_65.2493	bacteria	n/a
NODE_42_length_129321_cov_98.5294	bacteria	n/a
NODE_43_length_127865_cov_8.94873	bacteria	n/a
NODE_44_length_127166_cov_62.8582	bacteria	n/a
NODE_45_length_126754_cov_43.2057	bacteria	n/a
NODE_46_length_125357_cov_62.144	bacteria	n/a
NODE_47_length_123984_cov_106.921	bacteria	n/a
NODE_48_length_123334_cov_21.8967	bacteria	n/a
NODE_49_length_123016_cov_8.38708	bacteria	n/a
NODE_50_length_122454_cov_6.32815	bacteria	n/a
NODE_51_length_122094_cov_8.8166	bacteria	n/a
NODE_52_length_121152_cov_94.133	bacteria	n/a
NODE_53_length_120073_cov_62.555	bacteria	n/a
NODE_54_length_119948_cov_8.94835	bacteria	n/a
NODE_55_length_119597_cov_281.967	bacteria	n/a
NODE_56_length_118716_cov_14.5894	bacteria	n/a
NODE_57_length_117271_cov_59.6962	bacteria	n/a
NODE_58_length_116999_cov_22.3388	bacteria	n/a
NODE_59_length_116916_cov_8.35399	bacteria	n/a
NODE_60_length_116783_cov_31.8802	bacteria	n/a
NODE_61_length_116417_cov_57.6811	bacteria	n/a
NODE_62_length_115801_cov_41.5858	bacteria	n/a
NODE_63_length_114214_cov_8.86019	bacteria	n/a
NODE_64_length_113919_cov_98.0083	bacteria	n/a
NODE_65_length_112623_cov_8.6834	bacteria	n/a
NODE_66_length_111304_cov_107.148	bacteria	n/a
NODE_67_length_110731_cov_28.5651	bacteria	n/a
NODE_68_length_108955_cov_75.4601	bacteria	n/a
