gene_callers_id,contig,start,stop,direction,partial,call_type,integron,ocean,annotation,category_accession,COG_category
2577,ARS-73_MHASMcontig_617664,2627,6050,f,0,1,CALIN,ARS,protein,nan,nan
2578,ARS-73_MHASMcontig_617664,6092,6578,f,0,1,CALIN,ARS,protein,nan,nan
2579,ARS-73_MHASMcontig_617664,6579,7647,f,0,1,CALIN,ARS,protein,nan,nan
14379,ARS-1037_58668,28383,28956,f,0,1,complete,ARS,protein,nan,nan
14380,ARS-1037_58668,29017,29695,f,0,1,complete,ARS,protein,nan,nan
14381,ARS-1037_58668,29802,30168,f,0,1,complete,ARS,protein,S,Function unknown
15587,ARS-1037_MHASMcontig_391753,1754,2699,r,0,1,complete,ARS,protein,X,"Mobilome: prophages, transposons"
15588,ARS-1037_MHASMcontig_391753,2823,3396,r,0,1,complete,ARS,protein,nan,nan
77105,ARS-5_MHASMcontig_396284,5355,5778,r,0,1,CALIN,ARS,protein,nan,nan
77106,ARS-5_MHASMcontig_396284,5770,6277,r,0,1,CALIN,ARS,protein,nan,nan
77107,ARS-5_MHASMcontig_396284,6396,7038,r,0,1,CALIN,ARS,protein,nan,nan
77108,ARS-5_MHASMcontig_396284,7160,7571,r,0,1,CALIN,ARS,protein,nan,nan
77109,ARS-5_MHASMcontig_396284,8048,8405,r,0,1,CALIN,ARS,protein,nan,nan
77110,ARS-5_MHASMcontig_396284,8454,8841,r,0,1,CALIN,ARS,protein,nan,nan
77111,ARS-5_MHASMcontig_396284,9176,9392,r,0,1,CALIN,ARS,protein,nan,nan
77112,ARS-5_MHASMcontig_396284,9576,9837,r,0,1,CALIN,ARS,protein,nan,nan
77113,ARS-5_MHASMcontig_396284,10424,10580,r,1,1,CALIN,ARS,protein,nan,nan
77930,ARS-5_MHASMcontig_452923,397,1168,f,0,1,CALIN,ARS,protein,nan,nan
77931,ARS-5_MHASMcontig_452923,1254,1470,f,0,1,CALIN,ARS,protein,nan,nan
77932,ARS-5_MHASMcontig_452923,1587,2664,f,0,1,CALIN,ARS,protein,nan,nan
77933,ARS-5_MHASMcontig_452923,2785,3832,f,0,1,CALIN,ARS,protein,nan,nan
77934,ARS-5_MHASMcontig_452923,4450,5449,f,0,1,CALIN,ARS,protein,nan,nan
77935,ARS-5_MHASMcontig_452923,5543,6251,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
104051,ARS-51_MHASMcontig_201050,57856,59731,r,0,1,CALIN,ARS,protein,T!!!U!!!W,Signal transduction mechanisms
104051,ARS-51_MHASMcontig_201050,57856,59731,r,0,1,CALIN,ARS,protein,T!!!U!!!W,"Intracellular trafficking, secretion, and vesicular transport"
104051,ARS-51_MHASMcontig_201050,57856,59731,r,0,1,CALIN,ARS,protein,T!!!U!!!W,Extracellular structures
104052,ARS-51_MHASMcontig_201050,60097,60715,f,0,1,CALIN,ARS,protein,T!!!K,Signal transduction mechanisms
104052,ARS-51_MHASMcontig_201050,60097,60715,f,0,1,CALIN,ARS,protein,T!!!K,Transcription
106604,ARS-51_MHASMcontig_165146,11321,11846,f,0,1,CALIN,ARS,protein,nan,nan
106605,ARS-51_MHASMcontig_165146,11839,13249,f,0,1,CALIN,ARS,protein,nan,nan
106606,ARS-51_MHASMcontig_165146,13250,13616,f,0,1,CALIN,ARS,protein,U,"Intracellular trafficking, secretion, and vesicular transport"
106607,ARS-51_MHASMcontig_165146,13605,14325,r,0,1,CALIN,ARS,protein,nan,nan
