gene_callers_id,contig,start,stop,direction,partial,call_type,accession,gene_function,e_value,category,element,cassette_begin,cassette_end,type_molecule,from_integron_type,ocean
125434,c_10079,2,80,r,1,1,,,,,10079_1,3,80,protein,CALIN,ARS
125434,c_10079,2,80,r,1,1,,,,,attc_001,98,156,attC,CALIN,ARS
125435,c_10079,111,1461,r,0,1,,,,,10079_2,112,1461,protein,CALIN,ARS
125436,c_10079,1489,4321,r,0,1,,,,,10079_3,1490,4321,protein,CALIN,ARS
125439,c_10079,5475,5775,r,1,1,,,,,10079_6,5476,5775,protein,CALIN,ARS
180973,c_15646,4880,5834,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),2.5999999999999984e-99,"Replication, recombination and repair",15646_8,4881,5834,protein,In0,ARS
241253,c_22255,1897,2527,f,0,1,,,,,22255_3,1898,2527,protein,CALIN,ARS
241254,c_22255,2749,3169,f,0,1,COG3119,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",5.5e-06,Inorganic ion transport and metabolism,22255_4,2750,3169,protein,CALIN,ARS
241255,c_22255,3379,4774,f,0,1,COG3119,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",4.3999999999999994e-76,Inorganic ion transport and metabolism,22255_5,3380,4774,protein,CALIN,ARS
330683,c_32192,3532,4501,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.1999999999999995e-125,"Replication, recombination and repair",32192_7,3533,4501,protein,In0,ARS
340182,c_32834,2103,2613,f,0,1,,,,,32834_5,2104,2613,protein,CALIN,ARS
340183,c_32834,2703,3060,f,0,1,,,,,32834_6,2704,3060,protein,CALIN,ARS
368705,c_34676,2154,2811,r,0,1,,,,,34676_5,2155,2811,protein,CALIN,ARS
368706,c_34676,2963,3362,r,0,1,,,,,34676_6,2964,3362,protein,CALIN,ARS
368707,c_34676,3502,3844,r,1,1,,,,,34676_7,3503,3844,protein,CALIN,ARS
381489,c_35532,2327,2519,r,0,1,COG1724,"Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family (YcfA) (PDB:1WHZ) (PUBMED:16895922)",6.9999999999999995e-25,General function prediction only,35532_5,2328,2519,protein,CALIN,ARS
381490,c_35532,2714,3233,r,0,1,,,,,35532_6,2715,3233,protein,CALIN,ARS
381491,c_35532,3320,3884,r,0,1,COG2930,"Lipid-binding SYLF domain, Ysc84/FYVE family (SYLF) (PUBMED:21624956)",5.999999999999998e-56,Lipid transport and metabolism,35532_7,3321,3884,protein,CALIN,ARS
381492,c_35532,4038,4635,r,0,1,,,,,35532_8,4039,4635,protein,CALIN,ARS
417107,c_37969,22551,22815,r,0,1,,,,,37969_41,22552,22815,protein,CALIN,ARS
417108,c_37969,22885,23080,r,0,1,,,,,37969_42,22886,23080,protein,CALIN,ARS
417109,c_37969,23145,23376,r,0,1,,,,,37969_43,23146,23376,protein,CALIN,ARS
431688,c_38984,305,524,f,0,1,,,,,38984_1,306,524,protein,CALIN,ARS
431689,c_38984,649,1366,f,0,1,,,,,38984_2,650,1366,protein,CALIN,ARS
431690,c_38984,1492,2374,f,0,1,,,,,38984_3,1493,2374,protein,CALIN,ARS
432469,c_39047,2,152,r,1,1,COG1670,"Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)",7e-20,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",39047_1,3,152,protein,complete,ARS
432470,c_39047,138,255,r,0,1,,,,,39047_2,139,255,protein,complete,ARS
432470,c_39047,138,255,r,0,1,,,,,attc_001,167,250,attC,complete,ARS
432471,c_39047,244,643,r,0,1,,,,,39047_3,245,643,protein,complete,ARS
432472,c_39047,1064,2033,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),1.1999999999999992e-123,"Replication, recombination and repair",39047_4,1065,2033,protein,complete,ARS
432478,c_39047,6742,7345,f,1,1,COG0029,Aspartate oxidase (NadB) (PDB:1KNP),7.799999999999994e-102,Coenzyme transport and metabolism,39047_10,6743,7345,protein,complete,ARS
452341,c_40535,38603,38840,r,0,1,,,,,40535_61,38604,38840,protein,CALIN,ARS
452342,c_40535,39118,40204,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),7.6e-31,"Replication, recombination and repair",40535_62,39119,40204,protein,CALIN,ARS
462156,c_41251,9359,10328,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),5.099999999999998e-103,"Replication, recombination and repair",41251_12,9360,10328,protein,In0,ARS
488628,c_43399,115,685,f,0,1,,,,,43399_1,116,685,protein,CALIN,ARS
488629,c_43399,800,1262,f,0,1,,,,,43399_2,801,1262,protein,CALIN,ARS
488630,c_43399,1379,2291,f,0,1,,,,,43399_3,1380,2291,protein,CALIN,ARS
491993,c_43666,2927,3083,r,0,1,,,,,43666_5,2928,3083,protein,complete,ARS
491993,c_43666,2927,3083,r,0,1,,,,,attc_001,3016,3091,attC,complete,ARS
491994,c_43666,3085,3406,r,0,1,,,,,43666_6,3086,3406,protein,complete,ARS
491995,c_43666,3462,3873,r,0,1,,,,,43666_7,3463,3873,protein,complete,ARS
491996,c_43666,3977,4409,r,0,1,,,,,43666_8,3978,4409,protein,complete,ARS
491997,c_43666,4739,5702,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),5.699999999999998e-131,"Replication, recombination and repair",43666_9,4740,5702,protein,complete,ARS
555190,c_49089,47091,49086,f,0,1,COG1278!!!COG3063,"Cold shock protein, CspA family (CspC) (PDB:1C9O)!!!Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)",4.5e-21,Transcription!!!Cell motility!!!Extracellular structures,49089_48,47092,49086,protein,CALIN,ARS
555191,c_49089,49181,50126,f,0,1,,,,,49089_49,49182,50126,protein,CALIN,ARS
558400,c_49381,2,707,r,1,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),6.199999999999996e-66,"Replication, recombination and repair",49381_1,3,707,protein,complete,ARS
558403,c_49381,2059,2482,f,0,1,,,,,49381_4,2060,2482,protein,complete,ARS
558404,c_49381,2618,3026,f,0,1,,,,,49381_5,2619,3026,protein,complete,ARS
558405,c_49381,3143,3434,f,0,1,,,,,49381_6,3144,3434,protein,complete,ARS
558406,c_49381,3570,4200,f,0,1,,,,,49381_7,3571,4200,protein,complete,ARS
558407,c_49381,4369,4633,f,0,1,,,,,49381_8,4370,4633,protein,complete,ARS
558408,c_49381,4634,4787,f,0,1,,,,,49381_9,4635,4787,protein,complete,ARS
558409,c_49381,4776,4911,f,0,1,,,,,49381_10,4777,4911,protein,complete,ARS
560673,c_49588,183,924,f,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),9.599999999999994e-70,"Replication, recombination and repair",49588_2,184,924,protein,In0,ARS
561580,c_49656,933,1893,r,0,1,COG4974,Site-specific recombinase XerD (XerD) (PDB:1A0P),4.3999999999999985e-99,"Replication, recombination and repair",49656_3,934,1893,protein,In0,ARS
566883,c_50135,975,1431,r,0,1,,,,,50135_2,976,1431,protein,CALIN,ARS
566884,c_50135,1526,2126,r,0,1,,,,,50135_3,1527,2126,protein,CALIN,ARS
566885,c_50135,2264,2495,r,0,1,,,,,50135_4,2265,2495,protein,CALIN,ARS
