sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_159035_cov_20.124670	bacteria	n/a
NODE_2_length_118171_cov_11.994573	unknown	n/a
NODE_3_length_99680_cov_20.701450	bacteria	n/a
NODE_4_length_99302_cov_20.620633	bacteria	n/a
NODE_5_length_95314_cov_28.125720	archaea	n/a
NODE_6_length_94781_cov_19.540834	bacteria	n/a
NODE_7_length_89743_cov_18.540329	unknown	n/a
NODE_8_length_87509_cov_20.781897	bacteria	n/a
NODE_9_length_85507_cov_24.536652	archaea	n/a
NODE_10_length_84801_cov_27.246997	archaea	n/a
NODE_11_length_84502_cov_11.197532	bacteria	n/a
NODE_12_length_84246_cov_20.859427	bacteria	n/a
NODE_13_length_83657_cov_16.086182	bacteria	n/a
NODE_14_length_81466_cov_9.678569	archaea	n/a
NODE_15_length_71255_cov_18.069677	bacteria	n/a
NODE_16_length_71135_cov_11.501491	bacteria	n/a
NODE_17_length_70546_cov_27.532323	archaea	n/a
NODE_18_length_70036_cov_10.322173	bacteria	n/a
NODE_19_length_68160_cov_12.988899	bacteria	n/a
NODE_20_length_68118_cov_20.337643	bacteria	n/a
NODE_21_length_67327_cov_8.434728	bacteria	n/a
NODE_22_length_67206_cov_21.062948	bacteria	n/a
NODE_23_length_66715_cov_38.448965	bacteria	n/a
NODE_24_length_66672_cov_11.099644	archaea	n/a
NODE_25_length_66573_cov_10.083647	archaea	n/a
NODE_26_length_66289_cov_15.064604	bacteria	n/a
NODE_27_length_65967_cov_16.674308	bacteria	n/a
NODE_28_length_65870_cov_18.935425	eukarya	n/a
NODE_29_length_65669_cov_30.805804	bacteria	n/a
NODE_30_length_64627_cov_8.716487	archaea	n/a
NODE_31_length_62962_cov_21.089418	bacteria	n/a
NODE_32_length_62898_cov_19.483268	bacteria	n/a
NODE_33_length_62499_cov_9.978765	archaea	n/a
NODE_34_length_62304_cov_21.302238	bacteria	n/a
NODE_35_length_61436_cov_21.613317	bacteria	n/a
NODE_36_length_59991_cov_12.305259	bacteria	n/a
NODE_37_length_59763_cov_13.654971	eukarya	n/a
NODE_38_length_59265_cov_10.344976	bacteria	n/a
NODE_39_length_58631_cov_9.508929	bacteria	n/a
NODE_40_length_57997_cov_9.560371	bacteria	n/a
NODE_41_length_57737_cov_13.835876	bacteria	n/a
NODE_42_length_56839_cov_10.135108	bacteria	n/a
NODE_44_length_56237_cov_20.248104	unknown	n/a
NODE_45_length_56221_cov_9.244027	archaea	n/a
NODE_46_length_56197_cov_19.937818	bacteria	n/a
NODE_47_length_56161_cov_17.262895	bacteria	n/a
NODE_48_length_55915_cov_33.269620	archaea	n/a
NODE_49_length_55837_cov_34.326611	archaea	n/a
NODE_50_length_55768_cov_18.014036	bacteria	n/a
NODE_51_length_55497_cov_20.544299	bacteria	n/a
NODE_52_length_54911_cov_7.858138	archaea	n/a
NODE_53_length_54153_cov_17.829753	bacteria	n/a
NODE_54_length_53745_cov_19.215534	bacteria	n/a
NODE_55_length_53742_cov_20.647624	bacteria	n/a
NODE_56_length_53559_cov_38.765718	bacteria	n/a
NODE_57_length_53146_cov_31.838636	bacteria	n/a
NODE_58_length_52910_cov_20.493142	eukarya	n/a
NODE_59_length_52395_cov_14.362342	bacteria	n/a
NODE_60_length_51928_cov_18.732963	eukarya	n/a
NODE_61_length_51505_cov_11.543557	bacteria	n/a
NODE_62_length_51308_cov_11.542427	bacteria	n/a
NODE_63_length_50729_cov_37.750326	bacteria	n/a
NODE_64_length_49495_cov_26.155583	archaea	n/a
NODE_65_length_49472_cov_10.058502	archaea	n/a
NODE_66_length_48919_cov_15.252169	bacteria	n/a
NODE_67_length_48274_cov_11.578071	unknown	n/a
NODE_68_length_48118_cov_12.984520	bacteria	n/a
NODE_69_length_47635_cov_27.138651	archaea	n/a
