bin,COG_group,total_metabolic_ORFs
ARS-1004, 2 C 116 E 56 F 48 G 108 H 63 I 56 P,449
ARS-1009, 23 C 165 E 66 F 197 G 131 H 99 I 188 P,869
ARS-100, 4 C 68 E 58 F 41 G 77 H 71 I 51 P,370
ARS-1012, 27 C 223 E 81 F 208 G 217 H 374 I 133 P,1263
ARS-1018, 2 C 19 E 43 F 44 G 36 H 17 I 9 P,170
ARS-1019, 9 C 143 E 66 F 109 G 163 H 60 I 86 P,636
ARS-102, 2 C 41 E 53 F 28 G 63 H 25 I 20 P,232
ARS-1030, 14 C 239 E 94 F 142 G 211 H 277 I 112 P,1089
ARS-1032, 42 C 448 E 91 F 198 G 305 H 471 I 158 P,1713
ARS-1034, 11 C 175 E 77 F 100 G 159 H 216 I 76 P,814
ARS-1036, 14 C 206 E 70 F 87 G 140 H 194 I 138 P,849
ARS-1037, 25 C 215 E 93 F 68 G 154 H 151 I 153 P,859
ARS-104, 9 C 180 E 63 F 204 G 178 H 129 I 220 P,983
ARS-112, 22 C 179 E 65 F 91 G 161 H 208 I 192 P,918
ARS-1134, 4 C 89 E 48 F 31 G 76 H 64 I 28 P,340
ARS-115, 13 C 189 E 53 F 77 G 116 H 102 I 157 P,707
ARS-1168, 16 C 140 E 47 F 69 G 125 H 59 I 40 P,496
ARS-1176, 1 C 22 E 15 F 14 G 30 H 14 I 15 P,111
ARS-117, 21 C 157 E 45 F 117 G 113 H 111 I 145 P,709
ARS-1199, 3 C 16 E 46 F 33 G 25 H 15 I 14 P,152
ARS-11, 14 C 132 E 62 F 67 G 111 H 99 I 97 P,582
ARS-1203, 33 E 42 F 27 G 31 H 8 I 10 P,151
ARS-120, 43 C 242 E 81 F 236 G 357 H 658 I 202 P,1819
ARS-1215, 12 C 159 E 75 F 65 G 126 H 142 I 55 P,634
ARS-123, 12 C 155 E 64 F 77 G 145 H 179 I 83 P,715
ARS-125, 2 C 26 E 38 F 29 G 24 H 12 I 19 P,150
ARS-1279, 22 C 167 E 52 F 105 G 197 H 126 I 102 P,771
ARS-1297, 4 C 50 E 39 F 33 G 49 H 48 I 41 P,264
ARS-1307, 4 C 34 E 39 F 23 G 42 H 9 I 18 P,169
ARS-1330, 20 C 162 E 69 F 67 G 135 H 62 I 53 P,568
ARS-1358, 3 C 20 E 35 F 21 G 23 H 10 I 19 P,131
ARS-1360, 1 C 10 E 17 F 16 G 13 H 6 I 9 P,72
ARS-1386, 1 C 16 E 26 F 32 G 16 H 8 I 5 P,104
ARS-13, 7 C 141 E 69 F 63 G 120 H 103 I 105 P,608
ARS-1414, 1 C 17 E 13 F 23 G 46 H 14 I 10 P,124
ARS-1419, 5 C 35 E 32 F 28 G 32 H 18 I 15 P,165
ARS-1426, 14 C 212 E 87 F 83 G 143 H 151 I 85 P,775
ARS-1427, 1 C 11 E 29 F 17 G 27 H 17 I 11 P,113
ARS-1434, 33 C 308 E 75 F 181 G 212 H 169 I 166 P,1144
ARS-1441, 2 C 22 E 16 F 36 G 44 H 17 I 20 P,157
ARS-14, 7 C 124 E 61 F 53 G 126 H 132 I 97 P,600
ARS-15, 36 C 225 E 81 F 188 G 187 H 177 I 194 P,1088
ARS-16, 32 C 246 E 67 F 111 G 236 H 186 I 125 P,1003
ARS-17, 33 C 387 E 93 F 214 G 260 H 172 I 174 P,1333
ARS-18, 5 C 217 E 73 F 249 G 168 H 135 I 171 P,1018
ARS-1, 14 C 211 E 69 F 60 G 119 H 79 I 41 P,593
ARS-24, 9 C 180 E 60 F 90 G 133 H 166 I 134 P,772
ARS-27, 18 C 137 E 49 F 49 G 163 H 72 I 72 P,560
ARS-28, 14 C 244 E 65 F 217 G 181 H 105 I 171 P,997
ARS-29, 24 C 249 E 96 F 109 G 165 H 146 I 99 P,888
ARS-30, 10 C 149 E 72 F 130 G 109 H 99 I 67 P,636
ARS-31, 31 C 393 E 62 F 253 G 294 H 282 I 152 P,1467
ARS-33, 6 C 116 E 51 F 47 G 98 H 62 I 44 P,424
ARS-34, 18 C 308 E 83 F 178 G 256 H 295 I 138 P,1276
ARS-38, 39 C 496 E 111 F 335 G 255 H 271 I 322 P,1829
ARS-3, 18 C 242 E 64 F 129 G 228 H 272 I 232 P,1185
ARS-40, 28 C 195 E 65 F 222 G 142 H 111 I 200 P,963
ARS-42, 10 C 213 E 85 F 117 G 219 H 300 I 86 P,1030
ARS-45, 5 C 162 E 66 F 45 G 111 H 81 I 74 P,544
ARS-46, 29 C 440 E 90 F 119 G 202 H 206 I 146 P,1232
ARS-49, 2 C 40 E 28 F 27 G 29 H 13 I 17 P,156
ARS-4, 5 C 65 E 30 F 32 G 63 H 43 I 47 P,285
ARS-51, 22 C 259 E 110 F 321 G 217 H 193 I 272 P,1394
ARS-52, 5 C 19 E 43 F 41 G 40 H 13 I 22 P,183
ARS-59, 16 C 316 E 95 F 183 G 177 H 152 I 103 P,1042
ARS-5, 26 C 511 E 127 F 430 G 220 H 274 I 312 P,1900
ARS-60, 8 C 83 E 64 F 40 G 98 H 84 I 49 P,426
ARS-61, 16 C 256 E 79 F 270 G 241 H 96 I 165 P,1123
ARS-62, 10 C 171 E 57 F 144 G 181 H 214 I 181 P,958
ARS-63, 15 C 207 E 83 F 118 G 149 H 126 I 106 P,804
ARS-65, 36 C 308 E 89 F 432 G 304 H 197 I 171 P,1537
ARS-66, 24 C 242 E 93 F 164 G 323 H 508 I 154 P,1508
ARS-67, 29 C 178 E 85 F 106 G 158 H 128 I 152 P,836
ARS-68, 26 C 135 E 62 F 102 G 121 H 106 I 108 P,660
ARS-70, 15 C 280 E 77 F 177 G 383 H 287 I 133 P,1352
ARS-71, 9 C 148 E 60 F 61 G 120 H 87 I 68 P,553
ARS-73, 3 C 19 E 27 F 31 G 18 H 12 I 20 P,130
ARS-74, 6 C 87 E 46 F 33 G 75 H 40 I 27 P,314
