gene_caller_id,pnps,depth,gene_type,size_fraction
9,0.38640902665808197,BAT,n,s
39,0.11355784812922493,BAT,defense,s
68,0.9562386423181208,BAT,n,s
72,0.6910932467674821,BAT,n,s
181,5.635859403561998,BAT,defense,s
281,0.22735035151184146,BAT,n,s
334,0.03089629733532256,BAT,n,s
383,0.2952472110802201,BAT,n,s
385,0.0890246350255484,BAT,n,s
421,0.3999678821528866,BAT,defense,s
522,0.13233369439468876,BAT,n,s
528,0.1301011220722992,BAT,defense,s
554,0.17000445505972808,BAT,defense,s
637,1.750707296483071,BAT,n,s
648,0.24870116887721253,BAT,n,s
695,0.28148456759613527,BAT,n,s
862,0.17577322287954283,BAT,n,s
963,0.6613850655826531,BAT,transposase,s
1040,0.18534736805717622,BAT,n,s
1068,3.3155097011381867,BAT,n,s
1234,0.23308577123817964,BAT,n,s
1318,0.7359031359873351,BAT,defense,s
1367,0.11541531250611253,BAT,n,s
1372,0.07917080577122676,BAT,n,s
1373,0.5467287198332278,BAT,n,s
1523,0.13943168239181025,BAT,defense,s
1699,0.33847649267165747,BAT,n,s
1708,0.2749922560679929,BAT,n,s
1814,0.22897798963330168,BAT,n,s
1908,0.7505476561374888,BAT,n,s
1964,1.2694306575650898,BAT,n,s
2237,0.18532820507042508,BAT,defense,s
2267,0.5007379875091948,BAT,n,s
2507,0.060274033622024686,BAT,defense,s
2524,0.18939174777640608,BAT,n,s
2581,0.07175191140413871,BAT,n,s
2647,0.292473295456348,BAT,defense,s
2692,0.2793135480099814,BAT,transposase,s
2729,0.6981990073908572,BAT,defense,s
2763,0.6520452128053642,BAT,defense,s
2778,0.0831639507132355,BAT,defense,s
3033,1.3097369543235902,BAT,n,s
3297,0.7335680409842709,BAT,n,s
3408,0.7165901265487372,BAT,defense,s
3661,0.21348561069852762,BAT,defense,s
3706,0.48338524940911115,BAT,n,s
3744,0.1378293702676438,BAT,transposase,s
4002,0.28335902013545106,BAT,defense,s
4003,1.0528394518945392,BAT,defense,s
4012,0.28879522718816086,BAT,n,s
4026,0.5448954582349479,BAT,biofilm,s
4179,0.26924771848798995,BAT,n,s
4793,0.31031304666405823,BAT,n,s
4872,7.093554943967853,BAT,n,s
4998,0.46303175534354735,BAT,n,s
5000,0.6091644103861892,BAT,n,s
5184,0.25919598308401964,BAT,n,s
5298,0.21528921323735759,BAT,n,s
5359,0.20417632600608876,BAT,n,s
5490,0.4593331257583988,BAT,defense,s
5554,0.38203097519424395,BAT,n,s
5572,0.18822254981739123,BAT,n,s
5661,0.49690028778896983,BAT,defense,s
5860,0.670452507299193,BAT,n,s
5919,0.057954013820566606,BAT,defense,s
5937,0.17731383646374527,BAT,n,s
5947,0.2277087342373291,BAT,defense,s
6033,0.08677113279083369,BAT,n,s
6041,0.113939524331091,BAT,n,s
6296,0.23135500055277772,BAT,n,s
6455,5.1141461400852934,BAT,n,s
6472,1.9072088952213944,BAT,transposase,s
6776,0.23283286889466873,BAT,n,s
6790,0.34766739290790344,BAT,defense,s
7094,0.1198083825282021,BAT,biofilm,s
7231,2.6054731787623515,BAT,n,s
7624,0.6022072813060938,BAT,n,s
7665,0.6714007840626067,BAT,n,s
7707,0.09111593503481927,BAT,n,s
7711,0.18751851486126134,BAT,defense,s
7761,0.2825287326208397,BAT,n,s
7909,0.10746847903635985,BAT,n,s
8038,1.0299844586220266,BAT,n,s
8236,0.05786995510451693,BAT,defense,s
8244,0.4945478517139772,BAT,defense,s
8384,0.5608559298426629,BAT,n,s
8582,2.788792087116962,BAT,n,s
8622,1.1935412565213426,BAT,n,s
8732,0.12719163252344345,BAT,transposase,s
8860,0.4984441707040224,BAT,n,s
8956,0.15741573382120402,BAT,n,s
9084,0.19545920048488716,BAT,defense,s
9243,0.15691208994424685,BAT,transposase,s
9791,1.1916933403517795,BAT,n,s
9800,1.129680736641629,BAT,n,s
9933,0.5579048807245902,BAT,defense,s
9935,0.1917792948448576,BAT,n,s
10077,0.17831378934792755,BAT,defense,s
10268,0.3624520824408812,BAT,n,s
10613,0.5095383324268813,BAT,defense,s
10614,0.25579790618680565,BAT,n,s
10652,0.45329971538979663,BAT,defense,s
10728,0.8338610486686101,BAT,n,s
10955,3.0515938658586927,BAT,defense,s
11043,0.16706916452145407,BAT,defense,s
11130,0.4266159437773897,BAT,n,s
11476,1.7757851000275044,BAT,n,s
11558,0.22345997519704086,BAT,transposase,s
11832,0.2822623705280511,BAT,defense,s
12317,0.08683298857104502,BAT,defense,s
12474,0.25490819268956777,BAT,n,s
12684,0.1706781645639704,BAT,n,s
13021,0.10235575515646259,BAT,biofilm,s
14033,0.18177346827789392,BAT,n,s
14248,0.08693682573194185,BAT,n,s
14272,0.31500505434714005,BAT,n,s
14296,0.4468394120124383,BAT,transposase,s
14307,0.05614408675920792,BAT,defense,s
14316,0.734861783342846,BAT,n,s
14394,0.1544631065915577,BAT,n,s
14467,0.16174858449605736,BAT,n,s
14720,0.2200219900342841,BAT,n,s
14807,0.1310548823029831,BAT,n,s
14910,0.48895357445882137,BAT,n,s
15021,0.38501406137289446,BAT,n,s
15056,0.13248356125532057,BAT,defense,s
15248,2.0942978707793576,BAT,n,s
15291,0.08895314146207908,BAT,defense,s
15361,4.779149743014562,BAT,defense,s
15411,0.42449272591744247,BAT,n,s
15418,0.0961543288586383,BAT,defense,s
15429,0.09820429100728338,BAT,n,s
15446,1.308231551543773,BAT,n,s
15575,3.0393339799822003,BAT,n,s
15654,2.381992356381015,BAT,biofilm,s
15694,0.7194492989358013,BAT,n,s
15772,2.5822343968934747,BAT,defense,s
15773,1.2025792914195992,BAT,defense,s
15774,1.8362623509314855,BAT,defense,s
15792,0.4932395391549605,BAT,n,s
15794,0.2867295438545048,BAT,n,s
15889,3.5911401098901417,BAT,transposase,s
16033,0.7647868694268272,BAT,defense,s
