gene_callers_id,contig,start,stop,bin,bin_contig,source,integron,ocean,category_accession,COG_category,e_value
2577,ARS-73_MHASMcontig_617664,2627,6050,ARS-73,MHASMcontig_617664,tara,CALIN,ARS,,,
2578,ARS-73_MHASMcontig_617664,6092,6578,ARS-73,MHASMcontig_617664,tara,CALIN,ARS,,,
2579,ARS-73_MHASMcontig_617664,6579,7647,ARS-73,MHASMcontig_617664,tara,CALIN,ARS,,,
14378,ARS-1037_58668,27314,28160,ARS-1037,58668,tara,complete,ARS,L,"Replication, recombination and repair",0
14379,ARS-1037_58668,28383,28956,ARS-1037,58668,tara,complete,ARS,,,
14380,ARS-1037_58668,29017,29695,ARS-1037,58668,tara,complete,ARS,,,
14381,ARS-1037_58668,29802,30168,ARS-1037,58668,tara,complete,ARS,S,Function unknown,0
15384,ARS-1037_73513,61023,61509,ARS-1037,73513,tara,In0,ARS,L,"Replication, recombination and repair",0
15587,ARS-1037_MHASMcontig_391753,1754,2699,ARS-1037,MHASMcontig_391753,tara,complete,ARS,X,"Mobilome: prophages, transposons",0
15588,ARS-1037_MHASMcontig_391753,2823,3396,ARS-1037,MHASMcontig_391753,tara,complete,ARS,,,
15589,ARS-1037_MHASMcontig_391753,3619,4465,ARS-1037,MHASMcontig_391753,tara,complete,ARS,L,"Replication, recombination and repair",0
48456,ARS-65_MHASMcontig_408623,16595,17585,ARS-65,MHASMcontig_408623,tara,In0,ARS,L,"Replication, recombination and repair",0
77105,ARS-5_MHASMcontig_396284,5355,5778,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77106,ARS-5_MHASMcontig_396284,5770,6277,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77107,ARS-5_MHASMcontig_396284,6396,7038,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77108,ARS-5_MHASMcontig_396284,7160,7571,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77109,ARS-5_MHASMcontig_396284,8048,8405,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77110,ARS-5_MHASMcontig_396284,8454,8841,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77111,ARS-5_MHASMcontig_396284,9176,9392,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77112,ARS-5_MHASMcontig_396284,9576,9837,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77113,ARS-5_MHASMcontig_396284,10424,10580,ARS-5,MHASMcontig_396284,tara,CALIN,ARS,,,
77930,ARS-5_MHASMcontig_452923,397,1168,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,,,
77931,ARS-5_MHASMcontig_452923,1254,1470,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,,,
77932,ARS-5_MHASMcontig_452923,1587,2664,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,,,
77933,ARS-5_MHASMcontig_452923,2785,3832,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,,,
77934,ARS-5_MHASMcontig_452923,4450,5449,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,,,
77935,ARS-5_MHASMcontig_452923,5543,6251,ARS-5,MHASMcontig_452923,tara,CALIN,ARS,V,Defense mechanisms,0
87803,ARS-16_MHASMcontig_586354,20440,21466,ARS-16,MHASMcontig_586354,tara,In0,ARS,L,"Replication, recombination and repair",0
104051,ARS-51_MHASMcontig_201050,57856,59731,ARS-51,MHASMcontig_201050,tara,CALIN,ARS,T!!!U!!!W,Signal transduction mechanisms,0
104051,ARS-51_MHASMcontig_201050,57856,59731,ARS-51,MHASMcontig_201050,tara,CALIN,ARS,T!!!U!!!W,"Intracellular trafficking, secretion, and vesicular transport",0
104051,ARS-51_MHASMcontig_201050,57856,59731,ARS-51,MHASMcontig_201050,tara,CALIN,ARS,T!!!U!!!W,Extracellular structures,0
104052,ARS-51_MHASMcontig_201050,60097,60715,ARS-51,MHASMcontig_201050,tara,CALIN,ARS,T!!!K,Signal transduction mechanisms,0
104052,ARS-51_MHASMcontig_201050,60097,60715,ARS-51,MHASMcontig_201050,tara,CALIN,ARS,T!!!K,Transcription,0
106604,ARS-51_MHASMcontig_165146,11321,11846,ARS-51,MHASMcontig_165146,tara,CALIN,ARS,,,
106605,ARS-51_MHASMcontig_165146,11839,13249,ARS-51,MHASMcontig_165146,tara,CALIN,ARS,,,
106606,ARS-51_MHASMcontig_165146,13250,13616,ARS-51,MHASMcontig_165146,tara,CALIN,ARS,U,"Intracellular trafficking, secretion, and vesicular transport",0
106607,ARS-51_MHASMcontig_165146,13605,14325,ARS-51,MHASMcontig_165146,tara,CALIN,ARS,,,
