bin,domain,signal_CAZ_count,percent_sect_CAZ,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,percent_sect_pep,signal_pep_aa
ARS-1360,Bacteria,0,0,0,175065,627,3,13.043478260869565,1043
ARS-125,Bacteria,0,0,0,308578,1047,9,21.428571428571427,3795
ARS-13,Bacteria,6,8.955223880597014,3358,1116066,3438,59,38.311688311688314,30089
ARS-1358,Archaea,0,0,0,209501,763,1,2.857142857142857,1493
ARS-117,Archaea,0,0,0,916250,2463,13,8.96551724137931,8205
ARS-38,Bacteria,15,9.49367088607595,8394,1808461,5515,68,29.059829059829063,33581
ARS-1199,Archaea,0,0,0,281420,1050,4,10.0,5190
ARS-45,Bacteria,5,11.11111111111111,2585,894336,2868,47,33.57142857142857,21105
ARS-1203,Archaea,0,0,0,323216,1079,0,0,0
ARS-93,Bacteria,35,26.119402985074625,20545,1087836,3353,111,53.110047846889955,72566
ARS-77,Bacteria,0,0,0,432900,1388,8,13.793103448275861,3075
ARS-4,Bacteria,3,8.571428571428571,1687,538095,1800,23,27.380952380952383,10043
ARS-104,Bacteria,70,38.46153846153847,35904,1089252,3516,110,49.107142857142854,75468
ARS-1032,Bacteria,3,2.631578947368421,1357,1314605,4207,36,16.216216216216218,14869
ARS-70,Bacteria,0,0,0,874875,3075,10,5.524861878453039,3984
ARS-3,Bacteria,17,13.934426229508196,7989,1361745,4271,137,50.55350553505535,76161
ARS-1279,Bacteria,4,7.547169811320755,1393,786918,2461,64,41.02564102564102,37208
ARS-1297,Bacteria,4,10.0,2359,411806,1290,16,25.806451612903224,6542
ARS-42,Bacteria,1,2.380952380952381,735,736467,2370,3,1.9607843137254901,875
ARS-14,Bacteria,9,14.516129032258066,5410,973742,3008,52,36.87943262411347,27320
ARS-63,Bacteria,7,9.859154929577464,5862,1110164,3042,80,44.44444444444444,48553
ARS-51,Bacteria,120,50.2092050209205,71041,2380457,7148,201,57.42857142857143,149285
ARS-1019,Bacteria,6,5.263157894736842,2519,688161,2550,21,17.5,8077
ARS-1427,Archaea,0,0,0,171208,630,0,0,0
ARS-67,Bacteria,10,14.285714285714285,6554,1307758,3717,78,43.0939226519337,46944
ARS-1307,Archaea,0,0,0,231315,809,0,0,0
ARS-46,Bacteria,1,1.7241379310344827,335,856554,2689,21,15.217391304347828,9665
ARS-31,Bacteria,5,5.747126436781609,2001,1280143,3907,32,16.580310880829018,13030
ARS-1004,Bacteria,7,11.11111111111111,5737,483024,1522,33,37.93103448275862,19860
ARS-1434,Bacteria,33,25.984251968503933,28944,1794814,4663,168,56.75675675675676,108335
ARS-7,Bacteria,7,6.363636363636363,3047,1131945,3515,31,19.62025316455696,13456
ARS-74,Archaea,0,0,0,375062,1319,3,6.382978723404255,3207
ARS-90,Bacteria,12,12.903225806451612,10198,1033443,2714,58,41.13475177304964,35409
ARS-1036,Bacteria,16,19.27710843373494,7075,875885,2861,90,47.61904761904761,47189
ARS-73,Archaea,0,0,0,290921,1084,0,0,0
ARS-100,Bacteria,2,7.4074074074074066,2471,571457,1532,21,30.88235294117647,17665
ARS-1009,Bacteria,27,13.636363636363635,19871,994487,2610,56,45.16129032258064,29593
ARS-84,Bacteria,2,4.444444444444445,1057,551690,1738,8,9.523809523809524,3213
ARS-60,Archaea,0,0,0,693983,1838,6,7.4074074074074066,4889
ARS-17,Bacteria,19,15.966386554621847,11038,1447249,4175,169,58.88501742160279,92092
ARS-52,Bacteria,0,0,0,330864,1124,11,24.444444444444443,7232
ARS-86,Bacteria,21,29.577464788732392,12130,671646,1896,51,39.84375,33556
ARS-68,Bacteria,9,11.842105263157894,8810,875410,2288,48,41.73913043478261,29616
ARS-62,Bacteria,34,27.64227642276423,18553,957189,3092,84,44.680851063829785,41110
ARS-15,Bacteria,23,15.646258503401361,16397,1536983,3833,84,41.7910447761194,50988
ARS-123,Bacteria,2,3.8461538461538463,1119,586679,1974,9,9.090909090909092,3697
ARS-1012,Bacteria,7,6.363636363636363,3647,1036939,3251,79,32.37704918032787,43732
ARS-1168,Bacteria,0,0,0,348349,1223,4,9.090909090909092,2700
ARS-1018,Archaea,0,0,0,598474,2217,4,9.75609756097561,3732
ARS-27,Bacteria,4,7.017543859649122,2133,474372,1551,16,17.77777777777778,6675
