sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_514997_cov_20.658680	bacteria	n/a
NODE_2_length_429694_cov_16.443512	bacteria	n/a
NODE_3_length_355061_cov_26.772562	bacteria	n/a
NODE_4_length_340366_cov_15.869854	bacteria	n/a
NODE_5_length_338594_cov_20.397139	bacteria	n/a
NODE_6_length_283468_cov_13.911860	bacteria	n/a
NODE_7_length_281091_cov_18.807505	bacteria	n/a
NODE_8_length_258351_cov_20.628144	bacteria	n/a
NODE_9_length_253604_cov_17.448683	prokarya	n/a
NODE_10_length_253315_cov_11.039730	bacteria	n/a
NODE_11_length_253290_cov_9.974849	bacteria	n/a
NODE_12_length_252703_cov_15.497970	bacteria	n/a
NODE_13_length_240026_cov_41.512833	prokarya	n/a
NODE_14_length_233330_cov_11.542784	archaea	n/a
NODE_15_length_216980_cov_15.980104	bacteria	n/a
NODE_16_length_216538_cov_11.122347	bacteria	n/a
NODE_17_length_216034_cov_15.132295	prokarya	n/a
NODE_18_length_209827_cov_20.606935	bacteria	n/a
NODE_19_length_208929_cov_31.903784	bacteria	n/a
NODE_20_length_202562_cov_13.253912	prokarya	n/a
NODE_21_length_200897_cov_21.893777	bacteria	n/a
NODE_22_length_194001_cov_24.981051	bacteria	n/a
NODE_23_length_191235_cov_9.336897	bacteria	n/a
NODE_24_length_191073_cov_11.853050	archaea	n/a
NODE_25_length_190975_cov_12.258475	prokarya	n/a
NODE_26_length_190624_cov_11.042037	prokarya	n/a
NODE_27_length_188370_cov_13.143541	bacteria	n/a
NODE_28_length_188216_cov_17.285915	prokarya	n/a
NODE_29_length_187336_cov_19.187205	bacteria	n/a
NODE_30_length_186244_cov_21.913679	bacteria	n/a
NODE_31_length_185528_cov_10.474732	archaea	n/a
NODE_32_length_183642_cov_8.269763	bacteria	n/a
NODE_33_length_177570_cov_19.241805	bacteria	n/a
NODE_34_length_176989_cov_43.816875	prokarya	n/a
NODE_35_length_176861_cov_13.350921	bacteria	n/a
NODE_36_length_170353_cov_24.431814	bacteria	n/a
NODE_37_length_170120_cov_30.036545	bacteria	n/a
NODE_38_length_169920_cov_12.944656	prokarya	n/a
NODE_39_length_166297_cov_24.764981	bacteria	n/a
NODE_40_length_165775_cov_16.256505	bacteria	n/a
NODE_41_length_165356_cov_33.859033	bacteria	n/a
NODE_42_length_164731_cov_92.504026	prokarya	n/a
NODE_43_length_164098_cov_12.419244	archaea	n/a
NODE_44_length_162264_cov_21.602248	bacteria	n/a
NODE_45_length_158726_cov_6.979423	bacteria	n/a
NODE_46_length_157753_cov_33.750136	bacteria	n/a
NODE_47_length_157417_cov_15.807743	bacteria	n/a
NODE_48_length_156765_cov_10.467998	bacteria	n/a
NODE_49_length_155614_cov_28.126916	bacteria	n/a
NODE_50_length_155417_cov_21.614494	bacteria	n/a
NODE_51_length_154249_cov_15.701279	prokarya	n/a
NODE_52_length_153256_cov_16.947553	prokarya	n/a
NODE_53_length_152170_cov_8.514407	bacteria	n/a
NODE_54_length_151827_cov_27.335147	bacteria	n/a
NODE_55_length_150278_cov_7.735946	bacteria	n/a
NODE_56_length_148522_cov_18.025723	bacteria	n/a
NODE_57_length_148212_cov_14.607173	bacteria	n/a
NODE_58_length_146132_cov_14.183787	prokarya	n/a
NODE_59_length_146126_cov_10.489598	bacteria	n/a
NODE_60_length_142280_cov_33.104883	bacteria	n/a
NODE_61_length_142233_cov_40.427485	prokarya	n/a
NODE_62_length_140357_cov_23.488689	bacteria	n/a
NODE_63_length_140190_cov_11.094423	bacteria	n/a
NODE_64_length_139441_cov_18.899839	prokarya	n/a
NODE_65_length_138141_cov_9.073918	bacteria	n/a
NODE_66_length_137938_cov_15.392840	bacteria	n/a
NODE_67_length_137750_cov_12.227132	prokarya	n/a
NODE_68_length_136974_cov_31.259657	bacteria	n/a
NODE_69_length_135831_cov_21.930783	bacteria	n/a
NODE_70_length_134994_cov_14.292910	bacteria	n/a
NODE_71_length_134977_cov_11.022302	bacteria	n/a
NODE_72_length_134239_cov_11.066014	bacteria	n/a
NODE_73_length_131493_cov_33.646312	prokarya	n/a
NODE_74_length_127152_cov_8.399120	bacteria	n/a
NODE_75_length_126664_cov_15.686025	bacteria	n/a
NODE_76_length_126513_cov_20.242800	bacteria	n/a
NODE_77_length_126228_cov_9.041808	bacteria	n/a
NODE_78_length_126174_cov_26.602058	bacteria	n/a
NODE_79_length_126035_cov_9.051389	bacteria	n/a
NODE_80_length_125036_cov_16.801138	bacteria	n/a
NODE_81_length_124639_cov_17.271263	prokarya	n/a
NODE_82_length_123659_cov_19.495429	bacteria	n/a
NODE_83_length_123329_cov_12.640403	bacteria	n/a
NODE_84_length_123167_cov_12.513370	bacteria	n/a
NODE_85_length_122733_cov_9.522498	bacteria	n/a
NODE_86_length_122486_cov_12.498885	archaea	n/a
NODE_87_length_122341_cov_15.243045	bacteria	n/a
NODE_88_length_122285_cov_30.406913	bacteria	n/a
NODE_89_length_122097_cov_17.733346	archaea	n/a
NODE_90_length_122082_cov_11.571193	prokarya	n/a
NODE_91_length_120748_cov_31.708426	prokarya	n/a
NODE_92_length_118650_cov_11.424554	archaea	n/a
NODE_93_length_117365_cov_12.392805	prokarya	n/a
NODE_94_length_117195_cov_32.442300	bacteria	n/a
NODE_95_length_117177_cov_23.357508	bacteria	n/a
NODE_96_length_117174_cov_12.969373	prokarya	n/a
NODE_97_length_116936_cov_21.970457	bacteria	n/a
NODE_98_length_116829_cov_10.844041	prokarya	n/a
NODE_99_length_116631_cov_14.168705	bacteria	n/a
NODE_100_length_116345_cov_12.401083	prokarya	n/a
NODE_101_length_116277_cov_13.305742	bacteria	n/a
NODE_102_length_116061_cov_11.530326	unknown	n/a
NODE_103_length_114443_cov_14.211797	bacteria	n/a
NODE_104_length_114298_cov_26.692655	bacteria	n/a
NODE_105_length_112392_cov_25.724703	bacteria	n/a
NODE_106_length_111603_cov_8.262246	bacteria	n/a
NODE_107_length_111349_cov_34.295335	bacteria	n/a
NODE_108_length_110430_cov_15.526768	bacteria	n/a
NODE_109_length_109268_cov_15.035454	unknown	n/a
NODE_110_length_109201_cov_37.843393	prokarya	n/a
NODE_111_length_108625_cov_16.341687	prokarya	n/a
NODE_112_length_108204_cov_29.215027	bacteria	n/a
NODE_113_length_108005_cov_45.723622	bacteria	n/a
NODE_114_length_107226_cov_10.575361	bacteria	n/a
NODE_115_length_107206_cov_30.456375	bacteria	n/a
NODE_116_length_106860_cov_19.516025	bacteria	n/a
NODE_117_length_106505_cov_43.166604	prokarya	n/a
NODE_118_length_106014_cov_11.993337	archaea	n/a
NODE_119_length_105709_cov_9.549549	prokarya	n/a
NODE_120_length_105337_cov_12.697033	bacteria	n/a
NODE_121_length_105273_cov_10.928948	bacteria	n/a
NODE_122_length_105120_cov_52.909228	prokarya	n/a
NODE_123_length_104930_cov_10.892605	bacteria	n/a
NODE_124_length_104905_cov_13.401202	archaea	n/a
NODE_125_length_104425_cov_13.376756	prokarya	n/a
NODE_126_length_104316_cov_12.503899	bacteria	n/a
NODE_127_length_104049_cov_9.352588	bacteria	n/a
NODE_128_length_103952_cov_13.760734	bacteria	n/a
NODE_129_length_103332_cov_26.064041	prokarya	n/a
NODE_130_length_103077_cov_10.454864	archaea	n/a
NODE_131_length_102753_cov_8.752897	prokarya	n/a
NODE_132_length_102433_cov_26.258825	bacteria	n/a
NODE_133_length_102406_cov_22.306016	bacteria	n/a
NODE_134_length_101909_cov_18.613241	archaea	n/a
NODE_135_length_101773_cov_10.259040	prokarya	n/a
NODE_136_length_101494_cov_29.115557	bacteria	n/a
NODE_137_length_101279_cov_16.352960	archaea	n/a
NODE_138_length_100625_cov_11.786248	bacteria	n/a
NODE_139_length_100495_cov_21.285125	bacteria	n/a
NODE_140_length_100485_cov_11.398287	bacteria	n/a
NODE_141_length_99890_cov_11.792488	prokarya	n/a
NODE_142_length_98951_cov_8.363250	bacteria	n/a
NODE_143_length_98928_cov_26.251434	bacteria	n/a
NODE_144_length_98515_cov_26.095734	bacteria	n/a
NODE_145_length_98500_cov_23.095363	bacteria	n/a
NODE_146_length_98481_cov_35.621574	bacteria	n/a
NODE_147_length_98263_cov_13.705900	archaea	n/a
NODE_148_length_98140_cov_14.504583	archaea	n/a
NODE_149_length_97978_cov_15.252229	bacteria	n/a
NODE_150_length_97972_cov_15.536097	bacteria	n/a
NODE_151_length_96903_cov_10.638568	prokarya	n/a
NODE_152_length_96613_cov_12.141490	prokarya	n/a
NODE_153_length_96392_cov_12.107197	prokarya	n/a
NODE_154_length_96287_cov_14.428142	bacteria	n/a
NODE_155_length_96286_cov_30.790224	bacteria	n/a
NODE_156_length_96224_cov_7.021899	bacteria	n/a
NODE_157_length_96125_cov_12.297793	prokarya	n/a
NODE_158_length_95297_cov_12.731893	archaea	n/a
NODE_159_length_95214_cov_13.905926	bacteria	n/a
NODE_160_length_94890_cov_14.466157	bacteria	n/a
NODE_161_length_94690_cov_10.010345	bacteria	n/a
NODE_162_length_94456_cov_10.406362	archaea	n/a
NODE_163_length_93772_cov_7.478515	bacteria	n/a
NODE_164_length_93681_cov_23.945325	bacteria	n/a
NODE_165_length_93492_cov_7.589831	bacteria	n/a
NODE_166_length_93208_cov_13.956598	prokarya	n/a
