bin,signal_CAZ_count,percent_sect_CAZ,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,percent_sect_pep,signal_pep_aa
ARS-1360,0,0,0,175065,627,3,13.043478260869565,1043
ARS-125,0,0,0,308578,1047,10,23.809523809523807,4382
ARS-13,6,24.0,3358,1116066,3438,61,39.61038961038961,32492
ARS-1358,0,0,0,209501,763,5,14.285714285714285,3956
ARS-117,13,22.807017543859647,9585,916250,2463,63,43.44827586206896,36472
ARS-38,15,18.51851851851852,8394,1808461,5515,73,31.196581196581196,35794
ARS-1199,0,0,0,281420,1050,5,12.5,5272
ARS-45,5,23.809523809523807,2585,894336,2868,51,36.42857142857142,22357
ARS-1203,0,0,0,323216,1079,4,10.81081081081081,2822
ARS-93,35,42.168674698795186,20545,1087836,3353,116,55.50239234449761,75386
ARS-77,0,0,0,432900,1388,8,13.793103448275861,3075
ARS-4,3,23.076923076923077,1687,538095,1800,24,28.57142857142857,10274
ARS-104,72,51.06382978723404,36699,1089252,3516,114,50.89285714285714,78453
ARS-1032,3,10.0,1357,1314605,4207,40,18.01801801801802,16641
ARS-70,3,18.75,1539,874875,3075,12,6.629834254143646,4865
ARS-3,19,27.941176470588236,8925,1361745,4271,144,53.13653136531366,78627
ARS-1279,4,19.047619047619047,1393,786918,2461,66,42.30769230769231,37660
ARS-1297,4,26.666666666666668,2359,411806,1290,17,27.419354838709676,8660
ARS-42,1,7.6923076923076925,735,736467,2370,3,1.9607843137254901,875
ARS-14,9,30.0,5410,973742,3008,57,40.42553191489361,30075
ARS-63,8,21.62162162162162,6239,1110164,3042,86,47.77777777777778,51555
ARS-51,121,69.54022988505747,71494,2380457,7148,201,57.42857142857143,149285
ARS-1019,7,10.9375,2878,688161,2550,21,17.5,8077
ARS-28,17,30.909090909090907,10696,1268862,3648,51,29.310344827586203,36873
ARS-1427,0,0,0,171208,630,4,21.052631578947366,7964
ARS-67,12,25.0,7107,1307758,3717,80,44.19889502762431,48577
ARS-1307,0,0,0,231315,809,6,18.181818181818183,3379
ARS-46,1,4.166666666666666,335,856554,2689,21,15.217391304347828,9665
ARS-31,5,10.638297872340425,2001,1280143,3907,33,17.098445595854923,13302
ARS-1004,8,25.806451612903224,6693,483024,1522,37,42.5287356321839,22860
ARS-1434,34,53.125,29992,1794814,4663,174,58.78378378378378,111486
ARS-7,8,17.391304347826086,3479,1131945,3515,32,20.253164556962027,14001
ARS-74,0,0,0,375062,1319,10,21.27659574468085,11694
ARS-90,12,24.0,10198,1033443,2714,62,43.97163120567376,37794
ARS-1036,16,37.2093023255814,7075,875885,2861,91,48.148148148148145,47321
ARS-73,0,0,0,290921,1084,4,12.5,3368
ARS-100,2,18.181818181818183,2471,571457,1532,21,30.88235294117647,17665
ARS-1009,29,56.86274509803921,21353,994487,2610,58,46.774193548387096,29956
ARS-84,2,10.526315789473683,1057,551690,1738,8,9.523809523809524,3213
ARS-60,0,0,0,693983,1838,17,20.98765432098765,16219
ARS-17,20,26.666666666666668,11424,1447249,4175,169,58.88501742160279,92092
ARS-52,0,0,0,330864,1124,12,26.666666666666668,7525
ARS-86,22,44.0,12492,671646,1896,62,48.4375,40426
ARS-68,9,24.324324324324326,8810,875410,2288,50,43.47826086956522,30616
ARS-62,34,37.77777777777778,18553,957189,3092,84,44.680851063829785,41110
ARS-15,25,33.78378378378378,17817,1536983,3833,89,44.27860696517413,54420
ARS-123,2,9.523809523809524,1119,586679,1974,9,9.090909090909092,3697
ARS-1012,7,18.421052631578945,3647,1036939,3251,80,32.78688524590164,44106
ARS-1168,0,0,0,348349,1223,5,11.363636363636363,3251
ARS-1018,0,0,0,598474,2217,10,24.390243902439025,6505
ARS-27,4,16.0,2133,474372,1551,20,22.22222222222222,8669
ARS-1330,0,0,0,395082,1387,9,15.0,3658
ARS-102,0,0,0,258735,968,2,5.263157894736842,782
ARS-1134,0,0,0,432604,1189,21,28.37837837837838,19561
ARS-71,6,27.27272727272727,3063,725069,2355,28,23.333333333333332,12019
ARS-95,5,27.77777777777778,2926,526201,1528,51,49.51456310679612,35848
ARS-34,0,0,0,989113,3200,19,10.326086956521738,10052
ARS-49,0,0,0,342621,1338,8,24.242424242424242,3894
ARS-33,6,26.08695652173913,3285,603719,2019,24,25.263157894736842,11493
ARS-1176,0,0,0,301434,1206,9,20.930232558139537,3935
ARS-1441,1,9.090909090909092,402,267813,940,5,17.24137931034483,2822
ARS-5,44,38.26086956521739,23114,1663000,5237,55,22.35772357723577,23938
ARS-76,12,48.0,9801,684884,1935,22,28.57142857142857,20573
ARS-1034,2,12.5,1208,588485,1890,8,8.333333333333332,2716
ARS-18,94,55.952380952380956,53620,1131950,3446,130,55.55555555555556,82665
ARS-81,41,65.07936507936508,28341,1089695,2853,63,43.75,41332
ARS-65,12,11.76470588235294,7845,2354033,5735,36,16.071428571428573,26999
ARS-1419,0,0,0,283833,1007,7,20.0,4072
ARS-16,5,8.928571428571429,2476,937411,2938,28,20.437956204379564,12237
ARS-61,24,32.432432432432435,13368,1611356,4649,78,34.51327433628318,47297
ARS-112,10,25.0,3950,1088511,3296,44,26.34730538922156,20510
ARS-24,10,27.027027027027028,4309,757778,2501,73,42.94117647058823,37320
ARS-59,2,14.285714285714285,1135,768596,2342,17,14.285714285714285,6879
ARS-1215,2,18.181818181818183,1204,452908,1413,9,9.67741935483871,5084
ARS-120,9,30.0,4091,1847097,5512,58,20.422535211267608,28529
ARS-1030,4,14.285714285714285,2397,825113,2682,14,9.722222222222223,5859
ARS-1,1,5.88235294117647,465,413199,1422,8,11.594202898550725,3060
ARS-40,47,62.66666666666667,37359,1218996,3074,93,54.06976744186046,53954
ARS-30,1,4.3478260869565215,427,578448,1936,14,17.94871794871795,6503
ARS-1037,9,34.61538461538461,4089,837012,2586,41,29.28571428571429,18807
ARS-75,46,57.49999999999999,31101,1332341,3389,71,39.8876404494382,43381
ARS-1386,0,0,0,224129,762,10,34.48275862068966,6711
ARS-29,3,15.789473684210526,1465,681327,2188,17,15.454545454545453,9305
ARS-1426,1,9.090909090909092,877,576587,1824,11,10.0,6009
ARS-115,15,45.45454545454545,8412,762511,2331,61,44.52554744525548,35138
ARS-66,8,20.51282051282051,3781,1498543,4629,64,23.79182156133829,31124
ARS-11,4,16.666666666666664,2091,878836,2747,32,27.11864406779661,13205
ARS-1414,0,0,0,257652,1011,2,8.695652173913043,1840
