,contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_SRR3968777,pnps_SRR3963982,pnps_SRR3963456,pnps_SRR3962680,pnps_SRR3965585,pnps_SRR3960578,pnps_SRR3965592,pnps_SRR3964650,pnps_SRR3960580,pnps_SRR3960579,pnps_SRR3960581,pnps_SRR3961935,pnps_SRR3960577,pnps_SRR3967025,pnps_SRR3967700,pnps_SRR3965676,pnps_SRR3965874,pnps_SRR3967699,pnps_SRR3961604,pnps_SRR3960575,pnps_SRR3963449,pnps_SRR3962773,pnps_SRR3963804,pnps_SRR3963658,pnps_SRR3963498,pnps_SRR3968062,pnps_SRR3961047,pnps_SRR3965758,pnps_SRR3965873,pnps_SRR3967905,pnps_SRR3968061,pnps_SRR3965875,pnps_SRR3961906,pnps_SRR3962771,pnps_SRR3963599,pnps_SRR3960576,pnps_SRR3966130,pnps_SRR3967558,pnps_SRR3962772,pnps_SRR3963805,pnps_SRR3963571,pnps_SRR3968063,pnps_SRR3960572,pnps_SRR3963458,pnps_SRR3968060,pnps_SRR3962777,pnps_SRR3962293,pnps_SRR3967319,pnps_SRR3963457,pnps_SRR3967690,pnps_SRR3962508,pnps_SRR3965809,pnps_SRR3960684,pnps_SRR3961936,pnps_SRR3965647,pnps_SRR3963622,pnps_SRR3965586,pnps_SRR3968770
4,k127_9475360,deep,3424,non-integron,X,"Mobilome: prophages, transposons",,,,,,,,,,,,,0.11868499962788473,,,,,,,0.07992036963028246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,k127_9475360,deep,3430,non-integron,,,,,,,,,,,,,,,,,,,,,,0.8665112665112736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,k127_9475360,deep,3431,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,2.7005125887469563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,k127_9475360,deep,3436,non-integron,I,Lipid transport and metabolism,,,,,,,,,,,,,0.3686170690119392,,,,,,,0.5371380420146207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,k127_9475360,deep,3438,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,5.2082530163489595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,k127_9475360,deep,3441,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,,,,,,2.889119395461788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,k127_9475360,deep,3443,non-integron,D,"Cell cycle control, cell division, chromosome partitioning",,,,,,,,,,,,,,,,,,,,0.91260504201682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,k127_9475360,deep,3445,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,,,,0.7364892979139275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,k127_9475360,deep,3446,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,0.6059123855663353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,k127_9475360,deep,3447,non-integron,F!!!T,Nucleotide transport and metabolism!!!Signal transduction mechanisms,,,,,,,,,,,,,,,,,,,,0.8994654026427878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
