B8I6W2_CLOCE,Q8TJI6_METAC,B8DUT4_BIFA0,F8GF60_NITSI,F8IBC4_SULAT,B9Q0L9_TOXGV,A9IG79_BORPD,Q92SH3_RHIME,A1VLR6_POLNA,A5N1I3_CLOK5,Q7MPJ3_VIBVY,Q9S2F2_STRCO,Q8YR24_NOSS1,F6DMF0_DESRL,C7LQ62_DESBD,F6CRJ1_DESK7,E0CUK5_VITVI,D0MDA7_RHOM4,Q1QJS0_NITHX,
V6F696_9PROT,C5AEQ0_BURGB,Q2WA75_MAGSA,Q9HHG8_HALSA,A5N3W8_CLOK5,D3VJ26_XENNA,Q9M226_ARATH,L2GHK0_COLGN,S5Y232_PARAH,B8II47_METNO,B7JWC1_CYAP8,C5MGQ5_CANTT,Q9D102_MOUSE,C4QX87_KOMPG,A9I2Y2_BORPD,Q7RYR8_NEUCR,A7RUQ6_NEMVE,Q7CLV8_XANCP,Q7BWB3_PORGI,
Q2HA64_CHAGB,Q63SM4_BURPS,C5C6V8_MICLC,E3HZH9_RHOVT,A1VWS4_POLNA,R7MJ39_9CLOT,A1VN34_POLNA,C7RLI7_ACCPU,A1VUQ8_POLNA,I1PPW8_ORYGL,C7P0F4_HALMD,A4VTV9_STRSY,A6THX0_KLEP7,E0UND6_CYAP2,H2WIR9_CAEJA,A9IBG5_BORPD,B1X2R1_CYAA5,Q56007_9SYNC,REPC_BPD10,
D5X811_THEPJ,A5FFK6_FLAJ1,B3MCS5_DROAN,M1WP92_DESPC,F9ZNM6_ACICS,K4MDN1_9EURY,Q03TW2_LACBA,C8VVJ6_DESAS,A5UR96_ROSS1,C8X7Q7_NAKMY,I1QQ57_ORYGL,F4GQP5_PUSST,K4R0B8_9ACTN,B2JTR0_PARP8,C3KQ91_SINFN,K7L6X7_SOYBN,Q9HSY4_HALSA,D4LK07_9FIRM,Y4JD_SINFN,
B5HIQ7_STRPR,B8F0B6_THASP,T0MPX7_9EURY,Q11Z98_POLSJ,Q07XG7_SHEFN,Q53W20_THET8,C7JIJ3_ACEP3,TC3A_CAEEL,Q8XQT3_RALSO,A8IJV7_AZOC5,H2J2F0_RAHAC,I1HGV7_BRADI,M1WQU2_DESPC,Q0SD20_RHOJR,R4K244_CLOPA,B0UEV2_METS4,Q2GVH9_CHAGB,Y4QJ_SINFN,Q7M4J6_LUCCU,
Q11AF2_CHESB,G8MLA8_9BURK,A5VHB4_SPHWW,K3Z0P2_SETIT,E3FEH5_STIAD,Q0INP3_ORYSJ,V4IJN3_9DELT,C4YC84_CLAL4,C3XXX4_BRAFL,A1SQR1_NOCSJ,U5Q5B8_9BACT,D8JZW2_DEHLB,Q6MB33_PARUW,B0US86_HISS2,F4C8W8_SPHS2,A1T5G3_MYCVP,F9ZX34_METMM,A9AV24_HERA2,Q12C82_POLSJ,
C7RVF5_ACCPU,R5BC97_9BACE,A5UQ82_ROSS1,Q328A0_SHIDS,B6Q8R5_TALMQ,Q877J9_PSEPK,B6HCX5_PENRW,R6KL87_9BACE,L0DTV6_THIND,A9B935_HERA2,A5FLG0_FLAJ1,Q3XYL8_ENTFC,Q48559_LACHE,A6TJJ0_ALKMQ,A6THT3_KLEP7,Q8YWC9_NOSS1,B0TD92_HELMI,C8WZ04_DESRD,K9V3K3_9CYAN,
Q9HSW9_HALSA,F4BVC4_METCG,Q2W217_MAGSA,Q5A4Z4_CANAL,W5E738_WHEAT,Q9C702_ARATH,A1U8H5_MARHV,A6VW84_MARMS,Q6JJ62_IPOTF,Q8TQW2_METAC,F1N2L0_BOVIN,B8F9S2_DESAA,B4GGQ9_DROPE,I0AFQ9_IGNAJ,B0JVK3_MICAN,F8AZS8_FRADG,A9KIV3_CLOPH,J9Z9E9_LEPFM,Q899Z6_CLOTE,
T0U6W2_9ENTE,A6VTE3_MARMS,Q3IIF5_PSEHT,Q9MAR4_ARATH,U1GTU8_ENDPU,Q5P0K4_AROAE,Q8AY83_ONCMY,M4NEE6_9GAMM,Q8TZR6_PYRFU,K4QW85_9ACTN,Q485N4_COLP3,B9JNY3_AGRRK,A6Q827_SULNB,B0UII8_METS4,K9VGZ0_9CYAN,Q2NU71_SODGM,Q6LKV0_PHOPR,K3W7U3_PYTUL,W1NVY8_AMBTC,
K0P2B2_9BACT,O34164_ACIHA,A1B789_PARDP,A9I2X0_BORPD,Q7MWX1_PORGI,Q0AXA3_SYNWW,Q8NL36_XANCP,G0GF56_SPITZ,YFAD_ECOLI,N0AWP8_9BACI,B0VGX1_CLOAI,Q57143_PSEPU,C7RVA0_ACCPU,Q8TM48_METAC,A7IQ06_XANP2,E8RW05_ASTEC,Q893K9_CLOTE,Q3XYP3_ENTFC,U5CW25_AMBTC,
Q32H87_SHIDS,E8RN94_ASTEC,B2JSJ8_PARP8,H6NMP0_9BACL,A1WV34_HALHL,E8WYT4_GRATM,B5YGF2_THEYD,Q9X2F2_THEMA,Q96Y41_SULTO,B8FIS4_DESAA,Q88BQ4_PSESM,Q9M9D8_ARATH,F2IEU2_FLUTR,A3QBF1_SHELP,E8X792_GRATM,D3V2K7_XENBS,Q2JBV2_FRASC,J3LBW7_ORYBR,B7GJ01_ANOFW,
