sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_150586_cov_24.200484	archaea	n/a
NODE_2_length_150065_cov_26.246090	archaea	n/a
NODE_3_length_130959_cov_29.647711	archaea	n/a
NODE_4_length_124487_cov_14.621810	unknown	n/a
NODE_5_length_113449_cov_23.029446	archaea	n/a
NODE_6_length_109115_cov_19.659334	bacteria	n/a
NODE_7_length_106493_cov_42.153047	bacteria	n/a
NODE_8_length_99852_cov_18.794583	archaea	n/a
NODE_9_length_96251_cov_36.260790	bacteria	n/a
NODE_10_length_94285_cov_19.037801	bacteria	n/a
NODE_11_length_92502_cov_21.691975	archaea	n/a
NODE_12_length_91462_cov_22.500093	archaea	n/a
NODE_13_length_89639_cov_20.657439	bacteria	n/a
NODE_14_length_88530_cov_22.360452	archaea	n/a
NODE_15_length_88066_cov_39.999296	bacteria	n/a
NODE_16_length_83614_cov_19.441161	bacteria	n/a
NODE_17_length_82921_cov_89.098026	archaea	n/a
NODE_18_length_82563_cov_40.953471	bacteria	n/a
NODE_19_length_82318_cov_19.179194	bacteria	n/a
NODE_20_length_81813_cov_14.152303	bacteria	n/a
NODE_21_length_80703_cov_21.981376	archaea	n/a
NODE_22_length_78556_cov_25.786194	bacteria	n/a
NODE_23_length_76449_cov_16.169765	bacteria	n/a
NODE_24_length_75218_cov_20.182417	archaea	n/a
NODE_25_length_75050_cov_28.511834	archaea	n/a
NODE_26_length_73440_cov_10.387477	eukarya	n/a
NODE_27_length_73315_cov_26.899004	archaea	n/a
NODE_28_length_72682_cov_33.897917	bacteria	n/a
NODE_29_length_71983_cov_11.430695	bacteria	n/a
NODE_30_length_71761_cov_11.488829	bacteria	n/a
NODE_31_length_71585_cov_25.796673	archaea	n/a
NODE_32_length_68188_cov_28.515727	archaea	n/a
NODE_33_length_67372_cov_45.779521	archaea	n/a
NODE_34_length_66774_cov_29.721863	archaea	n/a
NODE_35_length_66277_cov_12.556703	prokarya	n/a
NODE_36_length_65746_cov_20.035423	bacteria	n/a
NODE_37_length_65236_cov_27.076142	archaea	n/a
NODE_38_length_65215_cov_30.930909	bacteria	n/a
NODE_40_length_63486_cov_16.150605	bacteria	n/a
NODE_41_length_63393_cov_19.966529	archaea	n/a
NODE_42_length_62147_cov_11.716485	bacteria	n/a
NODE_43_length_61167_cov_14.834386	unknown	n/a
NODE_44_length_61089_cov_15.373251	bacteria	n/a
NODE_45_length_61061_cov_60.873242	bacteria	n/a
NODE_46_length_59760_cov_20.402094	archaea	n/a
NODE_47_length_58356_cov_19.085076	bacteria	n/a
NODE_48_length_58279_cov_10.005977	eukarya	n/a
NODE_49_length_58148_cov_38.876216	prokarya	n/a
NODE_50_length_57211_cov_42.552208	bacteria	n/a
NODE_51_length_56175_cov_18.886618	bacteria	n/a
NODE_52_length_56049_cov_12.598332	bacteria	n/a
NODE_53_length_55608_cov_22.027721	prokarya	n/a
NODE_54_length_55303_cov_46.713528	bacteria	n/a
NODE_55_length_55035_cov_20.066806	bacteria	n/a
NODE_56_length_53928_cov_38.426577	bacteria	n/a
NODE_57_length_53826_cov_71.935170	prokarya	n/a
NODE_58_length_53475_cov_10.675084	bacteria	n/a
NODE_59_length_53398_cov_29.226140	archaea	n/a
NODE_60_length_52995_cov_38.732716	bacteria	n/a
NODE_61_length_52436_cov_32.443329	archaea	n/a
NODE_62_length_52106_cov_19.860080	bacteria	n/a
NODE_63_length_51327_cov_48.854287	bacteria	n/a
NODE_64_length_50893_cov_33.999961	archaea	n/a
NODE_65_length_50468_cov_19.517605	bacteria	n/a
NODE_66_length_50461_cov_10.554081	eukarya	n/a
NODE_67_length_50243_cov_10.984598	bacteria	n/a
NODE_68_length_49790_cov_38.155585	bacteria	n/a
NODE_69_length_49714_cov_15.862039	bacteria	n/a
NODE_70_length_49638_cov_25.754876	bacteria	n/a
NODE_71_length_49563_cov_31.754949	archaea	n/a
NODE_72_length_49412_cov_10.215086	bacteria	n/a
NODE_73_length_49270_cov_20.005181	archaea	n/a
NODE_74_length_48956_cov_29.544856	prokarya	n/a
NODE_75_length_48899_cov_18.859594	bacteria	n/a
NODE_76_length_48696_cov_24.403096	bacteria	n/a
NODE_77_length_48541_cov_18.886648	bacteria	n/a
NODE_78_length_48488_cov_25.216485	archaea	n/a
NODE_79_length_48219_cov_9.183913	bacteria	n/a
NODE_80_length_47960_cov_46.095689	bacteria	n/a
NODE_81_length_47695_cov_19.597985	prokarya	n/a
NODE_82_length_47159_cov_44.476499	bacteria	n/a
NODE_83_length_47135_cov_8.528823	bacteria	n/a
NODE_84_length_47049_cov_28.433800	archaea	n/a
NODE_85_length_46926_cov_23.397858	archaea	n/a
NODE_87_length_46847_cov_9.502500	eukarya	n/a
NODE_88_length_46762_cov_15.980410	archaea	n/a
NODE_89_length_46659_cov_26.621492	archaea	n/a
NODE_90_length_46343_cov_36.449166	bacteria	n/a
NODE_91_length_46323_cov_14.801137	bacteria	n/a
NODE_92_length_46307_cov_42.740876	bacteria	n/a
NODE_93_length_46232_cov_21.811443	archaea	n/a
NODE_94_length_46190_cov_40.880134	bacteria	n/a
NODE_95_length_45966_cov_53.118425	bacteria	n/a
