gene_callers_id,pnps,ocean,depth,bin,sample_id,scg_pnps_median,scg_count,MAG_pnps_median,total_count,integron
507817,2.0695372614537213,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
508328,0.2420384015400479,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
508560,0.0991459205406802,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
508216,0.4907784372173061,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
507865,0.15001361633516416,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
509094,4.4332192956232985,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
509032,0.061272486357519536,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
507086,0.3898559776829987,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
508042,0.3136671994443738,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
508357,0.0664873955345432,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
509095,0.017689450746933625,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
507388,0.7453455973713974,SP,deep,deep-0572,SRR3962773,0.17877725645249093,3.0,0.2404610424092856,569.0,
150930,0.3405195140386825,SAT,deep,deep-0238,SRR3966130,0.17020704596248182,2.0,0.1777914491760779,62.0,
151698,0.24908867378812424,SAT,deep,deep-0238,SRR3966130,0.17020704596248182,2.0,0.1777914491760779,62.0,
150930,0.4588878532361558,SAT,deep,deep-0238,SRR3967319,0.2908019227445212,18.0,0.2084996961222509,698.0,
151698,0.026529455217445017,SAT,deep,deep-0238,SRR3967319,0.2908019227445212,18.0,0.2084996961222509,698.0,
150584,2.5038719435713768,SAT,deep,deep-0238,SRR3967319,0.2908019227445212,18.0,0.2084996961222509,698.0,
150739,0.8821675469153951,SAT,deep,deep-0238,SRR3967319,0.2908019227445212,18.0,0.2084996961222509,698.0,
150930,0.2553320176369902,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
151624,0.06878922720015311,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
151698,0.34538062830105504,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
151723,0.6540973029388846,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
150584,0.4735811215954078,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
150739,0.27818971795646585,NAT,deep,deep-0238,SRR3960575,0.3505719564912001,20.0,0.2435910698262204,831.0,
150930,0.17298185987956524,NAT,deep,deep-0238,SRR3960577,0.07215290086328513,2.0,0.2414888124478473,235.0,
151624,0.2498484578356238,NAT,deep,deep-0238,SRR3960577,0.07215290086328513,2.0,0.2414888124478473,235.0,
151698,0.8176039523483027,NAT,deep,deep-0238,SRR3960577,0.07215290086328513,2.0,0.2414888124478473,235.0,
150930,0.10540415047680267,SP,deep,deep-0238,SRR3963449,0.3266495650248674,16.0,0.204827021165703,632.0,
151723,0.4968534881587601,SP,deep,deep-0238,SRR3963449,0.3266495650248674,16.0,0.204827021165703,632.0,
150739,1.4506065344459684,SP,deep,deep-0238,SRR3963449,0.3266495650248674,16.0,0.204827021165703,632.0,
150930,0.3403186878558729,NP,deep,deep-0238,SRR3960579,,,0.19584850196631806,113.0,
150930,0.2504029476942206,NP,deep,deep-0238,SRR3961935,0.3214069836933317,5.0,0.21847595790452365,307.0,
373402,2.2637732721116453,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
373640,1.3611437642843305,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
373404,2.6108517245259986,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
371669,3.8597685309499514,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
371670,1.6327735269963837,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
371830,0.6953256135535781,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
372296,1.368601719780589,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
372144,1.4397953674709363,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
371668,3.5894729602360265,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
373156,0.3880499010211203,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
372661,2.4882318688239726,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
373408,1.0936304398537555,NAT,deep,deep-0153,SRR3960581,1.7671955289248782,50.0,1.6066493116548854,2700.0,
381360,1.1259666942288786,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
386203,4.761711457652923,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
384771,0.958733875123868,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
383549,0.32670369401133903,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
384949,0.3030014919054997,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
382746,3.298279962203372,NAT,deep,deep-0562,SRR3960580,0.4329732002860199,26.0,0.5079377908805969,2470.0,
