Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
other_MGCollapse_EASP3-114	1	100	1	101	2931	3.45	99.01
protist-Tetrahymena_thermophila-946128at2759-S1	1	97	1	98	2322	4.22	98.98
protist-Alexandrium_tamarense-937686at2759-D1	2	151	3	154	1527	10.09	98.05
greenalgae-Chloropicon_mariensis-708105at2759-S1	1	93	2	95	1370	6.93	97.89
protist-Gephyrocapsa_oceanica-1257440at2759-S1	2	167	4	171	549	31.15	97.66
protist-Tripos_fusus-1421503at2759-S1	1	98	3	101	852	11.85	97.03
greenalgae-Chloropicon_laureae-768809at2759-S1	1	98	1	99	1341	7.38	98.99
metazoa-Oithona_nana-39650at2759-S1	2	161	5	166	6723	2.47	96.99
metazoa-Oithona_nana-97116at2759-S1	10	667	17	684	6429	10.64	97.51
metazoa-Oithona_nana-160593at2759-S1	2	161	7	168	7848	2.14	95.83
metazoa-Oithona_nana-179362at2759-S1	2	175	5	180	4728	3.81	97.22
metazoa-Oithona_nana-325552at2759-S1	3	223	6	229	1842	12.43	97.38
metazoa-Oithona_nana-331411at2759-S1	2	193	3	196	2307	8.5	98.47
metazoa-Oithona_nana-383503at2759-S1	2	152	3	155	1518	10.21	98.06
metazoa-Oithona_nana-598949at2759-S1	1	99	1	100	2634	3.8	99.0
metazoa-Oithona_nana-625387at2759-S1	1	100	1	101	3951	2.56	99.01
metazoa-Oithona_nana-692986at2759-S1	2	195	5	200	2076	9.63	97.5
metazoa-Oithona_nana-720340at2759-S1	2	120	4	124	1602	7.74	96.77
metazoa-Oithona_nana-751335at2759-S1	8	402	18	420	1443	29.11	95.71
metazoa-Oithona_nana-768809at2759-S1	2	156	4	160	1299	12.32	97.5
metazoa-Oithona_nana-779909at2759-S1	3	240	7	247	2568	9.62	97.17
metazoa-Oithona_nana-836599at2759-S1	14	771	18	789	1491	52.92	97.72
metazoa-Oithona_nana-865202at2759-S1	3	270	8	278	969	28.69	97.12
metazoa-Oithona_nana-869548at2759-S1	2	195	7	202	741	27.26	96.53
metazoa-Oithona_nana-891751at2759-S1	1	98	3	101	1989	5.08	97.03
metazoa-Oithona_nana-905026at2759-S1	2	117	2	119	1911	6.23	98.32
metazoa-Oithona_nana-919955at2759-S1	1	89	3	92	1146	8.03	96.74
metazoa-Oithona_nana-937686at2759-S1	2	189	7	196	1449	13.53	96.43
metazoa-Oithona_nana-939345at2759-S1	1	88	4	92	765	12.03	95.65
metazoa-Oithona_nana-944899at2759-S1	1	97	3	100	1011	9.89	97.0
metazoa-Oithona_nana-946128at2759-S1	4	112	1	113	1686	6.7	99.12
metazoa-Oithona_nana-976469at2759-S1	3	150	6	156	1245	12.53	96.15
metazoa-Oithona_nana-1001705at2759-S1	1	98	3	101	1530	6.6	97.03
