bin,signal_CAZ_count,total_CAZ_count
TOBG_ARS-1360,0,5
TOBG_ARS-125,0,7
TOBG_ARS-13,6,25
TOBG_ARS-1358,0,2
TOBG_ARS-117,13,57
TOBG_ARS-38,15,81
TOBG_ARS-1199,0,12
TOBG_ARS-45,5,21
TOBG_ARS-1203,0,4
TOBG_ARS-93,35,83
TOBG_ARS-77,0,11
TOBG_ARS-4,3,13
TOBG_ARS-104,72,141
TOBG_ARS-1032,3,30
TOBG_ARS-70,3,16
TOBG_ARS-3,19,68
TOBG_ARS-1279,4,21
TOBG_ARS-1297,4,15
TOBG_ARS-42,1,13
TOBG_ARS-14,9,30
TOBG_ARS-63,8,37
TOBG_ARS-51,121,174
TOBG_ARS-1019,7,64
TOBG_ARS-28,17,55
TOBG_ARS-1427,0,4
TOBG_ARS-67,12,48
TOBG_ARS-1307,0,5
TOBG_ARS-46,1,24
TOBG_ARS-31,5,47
TOBG_ARS-1004,8,31
TOBG_ARS-1434,34,64
TOBG_ARS-7,8,46
TOBG_ARS-74,0,7
TOBG_ARS-90,12,50
TOBG_ARS-1036,16,43
TOBG_ARS-73,0,1
TOBG_ARS-100,2,11
TOBG_ARS-1009,29,51
TOBG_ARS-84,2,19
TOBG_ARS-60,0,13
TOBG_ARS-17,20,75
TOBG_ARS-52,0,16
TOBG_ARS-86,22,50
TOBG_ARS-68,9,37
TOBG_ARS-62,34,90
TOBG_ARS-15,25,74
TOBG_ARS-123,2,21
TOBG_ARS-1012,7,38
TOBG_ARS-1168,0,5
TOBG_ARS-1018,0,3
TOBG_ARS-27,4,25
TOBG_ARS-1330,0,13
TOBG_ARS-102,0,4
TOBG_ARS-1134,0,6
TOBG_ARS-71,6,22
TOBG_ARS-95,5,18
TOBG_ARS-34,0,12
TOBG_ARS-49,0,10
TOBG_ARS-33,6,23
TOBG_ARS-1176,0,11
TOBG_ARS-1441,1,11
TOBG_ARS-5,44,115
TOBG_ARS-76,12,25
TOBG_ARS-1034,2,16
TOBG_ARS-18,94,168
TOBG_ARS-81,41,63
TOBG_ARS-65,12,102
TOBG_ARS-1419,0,8
TOBG_ARS-16,5,56
TOBG_ARS-61,24,74
TOBG_ARS-112,10,40
TOBG_ARS-24,10,37
TOBG_ARS-59,2,14
TOBG_ARS-1215,2,11
TOBG_ARS-120,9,30
TOBG_ARS-1030,4,28
TOBG_ARS-1,1,17
TOBG_ARS-40,47,75
TOBG_ARS-30,1,23
TOBG_ARS-1037,9,26
TOBG_ARS-75,46,80
TOBG_ARS-1386,0,7
TOBG_ARS-29,3,19
TOBG_ARS-1426,1,11
TOBG_ARS-115,15,33
TOBG_ARS-66,8,39
TOBG_ARS-11,4,24
TOBG_ARS-1414,0,10
TOBG_CPC-324,51,78
TOBG_CPC-41,8,43
TOBG_CPC-316,8,37
TOBG_CPC-79,94,143
TOBG_CPC-97,14,31
TOBG_CPC-73,6,22
TOBG_CPC-288,24,40
TOBG_CPC-25,21,57
TOBG_CPC-52,33,65
TOBG_CPC-58,4,22
TOBG_CPC-17,43,105
TOBG_CPC-84,9,30
TOBG_CPC-305,7,30
TOBG_CPC-67,10,60
TOBG_CPC-7,19,62
TOBG_CPC-28,11,33
TOBG_CPC-74,4,14
TOBG_CPC-323,16,47
TOBG_CPC-46,6,32
TOBG_CPC-31,75,145
TOBG_CPC-42,9,49
TOBG_CPC-48,13,60
TOBG_CPC-327,26,71
TOBG_CPC-70,12,71
TOBG_CPC-51,18,75
TOBG_CPC-69,20,59
TOBG_CPC-14,18,40
TOBG_CPC-9,24,63
TOBG_CPC-3,17,45
TOBG_CPC-19,22,103
TOBG_CPC-80,11,21
TOBG_CPC-64,12,35
TOBG_CPC-13,32,75
TOBG_CPC-21,10,54
TOBG_CPC-32,5,33
TOBG_CPC-45,11,38
TOBG_CPC-320,5,30
TOBG_CPC-38,19,72
TOBG_CPC-75,4,21
TOBG_CPC-310,12,32
TOBG_CPC-30,1,18
TOBG_CPC-1232,4,18
TOBG_CPC-47,8,29
TOBG_CPC-322,11,24
TOBG_CPC-297,12,32
TOBG_CPC-82,34,59
TOBG_CPC-309,5,31
TOBG_CPC-11,16,51
TOBG_CPC-6,19,60
TOBG_CPC-29,1,10
TOBG_CPC-1326,11,35
TOBG_CPC-23,33,60
TOBG_CPC-54,14,42
TOBG_CPC-59,7,25
TOBG_CPC-53,2,16
TOBG_CPC-24,5,34
TOBG_CPC-1,14,86
TOBG_CPC-85,23,54
TOBG_CPC-16,6,26
TOBG_CPC-61,3,32
TOBG_CPC-40,28,109
TOBG_CPC-289,2,12
TOBG_CPC-72,13,40
TOBG_CPC-1399,10,21
TOBG_CPC-96,13,28
TOBG_CPC-98,35,101
TOBG_CPC-319,15,45
TOBG_CPC-39,5,33
TOBG_CPC-33,10,20
TOBG_CPC-5,17,49
TOBG_CPC-12,11,50
TOBG_CPC-294,107,167
TOBG_CPC-300,26,42
TOBG_CPC-81,8,51
TOBG_CPC-20,4,24
TOBG_CPC-27,9,27
TOBG_CPC-50,31,47
TOBG_CPC-62,14,42
TOBG_CPC-86,14,25
TOBG_CPC-2,15,42
TOBG_CPC-8,18,58
TOBG_CPC-49,19,66
TOBG_CPC-34,12,33
TOBG_CPC-43,9,60
TOBG_CPC-95,20,51
TOBG_CPC-71,126,184
TOBG_IN-14,8,36
TOBG_IN-48,14,41
TOBG_IN-1213,2,19
TOBG_IN-42,22,45
TOBG_IN-35,3,11
TOBG_IN-918,0,5
TOBG_IN-912,8,30
TOBG_IN-7,9,66
TOBG_IN-32,29,76
TOBG_IN-13,42,121
TOBG_IN-19,10,57
TOBG_IN-21,4,30
TOBG_IN-25,8,45
TOBG_IN-17,14,71
TOBG_IN-3,11,50
TOBG_IN-929,5,27
TOBG_IN-9,7,26
TOBG_IN-924,2,13
TOBG_IN-961,1,10
TOBG_IN-10,51,84
TOBG_IN-28,9,45
TOBG_IN-22,13,48
TOBG_IN-1077,2,8
TOBG_IN-18,5,34
TOBG_IN-12,7,45
TOBG_IN-20,31,64
TOBG_IN-6,12,69
TOBG_IN-43,2,17
TOBG_IN-919,2,15
TOBG_IN-1,16,67
TOBG_IN-921,8,24
TOBG_IN-27,7,29
TOBG_IN-15,7,42
TOBG_IN-11,25,69
TOBG_IN-23,8,62
TOBG_IN-29,15,35
TOBG_IN-5,8,46
TOBG_IN-1311,3,30
TOBG_IN-47,4,22
TOBG_IN-40,12,27
TOBG_IN-37,2,14
TOBG_IN-928,14,37
TOBG_IN-8,8,56
TOBG_IN-922,15,64
TOBG_IN-2,18,82
TOBG_IN-16,24,60
