sequence_id	class_fst_stage	class_snd_stage
NODE_79_length_4044_cov_82.7101	bacteria	n/a
NODE_113_length_3087_cov_19.4815	archaea	n/a
NODE_304_length_5161_cov_30.1543	bacteria	n/a
NODE_414_length_7583_cov_14.0000	bacteria	n/a
NODE_427_length_4984_cov_14.0000	bacteria	n/a
NODE_518_length_3521_cov_11.0000	bacteria	n/a
NODE_558_length_4697_cov_44.0183	archaea	n/a
NODE_662_length_4016_cov_7.0000	bacteria	n/a
NODE_808_length_4087_cov_11.0000	archaea	n/a
NODE_956_length_3508_cov_5.0000	bacteria	n/a
NODE_1211_length_5488_cov_12.0000	bacteria	n/a
NODE_1256_length_6141_cov_34.8240	bacteria	n/a
NODE_1321_length_4399_cov_41.8224	archaea	n/a
NODE_1330_length_3365_cov_6.0000	bacteria	n/a
NODE_1473_length_4050_cov_20.5726	archaea	n/a
NODE_1519_length_5060_cov_16.0000	archaea	n/a
NODE_1523_length_3826_cov_49.4715	bacteria	n/a
NODE_1600_length_3367_cov_18.3183	bacteria	n/a
NODE_1628_length_3974_cov_12.0000	bacteria	n/a
NODE_1669_length_16198_cov_27.0000	bacteria	n/a
NODE_1706_length_5901_cov_9.0000	bacteria	n/a
NODE_1754_length_3033_cov_21.3672	archaea	n/a
NODE_1770_length_4726_cov_6.0000	bacteria	n/a
NODE_1798_length_5474_cov_6.0000	bacteria	n/a
NODE_1861_length_3047_cov_7.0000	bacteria	n/a
NODE_1978_length_3107_cov_36.0495	bacteria	n/a
NODE_2084_length_6819_cov_50.0103	bacteria	n/a
NODE_2307_length_3030_cov_80.1470	archaea	n/a
NODE_2407_length_12663_cov_26.9876	bacteria	n/a
NODE_2417_length_3228_cov_60.0000	bacteria	n/a
NODE_2472_length_19633_cov_15.0000	bacteria	n/a
NODE_2474_length_11790_cov_15.9165	bacteria	n/a
NODE_2626_length_4190_cov_99.8290	bacteria	n/a
NODE_2628_length_6417_cov_54.7015	bacteria	n/a
NODE_2635_length_24604_cov_43.5258	bacteria	n/a
NODE_2710_length_3034_cov_18.4443	bacteria	n/a
NODE_2716_length_3360_cov_26.0380	bacteria	n/a
NODE_2845_length_3875_cov_28.3983	bacteria	n/a
NODE_2938_length_4304_cov_23.0000	archaea	n/a
NODE_2946_length_7636_cov_45.0000	bacteria	n/a
NODE_2984_length_3895_cov_10.0000	bacteria	n/a
NODE_3054_length_3721_cov_16.0000	bacteria	n/a
NODE_3077_length_3450_cov_33.0000	bacteria	n/a
NODE_3132_length_4019_cov_9.0000	bacteria	n/a
NODE_3233_length_5702_cov_37.0000	archaea	n/a
NODE_3316_length_4250_cov_65.5359	archaea	n/a
NODE_3417_length_4113_cov_21.2692	bacteria	n/a
NODE_3475_length_3601_cov_7.8653	bacteria	n/a
NODE_3519_length_3546_cov_61.8521	bacteria	n/a
NODE_3551_length_7069_cov_31.0000	bacteria	n/a
NODE_3585_length_3115_cov_36.5921	prokarya	n/a
NODE_3597_length_3931_cov_25.3987	bacteria	n/a
NODE_3825_length_3706_cov_38.0677	bacteria	n/a
NODE_3849_length_3771_cov_27.8521	bacteria	n/a
NODE_3958_length_7161_cov_7.0000	bacteria	n/a
NODE_4338_length_22556_cov_10.0000	bacteria	n/a
NODE_4379_length_3407_cov_9.0000	bacteria	n/a
NODE_4468_length_17189_cov_147.1119	bacteria	n/a
NODE_4493_length_3174_cov_8.0000	bacteria	n/a
NODE_4578_length_3500_cov_8.0000	bacteria	n/a
NODE_4594_length_5820_cov_15.9947	archaea	n/a
NODE_4684_length_3639_cov_32.6764	bacteria	n/a
NODE_4712_length_9638_cov_31.8273	bacteria	n/a
NODE_4715_length_3264_cov_28.0000	archaea	n/a
NODE_4716_length_3288_cov_26.2534	bacteria	n/a
NODE_4837_length_6321_cov_21.0000	bacteria	n/a
NODE_4872_length_7273_cov_45.6419	bacteria	n/a
NODE_4917_length_4525_cov_6.0000	eukarya	n/a
NODE_4952_length_4789_cov_51.0000	bacteria	n/a
NODE_4977_length_13307_cov_13.0000	bacteria	n/a
NODE_4988_length_3961_cov_6.0000	bacteria	n/a
NODE_5018_length_3581_cov_11.0000	bacteria	n/a
NODE_5074_length_3782_cov_29.3271	bacteria	n/a
NODE_5082_length_3661_cov_15.7078	bacteria	n/a
NODE_5131_length_4299_cov_12.8622	bacteria	n/a
