bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,transposase_pnps_median,transposase_count
MED-1001,ERR315856,DCM,0.08797911458159041,22.0,,,,
MED-1001,ERR315857,SRF,0.06542054544295993,70.0,0.022739722830617256,7.0,,
MED-1001,ERR315858,SRF,0.05877655077632605,24.0,,,,
MED-1001,ERR315859,DCM,0.07337800883982576,29.0,,,,
MED-1001,ERR315860,DCM,0.0595766471746237,30.0,,,,
MED-1001,ERR315861,SRF,0.06489401290242677,25.0,,,,
MED-1001,ERR315862,SRF,0.10199985196399822,220.0,0.1970077495367344,3.0,,
MED-1001,ERR315863,SRF,0.08341874623382367,40.0,,,,
MED-1001,ERR318618,DCM,0.08078775426261188,396.0,0.07040033913812832,17.0,,
MED-1001,ERR318619,DCM,0.029320078696512146,10.0,,,,
MED-1001,ERR318620,DCM,0.07166553638362759,419.0,0.005953408379734128,12.0,,
MED-1001,ERR318621,DCM,0.03750197736800007,9.0,,,,
MED-1001,ERR594288,SRF,0.0754556620592845,412.0,0.041996883112478865,9.0,,
MED-1001,ERR594315,DCM,0.05680293536125696,5.0,0.03565999753502296,1.0,,
MED-1001,ERR594316,SRF,0.07303902655734493,20.0,,,,
MED-1001,ERR594317,SRF,0.07967062801938582,59.0,0.019300524228397953,4.0,,
MED-1001,ERR594329,DCM,0.09150644150645494,1091.0,0.0515328652438449,42.0,,
MED-1001,ERR594358,SRF,0.7585530572713228,1.0,,,,
MED-1001,ERR598951,SRF,0.07105154448634714,13.0,,,,
MED-1001,ERR598993,SRF,0.09536698516440542,1207.0,0.040496781680645015,53.0,,
MED-1001,ERR599043,SRF,0.08582133165588783,33.0,,,,
MED-1001,ERR599073,DCM,0.08844341285532174,71.0,,,,
MED-1001,ERR599092,DCM,0.09800460569172278,1258.0,0.06001584948323578,54.0,,
MED-1001,ERR599094,DCM,0.09724821564012097,35.0,,,,
MED-1001,ERR599140,SRF,0.09553244159814356,32.0,,,,
MED-1001,ERR599153,DCM,0.09269176646680033,14.0,,,,
MED-1008,ERR315856,DCM,0.05864768457415996,31.0,0.029038431021731363,2.0,,
MED-1008,ERR315857,SRF,0.7469618718086113,1600.0,0.4138102262951989,65.0,,
MED-1008,ERR315858,SRF,0.04298325139117713,31.0,0.06010734987328502,2.0,,
MED-1008,ERR315859,DCM,0.004304152554153223,5.0,,,,
MED-1008,ERR315860,DCM,0.02580781386321239,5.0,,,,
MED-1008,ERR315861,SRF,0.009425542450141447,32.0,0.004714220545444981,2.0,,
MED-1008,ERR315862,SRF,0.19720472674102,9.0,,,,
MED-1008,ERR315863,SRF,0.02467097119140081,109.0,0.03531974812255665,9.0,,
MED-1008,ERR318618,DCM,0.002376029792362661,1.0,,,,
MED-1008,ERR318620,DCM,0.0014927515465652734,1.0,,,,
MED-1008,ERR594288,SRF,0.10594058591322476,1460.0,0.061124808384720265,61.0,,
MED-1008,ERR594316,SRF,0.020860174862462076,10.0,,,,
MED-1008,ERR594317,SRF,0.05311395784040068,547.0,0.040695772630886605,27.0,,
MED-1008,ERR594329,DCM,0.0429653882276985,2.0,,,,
MED-1008,ERR594358,SRF,0.04872088886761328,10.0,,,,
MED-1008,ERR594375,DCM,0.049481175294022565,7.0,,,,
MED-1008,ERR594396,SRF,0.0690901850305234,22.0,,,,
MED-1008,ERR598951,SRF,0.008349258557218641,29.0,0.3001986531986521,1.0,,
MED-1008,ERR598993,SRF,0.0043013908179038544,1.0,,,,
MED-1008,ERR599043,SRF,0.05402410021598092,944.0,0.04706009910544044,56.0,,
MED-1008,ERR599092,DCM,0.030584794818669086,1.0,,,,
MED-1008,ERR599094,DCM,0.10551871669071113,2.0,,,,
