gene_callers_id,pnps,ocean,depth,bin,sample_id,scg_pnps_median,scg_count,MAG_pnps_median,total_count,integron
4260,0.02199364550361485,IN,deep,deep-0478,SRR3963457,,,1.7094060754982348,5.0,
6152,1.9790435907517256,IN,deep,deep-0478,SRR3963457,,,1.7094060754982348,5.0,
4260,0.6920728052619649,NAT,deep,deep-0478,SRR3960576,,,0.3671101651278458,35.0,
6152,0.7669915902861747,NAT,deep,deep-0478,SRR3960576,,,0.3671101651278458,35.0,
243,1.2143379386979523,NAT,deep,deep-0478,SRR3960576,,,0.3671101651278458,35.0,
1118,0.2314174363084917,NAT,deep,deep-0478,SRR3960576,,,0.3671101651278458,35.0,
4260,0.13612435092838188,NAT,deep,deep-0478,SRR3960580,,,0.5039178644683231,12.0,
6152,0.7400474897768332,NAT,deep,deep-0478,SRR3960580,,,0.5039178644683231,12.0,
243,1.1692763494995948,NAT,deep,deep-0478,SRR3960580,,,0.5039178644683231,12.0,
4260,0.04729066633945919,NAT,deep,deep-0478,SRR3960581,,,0.1424146863963328,19.0,
3510,0.049976956207344235,NAT,deep,deep-0478,SRR3960581,,,0.1424146863963328,19.0,
4260,0.055311211359316464,SP,deep,deep-0478,SRR3962772,,,0.1627784413781948,19.0,
6152,0.9661393299626077,SP,deep,deep-0478,SRR3962772,,,0.1627784413781948,19.0,
3510,0.054329902273643205,SP,deep,deep-0478,SRR3962772,,,0.1627784413781948,19.0,
4260,0.05697137436904815,SP,deep,deep-0478,SRR3962777,,,0.17961314671043702,6.0,
4260,0.04595306206318425,SP,deep,deep-0478,SRR3963456,,,0.20927174584794309,19.0,
6152,0.7595928542784965,SP,deep,deep-0478,SRR3963456,,,0.20927174584794309,19.0,
3510,0.06110064584403095,SP,deep,deep-0478,SRR3963456,,,0.20927174584794309,19.0,
4260,0.06373530051897511,NP,deep,deep-0478,SRR3960684,,,0.14766844009672064,4.0,
4260,0.06195885066231785,NP,deep,deep-0478,SRR3961936,,,0.2378142704231952,13.0,
6152,1.5693974462280942,NP,deep,deep-0478,SRR3961936,,,0.2378142704231952,13.0,
3510,0.059728458126149415,NP,deep,deep-0478,SRR3961936,,,0.2378142704231952,13.0,
4260,0.0491219610256055,NP,deep,deep-0478,SRR3962508,,,0.15322258983051634,10.0,
3510,0.01693208823721875,NP,deep,deep-0478,SRR3962508,,,0.15322258983051634,10.0,
4260,0.057131761273801936,NP,deep,deep-0478,SRR3962771,,,0.23516370566210346,14.0,
6152,0.5081005647249375,NP,deep,deep-0478,SRR3962771,,,0.23516370566210346,14.0,
3510,0.04363696651373111,NP,deep,deep-0478,SRR3962771,,,0.23516370566210346,14.0,
6152,1.4234896390423872,IN,deep,deep-0478,SRR3963458,,,1.4234896390423872,5.0,
6152,0.3724807443223632,NAT,deep,deep-0478,SRR3960572,,,0.3816872284751727,5.0,
243,0.9615281632852484,NAT,deep,deep-0478,SRR3960572,,,0.3816872284751727,5.0,
8003,2.0373474294116507,IN,deep,deep-0126,SRR3963498,,,0.9330381580525732,5.0,
10450,0.42027256481947983,IN,deep,deep-0126,SRR3963498,,,0.9330381580525732,5.0,
8003,2.8263096154596816,IN,deep,deep-0126,SRR3963571,0.36874323090318223,1.0,0.3596754384206597,22.0,
9074,0.09466892395381878,IN,deep,deep-0126,SRR3963571,0.36874323090318223,1.0,0.3596754384206597,22.0,
10450,0.2448092775388018,IN,deep,deep-0126,SRR3963571,0.36874323090318223,1.0,0.3596754384206597,22.0,
8003,2.5392267300670417,IN,deep,deep-0126,SRR3964650,,,0.2864504835665068,6.0,
10450,0.1679824261371251,IN,deep,deep-0126,SRR3964650,,,0.2864504835665068,6.0,
8003,3.2836156945668433,SAT,deep,deep-0126,SRR3965676,,,0.23758195393415704,8.0,
10450,0.20637240412907806,SAT,deep,deep-0126,SRR3965676,,,0.23758195393415704,8.0,
8003,2.0306248586501376,SAT,deep,deep-0126,SRR3965809,,,0.5161963417716157,5.0,
8003,4.732869015399492,SAT,deep,deep-0126,SRR3965875,,,0.4953773452932199,6.0,
