Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Amphilonche_elongata-1479417at2759-S1	8	638	12	650	1689	38.48	98.15
greenalgae-Micromonas_pusilla-390348at2759-S1	2	196	5	201	3105	6.47	97.51
other_MGCollapse_EASP3-199	2	179	5	184	2154	8.54	97.28
other_MGCollapse_EASP3-565	2	136	1	137	783	17.5	99.27
other_MGCollapse_EPSP3-7	2	125	5	130	1578	8.24	96.15
protist-Thalassionema_frauenfeldii-39650at2759-D1	27	1633	47	1680	6950	24.17	97.2
protist-Thalassionema_frauenfeldii-179362at2759-S1	8	548	13	561	3123	17.96	97.68
protist-Thalassionema_frauenfeldii-293315at2759-S1	8	616	17	633	4305	14.7	97.31
protist-Thalassionema_frauenfeldii-355408at2759-S1	6	389	5	394	2054	19.18	98.73
protist-Thalassionema_frauenfeldii-383503at2759-S1	2	168	6	174	1773	9.81	96.55
protist-Thalassionema_frauenfeldii-396755at2759-S1	6	519	11	530	3861	13.73	97.92
protist-Thalassionema_frauenfeldii-491869at2759-S1	4	341	7	348	1593	21.85	97.99
protist-Thalassionema_frauenfeldii-513979at2759-S1	4	192	5	197	1644	11.98	97.46
protist-Thalassionema_frauenfeldii-543764at2759-S1	2	143	4	147	1460	10.07	97.28
protist-Thalassionema_frauenfeldii-604979at2759-S1	4	330	3	333	1494	22.29	99.1
protist-Thalassionema_frauenfeldii-625387at2759-S1	2	196	6	202	5262	3.84	97.03
protist-Thalassionema_frauenfeldii-671536at2759-S1	2	121	3	124	1617	7.67	97.58
protist-Thalassionema_frauenfeldii-692986at2759-S1	2	152	3	155	2283	6.79	98.06
protist-Thalassionema_frauenfeldii-751335at2759-S1	88	1398	42	1440	1467	98.16	97.08
protist-Thalassionema_frauenfeldii-768809at2759-S1	2	199	3	202	1332	15.17	98.51
protist-Thalassionema_frauenfeldii-777920at2759-S1	4	268	4	272	1743	15.61	98.53
protist-Thalassionema_frauenfeldii-779909at2759-S1	1	100	1	101	981	10.3	99.01
protist-Thalassionema_frauenfeldii-814241at2759-S1	6	338	9	347	1344	25.82	97.41
protist-Thalassionema_frauenfeldii-817008at2759-S1	6	313	6	319	2022	15.78	98.12
protist-Thalassionema_frauenfeldii-834694at2759-S1	4	271	4	275	2095	13.13	98.55
protist-Thalassionema_frauenfeldii-836599at2759-S1	38	508	17	525	1548	33.91	96.76
protist-Thalassionema_frauenfeldii-855834at2759-S1	11	883	19	902	1812	49.78	97.89
protist-Thalassionema_frauenfeldii-865202at2759-S1	2	198	4	202	996	20.28	98.02
protist-Thalassionema_frauenfeldii-866359at2759-S1	4	333	4	337	1026	32.85	98.81
protist-Thalassionema_frauenfeldii-905026at2759-S1	2	195	6	201	2496	8.05	97.01
protist-Thalassionema_frauenfeldii-917326at2759-S1	9	640	19	659	2007	32.84	97.12
protist-Thalassionema_frauenfeldii-919955at2759-D1	17	825	22	847	1221	69.37	97.4
protist-Thalassionema_frauenfeldii-937686at2759-S1	26	1012	24	1036	1413	73.32	97.68
protist-Thalassionema_frauenfeldii-939345at2759-S1	2	143	3	146	900	16.22	97.95
protist-Thalassionema_frauenfeldii-956854at2759-S1	5	353	9	362	888	40.77	97.51
protist-Thalassionema_frauenfeldii-975557at2759-S1	2	136	2	138	2307	5.98	98.55
protist-Thalassionema_frauenfeldii-1018517at2759-S1	4	320	9	329	861	38.21	97.26
protist-Thalassionema_frauenfeldii-1030907at2759-S1	17	721	21	742	1198	61.94	97.17
protist-Thalassionema_frauenfeldii-1108845at2759-S1	3	155	2	157	1534	10.23	98.73
protist-Thalassionema_frauenfeldii-1157302at2759-S1	6	361	15	376	771	48.77	96.01
protist-Thalassionema_frauenfeldii-1161199at2759-S1	37	760	28	788	867	90.89	96.45
protist-Thalassionema_frauenfeldii-1194691at2759-S1	34	1016	29	1045	1251	83.53	97.22
protist-Thalassionema_frauenfeldii-1194797at2759-D2	14	769	15	784	2142	36.6	98.09
protist-Thalassionema_frauenfeldii-1223488at2759-S1	2	163	3	166	621	26.73	98.19
protist-Thalassionema_frauenfeldii-1236198at2759-S1	4	162	7	169	777	21.75	95.86
protist-Thalassionema_frauenfeldii-1248958at2759-S1	6	423	11	434	2918	14.87	97.47
protist-Thalassionema_frauenfeldii-1249159at2759-S1	2	197	5	202	651	31.03	97.52
protist-Thalassionema_frauenfeldii-1257440at2759-S1	2	198	4	202	606	33.33	98.02
protist-Thalassionema_frauenfeldii-1264469at2759-S1	1	100	1	101	748	13.5	99.01
protist-Thalassionema_frauenfeldii-1287094at2759-S1	14	499	12	511	611	83.63	97.65
protist-Thalassionema_frauenfeldii-1287401at2759-S1	4	282	8	290	762	38.06	97.24
