ocean,gene_callers_id,gene_function,category,pnps,from_integron_type,log_pnps,gene_type
ARS,125435,,,0.217076302,CALIN,-0.663387585,no_call
ARS,125436,,,0.14705795,CALIN,-0.832511493,no_call
ARS,125439,,,0.069461969,CALIN,-1.15825291,no_call
ARS,241253,,,0.838587516,CALIN,-0.076451607,no_call
ARS,241254,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",Inorganic ion transport and metabolism,1.010062168,CALIN,0.004348105,non_defense
ARS,241255,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",Inorganic ion transport and metabolism,0.312771247,CALIN,-0.504773179,non_defense
ARS,340183,,,0.246384372,CALIN,-0.608386842,no_call
ARS,368706,,,0.315478843,CALIN,-0.50102976,no_call
ARS,381491,"Lipid-binding SYLF domain, Ysc84/FYVE family (SYLF) (PUBMED:21624956)",Lipid transport and metabolism,0.224266698,CALIN,-0.649235211,non_defense
ARS,381492,,,0.502656172,CALIN,-0.29872898,no_call
ARS,452342,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.064814132,CALIN,-1.18833029,non_defense
ARS,491997,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.104289621,complete,-0.98175891,non_defense
ARS,566886,,,0.103997735,CALIN,-0.982976121,no_call
ARS,566887,,,0.096092138,CALIN,-1.017312142,no_call
ARS,585642,,,0.195377171,CALIN,-0.709126183,no_call
ARS,585643,,,1.231483097,CALIN,0.090428455,no_call
ARS,600867,,,0.278323707,CALIN,-0.5554498,no_call
ARS,600870,,,3.702482296,CALIN,0.568492991,no_call
ARS,600871,,,0.062476444,CALIN,-1.204283701,no_call
ARS,600872,Trans-aconitate methyltransferase (Tam) (PDB:2P35),Energy production and conversion,0.096741107,CALIN,-1.014388946,non_defense
ARS,601563,,,0.601293225,CALIN,-0.220913689,no_call
ARS,605793,,,0.028996952,CALIN,-1.537647651,no_call
ARS,605795,,,0.7091511,CALIN,-0.149261219,no_call
ARS,625255,,,2.932806324,CALIN,0.467283384,no_call
ARS,655842,,,1.272022967,CALIN,0.104494953,no_call
ARS,671431,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.862989878,complete,-0.063994298,non_defense
ARS,764827,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.195963676,CALIN,-0.707824422,defense
ARS,764828,"Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family (PDB:2A6Q)",Defense mechanisms,0.0869275,CALIN,-1.060842812,defense
ARS,764829,"Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)",Transcription,0.267430747,CALIN,-0.572788663,non_defense
ARS,786463,,,4.315450344,CALIN,0.635026124,no_call
ARS,786464,,,1.877772921,CALIN,0.273643072,no_call
ARS,786465,,,0.758068193,CALIN,-0.120291725,no_call
ARS,786470,,,0.495646936,CALIN,-0.304827575,no_call
ARS,807712,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),"Translation, ribosomal structure and biogenesis",0.064947765,CALIN,-1.187435792,non_defense
ARS,807719,,,0.19299821,CALIN,-0.714446718,no_call
ARS,807721,,,0.021712772,CALIN,-1.66328472,no_call
ARS,808252,Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U),Nucleotide transport and metabolism!!!General function prediction only,0.115768258,CALIN,-0.9364105,non_defense
ARS,808253,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)",Coenzyme transport and metabolism!!!General function prediction only,0.17350191,CALIN,-0.760695739,non_defense
ARS,808254,"Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family (YtfP) (PDB:1V30) (PUBMED:16754964;20110353)",Amino acid transport and metabolism,0.664432921,CALIN,-0.177548858,non_defense
ARS,909151,Outer membrane receptor for monomeric catechols (Fiu),Inorganic ion transport and metabolism,0.053937505,CALIN,-1.268109149,non_defense
ARS,916040,,,0.148510244,CALIN,-0.82824359,no_call
ARS,916042,,,0.156133166,CALIN,-0.806504835,no_call
ARS,916043,,,0.04907612,CALIN,-1.309129776,no_call
ARS,916044,,,0.272954202,CALIN,-0.563910216,no_call
ARS,925184,Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW),Lipid transport and metabolism,0.013737655,complete,-1.86208738,non_defense
ARS,925185,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.032494424,complete,-1.488191155,non_defense
ARS,1102580,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",Inorganic ion transport and metabolism,0.192119045,CALIN,-0.716429582,non_defense
ARS,1102584,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",Inorganic ion transport and metabolism,0.092482191,CALIN,-1.033941888,non_defense
ARS,1102585,"Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)",Inorganic ion transport and metabolism,1.731707797,CALIN,0.238474612,non_defense
ARS,1139519,,,0.199205201,CALIN,-0.700699327,no_call
ARS,1139520,"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)",Energy production and conversion,0.679948062,CALIN,-0.16752426,non_defense
ARS,1139521,Uncharacterized conserved protein (PDB:1X6M),Function unknown,0.19328714,CALIN,-0.713797041,non_defense
ARS,1167330,,,0.148753346,CALIN,-0.827533255,no_call
ARS,1172804,,,0.602008132,CALIN,-0.220397642,no_call
ARS,1172806,,,0.095972182,CALIN,-1.017854631,no_call
ARS,1188125,,,0.74226318,complete,-0.129442082,no_call
ARS,1188126,,,0.629082834,complete,-0.201292165,no_call
ARS,1188127,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.241747745,complete,-0.616637569,non_defense
ARS,1190477,,,0.117225397,CALIN,-0.930978289,no_call
ARS,1192428,,,0.453295162,CALIN,-0.343618916,no_call
ARS,1259750,,,0.126844654,CALIN,-0.896727833,no_call
ARS,1280481,,,0.157271499,CALIN,-0.803349974,no_call
ARS,1280482,,,0.308178677,CALIN,-0.511197414,no_call
ARS,1280483,,,0.510815977,CALIN,-0.291735527,no_call
ARS,1310255,,,0.216426777,CALIN,-0.664689008,no_call
ARS,1310257,Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid (PDB:2ADL),"Mobilome: prophages, transposons",inf,CALIN,inf,non_defense
ARS,1310260,,,1.029987517,CALIN,0.012831961,no_call
ARS,1386836,,,0.15096414,CALIN,-0.821126202,no_call
ARS,1487877,LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA) (LptD) (PDB:4N4R),Cell wall/membrane/envelope biogenesis,0.002447351,CALIN,-2.611303753,non_defense
ARS,1491874,,,0.764153494,CALIN,-0.116819397,no_call
ARS,1491876,,,0.076698217,CALIN,-1.11521473,no_call
ARS,1498184,,,0.322398067,CALIN,-0.491607571,no_call
ARS,1498186,,,2.271743683,CALIN,0.356359329,no_call
ARS,1540978,,,0.902558765,CALIN,-0.044524512,no_call
ARS,1568434,,,0.01559556,CALIN,-1.806999026,no_call
ARS,1568436,,,0.205464777,CALIN,-0.68726262,no_call
ARS,1568437,,,0.337857006,CALIN,-0.471267071,no_call
ARS,1590389,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.135756149,complete,-0.86724049,non_defense
ARS,1596400,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.165435348,complete,-0.78137169,non_defense
ARS,1628773,Orotidine-5'-phosphate decarboxylase (PyrF) (PDB:1DBT),Nucleotide transport and metabolism,0.010872961,CALIN,-1.963652172,non_defense
ARS,1652051,,,1.091579801,CALIN,0.038055491,no_call
ARS,1703576,,,0.208052529,CALIN,-0.681827,no_call
ARS,1712058,,,0.168975176,CALIN,-0.772177093,no_call
ARS,1712060,,,0.376066254,CALIN,-0.424735636,no_call
ARS,1712062,,,1.739252329,CALIN,0.240362594,no_call
ARS,1855678,,,0.048602796,CALIN,-1.313338746,no_call
ARS,1865323,,,0.208621746,CALIN,-0.680640424,no_call
ARS,1868824,,,0.08282899,CALIN,-1.081817636,no_call
ARS,1868825,,,3.126813684,CALIN,0.495102004,no_call
ARS,1868826,,,0.195244329,CALIN,-0.709421571,no_call
ARS,1868828,,,1.8496885,CALIN,0.267098597,no_call
ARS,1886090,Site-specific recombinase XerC (XerC),"Replication, recombination and repair",0.101126768,CALIN,-0.995133874,non_defense
ARS,1892383,,,0.952658825,CALIN,-0.021062605,no_call
ARS,1892385,,,0.374620057,CALIN,-0.426408974,no_call
ARS,1899004,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.080172952,complete,-1.095972124,non_defense
ARS,1901064,,,1.516892412,CALIN,0.180954779,no_call
ARS,1912099,,,0.153862169,CALIN,-0.812868151,no_call
ARS,1912102,,,3.985836114,CALIN,0.600519438,no_call
ARS,1930000,,,0.19880241,CALIN,-0.701578356,no_call
ARS,1936407,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.325372899,complete,-0.487618623,non_defense
ARS,1942940,,,0.672755565,CALIN,-0.172142701,no_call
ARS,1942941,Dienelactone hydrolase (DLH) (PDB:4ZV9),"Secondary metabolites biosynthesis, transport and catabolism",0.063307551,CALIN,-1.198544485,non_defense
ARS,1945256,,,1.779574297,CALIN,0.250316124,no_call
ARS,2070832,,,41.75686149,CALIN,1.620727849,no_call
ARS,2070835,,,0.373429307,CALIN,-0.427791601,no_call
ARS,2094824,"Transposase and inactivated derivatives, IS5 family (IS5)","Mobilome: prophages, transposons",0.116673019,complete,-0.933029564,non_defense
ARS,2094826,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",1.128149527,complete,0.052366666,non_defense
ARS,2131642,,,0.024655189,CALIN,-1.608091656,no_call
ARS,2131643,Putative NADPH-quinone reductase (modulator of drug activity B) (MdaB) (PDB:1D4A),General function prediction only,0.728034535,CALIN,-0.137848019,non_defense
ARS,2131644,,,0.508763381,CALIN,-0.293484155,no_call
ARS,2133288,Trans-aconitate methyltransferase (Tam) (PDB:2P35),Energy production and conversion,0.368530442,CALIN,-0.433526632,non_defense
ARS,2133756,,,0.107669567,CALIN,-0.967907032,no_call
ARS,2133758,,,0.374601016,CALIN,-0.42643105,no_call
ARS,2134970,,,0.324147382,CALIN,-0.489257481,no_call
ARS,2134971,,,0.181276649,CALIN,-0.741658135,no_call
ARS,2134972,,,0.808800362,CALIN,-0.092158663,no_call
ARS,2191377,,,0.427042916,CALIN,-0.369528478,no_call
ARS,2211486,,,0.144530895,CALIN,-0.840039309,no_call
ARS,2219808,,,0.267792077,CALIN,-0.572202276,no_call
ARS,2219810,,,inf,CALIN,inf,no_call
ARS,2229945,,,0.259891425,CALIN,-0.585208049,no_call
ARS,2240349,,,inf,CALIN,inf,no_call
ARS,2240350,,,0.259041968,CALIN,-0.58662987,no_call
ARS,2240351,,,0.732021404,CALIN,-0.13547622,no_call
ARS,2252005,,,0.318957981,CALIN,-0.496266526,no_call
ARS,2252020,,,0.794213107,CALIN,-0.10006295,no_call
ARS,2252021,,,0.661823738,CALIN,-0.17925766,no_call
ARS,2286150,"C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)","Posttranslational modification, protein turnover, chaperones",0.268545362,CALIN,-0.570982343,non_defense
ARS,2842895,,,0.796782572,CALIN,-0.098660174,no_call
ARS,2898217,,,0.357675598,CALIN,-0.446510688,no_call
ARS,2898218,,,0.614455879,CALIN,-0.211509296,no_call
ARS,2926230,,,1.247704473,CALIN,0.096111732,no_call
ARS,2926231,,,0.954741279,CALIN,-0.0201143,no_call
ARS,2926232,,,0.009934363,CALIN,-2.002859974,no_call
ARS,2941243,,,inf,CALIN,inf,no_call
ARS,2954533,Ribonuclease G or E (CafA) (PDB:1SLJ),"Translation, ribosomal structure and biogenesis",3.313621947,CALIN,0.520302958,non_defense
ARS,2972097,"N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)",Amino acid transport and metabolism,0.137432991,CALIN,-0.861909003,non_defense
ARS,2972098,,,0.296257141,CALIN,-0.528331172,no_call
ARS,2972099,,,1.117676476,CALIN,0.04831611,no_call
CPC,14067,,,0.057006528,CALIN,-1.244075406,no_call
CPC,14068,,,0.300425066,CALIN,-0.522263835,no_call
CPC,35880,,,0.154151625,CALIN,-0.812051893,no_call
CPC,44000,"mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system (RelE) (PDB:1WMI)",Defense mechanisms,0.126372827,CALIN,-0.8983463,defense
CPC,99698,,,0.421749782,CALIN,-0.374945134,no_call
CPC,157350,,,0.1101175,CALIN,-0.958143656,no_call
CPC,186595,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.462196293,complete,-0.335173542,non_defense
CPC,261558,,,0.637249357,CALIN,-0.195690594,no_call
CPC,307173,"Predicted RNA-binding protein, contains PUA-like EVE domain (PDB:1WMM)",General function prediction only,0.031464223,complete,-1.502182983,non_defense
CPC,307176,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.04671501,complete,-1.330543554,non_defense
CPC,417719,,,0.232947611,CALIN,-0.632741739,no_call
CPC,417731,,,0.113822434,CALIN,-0.943772131,no_call
CPC,417732,,,0.049068364,CALIN,-1.30919842,no_call
CPC,417735,,,1.48602071,CALIN,0.172024862,no_call
CPC,467178,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q),"Replication, recombination and repair",0.011453414,CALIN,-1.941065028,non_defense
CPC,485578,,,inf,CALIN,inf,no_call
CPC,485578,,,inf,CALIN,inf,no_call
CPC,490382,Trans-aconitate methyltransferase (Tam) (PDB:2P35),Energy production and conversion,0.188158276,CALIN,-0.725476674,non_defense
CPC,597742,,,0.385971692,CALIN,-0.413444546,no_call
CPC,597743,,,0.396164729,CALIN,-0.402124193,no_call
CPC,736608,,,0.504920362,CALIN,-0.296777115,no_call
CPC,736609,,,1.456219162,CALIN,0.163226741,no_call
CPC,753853,Transposase,"Mobilome: prophages, transposons",0.045559115,CALIN,-1.341424724,non_defense
CPC,771302,"Accessory colonization factor AcfC, contains ABC-type periplasmic domain (AcfC) (PDB:4JB7)",Cell wall/membrane/envelope biogenesis,0.197818628,CALIN,-0.703732815,non_defense
CPC,777608,,,0.081949047,CALIN,-1.086456092,no_call
CPC,777614,Uncharacterized conserved protein,Function unknown,0.041586851,CALIN,-1.381043964,non_defense
CPC,777615,"DNA-binding transcriptional regulator YiaG, XRE-type HTH domain (YiaG) (PDB:5JAA)",Transcription,0.013173884,CALIN,-1.880286171,non_defense
CPC,820412,,,0.377032703,CALIN,-0.423620978,no_call
CPC,820414,,,0.012511109,CALIN,-1.902704193,no_call
CPC,820415,,,0.055322529,CALIN,-1.257097971,no_call
CPC,820418,"Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)",Defense mechanisms,0.058565254,CALIN,-1.232359969,defense
CPC,845263,,,0.004645726,complete,-2.332946455,no_call
CPC,845266,,,1.100611637,complete,0.041634101,no_call
CPC,954359,,,0.544300505,CALIN,-0.264161263,no_call
CPC,971684,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)",Coenzyme transport and metabolism!!!General function prediction only,0.373009888,CALIN,-0.428279655,non_defense
CPC,977059,,,0.134036729,CALIN,-0.872776181,no_call
CPC,977060,"Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family (Ccc1) (PDB:6IU3)",Inorganic ion transport and metabolism,0.201585504,CALIN,-0.695540702,non_defense
CPC,995184,,,0.463037231,CALIN,-0.334384088,no_call
CPC,1021396,,,inf,CALIN,inf,no_call
CPC,1021397,,,0.066400856,CALIN,-1.177826325,no_call
CPC,1035829,,,0.090399483,CALIN,-1.043834053,no_call
CPC,1035830,"CubicO group peptidase, beta-lactamase class C family (AmpC) (PDB:1BLS)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)","Defense mechanisms!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",0.083597768,CALIN,-1.077805315,defense
CPC,1035832,Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4),General function prediction only,0.089655249,CALIN,-1.047424279,non_defense
CPC,1043561,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.281538087,complete,-0.550462844,non_defense
CPC,1050714,,,1.345089206,CALIN,0.128751088,no_call
CPC,1097985,,,1.132358697,CALIN,0.05398402,no_call
CPC,1097990,"Transglutaminase-like enzyme, putative cysteine protease (YebA) (PDB:3ISR)","Posttranslational modification, protein turnover, chaperones",3.151197355,CALIN,0.498475603,non_defense
CPC,1111862,,,0.800962923,CALIN,-0.096387587,no_call
CPC,1114697,,,0.358054562,CALIN,-0.446050789,no_call
CPC,1142278,,,0.210397211,CALIN,-0.67696002,no_call
CPC,1144228,Site-specific recombinase XerD (XerD) (PDB:1A0P),"Replication, recombination and repair",0.23599788,complete,-0.627091898,non_defense
CPC,1153148,,,0.441589146,CALIN,-0.35498161,no_call
CPC,1156700,Ribosomal protein S18 acetylase RimI and related acetyltransferases (RimI) (PDB:1GHE),"Translation, ribosomal structure and biogenesis",0.932600281,CALIN,-0.030304458,non_defense
CPC,1183050,,,0.155157195,CALIN,-0.809228081,no_call
CPC,1183052,,,2.602280522,CALIN,0.415354111,no_call
CPC,1184341,,,0.045310183,CALIN,-1.343804179,no_call
CPC,1184344,,,inf,CALIN,inf,no_call
CPC,1184996,Plasmid maintenance system killer protein (HigB),Defense mechanisms,0.079985054,CALIN,-1.096991155,defense
CPC,1184997,"Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)",Defense mechanisms,0.118351102,CALIN,-0.926827695,defense
CPC,1184999,,,0.237865374,CALIN,-0.623668773,no_call
CPC,1186510,,,0.542718411,CALIN,-0.265425445,no_call
