bin,total_bp,archaea_prop,bacteria_prop,eukarya_prop,prokarya_prop,organelle_prop,unknown_prop,archaea,bacteria,eukarya,prokarya,organelle,unknown
deep_MAG_0604,3087883,0.0,0.9099596713994669,0.0,0.0,0.0,0.0,0,2809849,0,0,0,0
deep_MAG_0339,1794310,0.009418662327022645,0.9666869158618075,0.0,0.00656575508134046,0.0,0.0,16900,1734536,0,11781,0,0
deep_MAG_0344,3696298,0.001495009330957623,0.9776909221063886,0.0,0.0,0.0,0.0,5526,3613837,0,0,0,0
deep_MAG_0047,2761332,0.0,0.9348915668235475,0.0,0.0,0.0,0.0,0,2581546,0,0,0,0
deep_MAG_0507,1289162,0.04710657000439045,0.010453302222684193,0.0,0.14171919432933952,0.0,0.7359362128266269,60728,13476,0,182699,0,948741
deep_MAG_0140,3950216,0.0,0.9988524678144183,0.0,0.0,0.0,0.0,0,3945683,0,0,0,0
deep_MAG_0137,4998194,0.0,0.9990502569528114,0.0,0.0,0.0,0.0,0,4993447,0,0,0,0
deep_MAG_0295,2924193,0.0,0.9719447382577004,0.0,0.0,0.0,0.0,0,2842154,0,0,0,0
deep_MAG_0376,2624150,0.0,0.9472187184421622,0.0,0.0,0.0,0.0,0,2485644,0,0,0,0
deep_MAG_0075,3838843,0.0,0.998546176543297,0.0,0.0,0.0,0.0,0,3833262,0,0,0,0
deep_MAG_0002,3413907,0.0,0.9187250853640712,0.0,0.0,0.0,0.0,0,3136442,0,0,0,0
deep_MAG_0196,832540,0.8524527350037235,0.01980085040958993,0.0,0.0,0.0,0.025622792898839696,709701,16485,0,0,0,21332
deep_MAG_0008,2884344,0.0,0.8682098945202098,0.0,0.0,0.0,0.0,0,2504216,0,0,0,0
deep_MAG_0105,395139,0.0,0.762744249491951,0.0,0.0,0.017932929930986313,0.15717760079364476,0,301390,0,0,7086,62107
deep_MAG_0438,1670348,0.04669805333978309,0.44077880776939893,0.0,0.46629983692021065,0.0,0.008151594757499634,78002,736254,0,778883,0,13616
deep_MAG_0535,3189164,0.0,0.9758134106618537,0.0,0.0,0.0,0.0011244326099253596,0,3112029,0,0,0,3586
deep_MAG_0542,4197046,0.0,0.996283814854543,0.0,0.0,0.0,0.0,0,4181449,0,0,0,0
deep_MAG_0320,1994542,0.0,0.9408962057454794,0.0,0.0,0.0,0.0,0,1876657,0,0,0,0
deep_MAG_0250,3119174,0.0,0.9544430672992273,0.0,0.0,0.0,0.0035150331465958616,0,2977074,0,0,0,10964
deep_MAG_0617,3353263,0.0,0.9596753967702504,0.0,0.0,0.0,0.0,0,3218044,0,0,0,0
deep_MAG_0153,3551796,0.0,0.9985984555419286,0.0,0.0,0.0,0.0,0,3546818,0,0,0,0
deep_MAG_0029,3070040,0.0,0.9766905317194564,0.0,0.0,0.0,0.0,0,2998479,0,0,0,0
deep_MAG_0480,2389281,0.0,0.9265034125328917,0.0,0.0,0.0,0.0,0,2213677,0,0,0,0
deep_MAG_0514,1725742,0.017571572112169722,0.8471474878631916,0.0,0.12168157233236486,0.0,0.0,30324,1461958,0,209991,0,0
deep_MAG_0569,398938,0.1360537226335922,0.6148223533481393,0.0,0.08754493179391284,0.0,0.0,54277,245276,0,34925,0,0
deep_MAG_0023,4049135,0.0,0.977585583093673,0.0,0.0,0.0,0.0,0,3958376,0,0,0,0
deep_MAG_0286,2202530,0.0,0.9785378632754151,0.0,0.0,0.0,0.0,0,2155259,0,0,0,0
deep_MAG_0262,5513709,0.0,0.9718115337606682,0.0,0.0,0.0,0.0,0,5358286,0,0,0,0
deep_MAG_0318,3860228,0.0,0.9639544607209729,0.0,0.0,0.0017239914326304042,0.0,0,3721084,0,0,6655,0
deep_MAG_0526,1042456,0.764842832695097,0.0,0.0,0.0,0.0,0.0,797315,0,0,0,0,0
deep_MAG_0161,4089531,0.0,0.9910681689416219,0.0,0.0,0.0,0.0,0,4053004,0,0,0,0
deep_MAG_0185,4007149,0.0,0.9956410405502765,0.0,0.0,0.0,0.0,0,3989682,0,0,0,0
deep_MAG_0421,8999217,0.0008955223548893198,0.9950532362982246,0.0,0.0,0.0,0.0,8059,8954700,0,0,0,0
