bin,mean_bin_pnps,median_bin_pnps,count
ARS-1,0.511861298,0.157418656,1181
ARS-100,0.178648881,0.056416545,1339
ARS-1004,0.21897341,0.119026044,1270
ARS-1009,0.145442947,0.096412856,2430
ARS-1012,0.136294293,0.087701782,3102
ARS-1018,0.313657436,0.115259943,520
ARS-1019,0.446674442,0.112164017,2321
ARS-102,4.625910862,0.258839829,65
ARS-1030,0.239031903,0.120500935,2486
ARS-1032,0.313737799,0.127718562,3338
ARS-1034,0.128840992,0.092663092,1831
ARS-1036,0.169717938,0.097468808,2514
ARS-1037,0.55156808,0.156713531,1908
ARS-104,0.531957318,0.030887452,36
ARS-11,2.148733295,0.729401091,400
ARS-112,1.445038152,0.812620171,509
ARS-1134,0.085336427,0.063930744,1147
ARS-115,0.183494519,0.059654129,27
ARS-1168,0.457735212,0.214897871,81
ARS-1176,0.173171641,0.099774007,55
ARS-1199,0.747868714,0.149929558,103
ARS-1203,0.324145149,0.105735542,78
ARS-1215,1.190649863,0.249494022,1170
ARS-123,0.170242639,0.08193133,1241
ARS-125,0.307007983,0.167196738,49
ARS-1297,0.487732864,0.150298645,37
ARS-13,0.874280991,0.290475995,137
ARS-1307,0.423823433,0.145584438,20
ARS-1330,0.534042185,0.28261896,895
ARS-1358,0.617887275,0.204580587,72
ARS-1360,0.87920408,0.352542232,81
ARS-1386,0.801515425,0.149533555,137
ARS-14,0.126385602,0.045014448,60
ARS-1414,0.363178296,0.115865786,63
ARS-1419,0.442108703,0.110288212,68
ARS-1426,2.429178679,0.254763041,1006
ARS-1427,0.273350645,0.083393218,86
ARS-1441,0.321469897,0.197092032,72
ARS-16,0.525775956,0.229499393,1743
ARS-17,0.844796741,0.308755489,2676
ARS-18,0.076312139,0.04157635,1523
ARS-24,0.153639783,0.098633335,2326
ARS-27,0.641185507,0.208355506,1438
ARS-29,2.049787919,0.256462096,421
ARS-3,1.173676953,0.689974558,2844
ARS-30,0.209800187,0.105632099,1185
