bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,transposase_pnps_median,transposase_count
SAT-1,ERR598947,MES,0.10741824034464599,13.0,,,1.3200994205637413,2.0
SAT-1,ERR598984,SRF,0.045107861101283925,1812.0,0.037529763796825696,30.0,0.0825986569506896,3.0
SAT-1,ERR599000,MES,0.05173039465591801,2822.0,0.041550342623925776,41.0,0.1716053322931583,5.0
SAT-1,ERR599005,MES,0.2553605714501453,9.0,,,0.5445709762616989,1.0
SAT-1,ERR599006,SRF,0.39514835398510567,4.0,,,,
SAT-1,ERR599009,SRF,0.6069212662192469,2.0,,,,
SAT-1,ERR599010,SRF,0.3721875098870633,2.0,,,,
SAT-1,ERR599017,DCM,0.6662164237137218,2.0,,,,
SAT-1,ERR599022,SRF,0.5443886331434261,1.0,,,,
SAT-1,ERR599035,SRF,0.6306218479498362,1.0,,,,
SAT-1,ERR599040,DCM,0.4517491811849619,5.0,,,0.69873674712385,1.0
SAT-1,ERR599044,MES,0.0457673773585607,2725.0,0.04218517769882674,40.0,0.1466971454888129,5.0
SAT-1,ERR599046,DCM,0.3621198732186964,1.0,,,,
SAT-1,ERR599101,DCM,0.36759710211767554,4.0,,,,
SAT-1,ERR599105,SRF,0.2556123786491455,11.0,,,0.3164179870298937,2.0
SAT-1,ERR599122,DCM,0.34016169444750444,5.0,,,,
SAT-1,ERR599124,MES,4.562444917380931,1.0,,,,
SAT-1,ERR599126,SRF,0.009483601931904648,225.0,0.015275154078042235,4.0,,
SAT-1,ERR599131,MES,0.44739035087719103,1.0,,,,
SAT-1,ERR599133,DCM,0.3117102132959132,4.0,,,,
SAT-1,ERR599137,DCM,0.4980191685510226,1.0,,,,
SAT-1,ERR599148,DCM,0.04723880172155449,2663.0,0.04093613865033949,40.0,0.2324475076295429,5.0
SAT-1,ERR599159,MES,0.039393989740546566,99.0,0.07471264367816075,3.0,0.06185894317215874,2.0
SAT-1,ERR599174,SRF,0.6457192979784531,2.0,,,,
SAT-10,ERR598947,MES,0.5617886762546214,6.0,,,,
SAT-10,ERR598984,SRF,0.13599398498719162,3.0,,,,
SAT-10,ERR599000,MES,0.20176944967124907,6.0,,,,
SAT-10,ERR599005,MES,0.057748686327234934,2.0,,,,
SAT-10,ERR599006,SRF,0.1508376030440618,2.0,,,,
SAT-10,ERR599009,SRF,0.08835154708607383,1.0,,,,
SAT-10,ERR599010,SRF,0.13962118126777298,1.0,,,,
SAT-10,ERR599017,DCM,0.06025950026384011,2.0,,,,
SAT-10,ERR599022,SRF,0.09904380362288012,1.0,,,,
SAT-10,ERR599027,DCM,0.0439944209235447,1.0,,,,
SAT-10,ERR599035,SRF,0.08723962616639856,1.0,,,,
SAT-10,ERR599040,DCM,0.13190090251542533,1.0,,,,
SAT-10,ERR599044,MES,0.7316423189199041,4.0,,,,
SAT-10,ERR599046,DCM,0.06062844582465905,2.0,,,,
SAT-10,ERR599048,MES,0.08891766064454276,1.0,,,,
SAT-10,ERR599056,DCM,0.0533113757816671,2.0,,,,
SAT-10,ERR599101,DCM,0.13488672031531224,1891.0,0.10023373519705042,23.0,,
SAT-10,ERR599103,DCM,0.06534466087564793,2.0,,,,
SAT-10,ERR599105,SRF,0.1126438587057315,1.0,,,,
SAT-10,ERR599122,DCM,0.08049437163500708,2.0,,,,
SAT-10,ERR599124,MES,0.07031114243501732,1.0,,,,
SAT-10,ERR599126,SRF,0.07289471612971027,2.0,,,,
SAT-10,ERR599129,SRF,0.06823995277096236,2.0,,,,
SAT-10,ERR599131,MES,0.06129753666908745,1.0,,,,
SAT-10,ERR599133,DCM,0.1964219402226172,5.0,,,,
