gene_callers_id,contig,pNpS,bin_name,accession,function,e_value
422833,c_38326,0.663502494827799,ARS-3,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.2999999999999997e-78
528501,c_46726,2.2453175107957213,ARS-3,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5e-58
636598,c_55925,0.27694400293226445,ARS-1037,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",1.3999999999999999e-24
762592,c_69553,0.23696405473579815,ARS-7,COG3385,IS4 transposase InsG (InsG),5.0999999999999995e-53
778020,c_70592,0.1567722507689121,ARS-31,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.7e-10
790711,c_71501,0.21862139235911024,ARS-1037,COG3385,IS4 transposase InsG (InsG),4.1e-59
899358,c_82096,0.059104450990136816,ARS-45,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),8.2e-27
1414999,c_MHASMcontig_191462,0.3282940170940153,ARS-52,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),9e-12
2296662,c_MHASMcontig_446426,0.033299685242191034,ARS-5,COG5659,SRSO17 transposase (Srso17),3.2999999999999993e-165
2756204,c_MHASMcontig_622616,0.03578459828031751,ARS-74,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9e-20
38892,c_2400,0.596201981597165,CPC-320,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.8e-07
69571,c_4514,0.12434400774954868,CPC-327,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.6e-14
93190,c_6183,0.6964942272157879,CPC-27,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.2e-20
109276,c_7417,0.059195228750680624,CPC-27,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.699999999999998e-128
150352,c_10632,0.06149865900849647,CPC-13,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.0999999999999996e-11
169742,c_12333,0.298667374521896,CPC-45,COG1743!!!COG1943,"Adenine-specific DNA methylase, contains a Zn-ribbon domain!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8)",2.0999999999999996e-25
215914,c_16759,0.08654316251185452,CPC-327,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),6.7e-12
235458,c_18634,0.10446336979430633,CPC-327,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.3e-15
249291,c_20085,0.2875058058523018,CPC-327,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),2.5e-11
250734,c_20249,0.1677468914730673,CPC-13,COG0593!!!COG1943,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.9999999999999998e-54
277086,c_22634,0.13263117928608206,CPC-64,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.5999999999999998e-14
299140,c_24677,0.08704166723008075,CPC-16,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.400000000000001e-06
401896,c_43655,0.07640400891468678,CPC-11,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),3.6000000000000007e-26
429319,c_46789,0.05125322652066016,CPC-11,COG5659,SRSO17 transposase (Srso17),1.9999999999999993e-95
542299,c_65985,0.14310509227620752,CPC-294,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6e-06
542766,c_66008,0.3354832058965687,CPC-294,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),5.5e-30
544608,c_66074,0.10236132465311257,CPC-1,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),7.999999999999999e-66
555963,c_66553,1.5085116221664747,CPC-294,COG3385,IS4 transposase InsG (InsG),3.699999999999998e-228
953437,c_118324,0.013529335058085309,CPC-11,COG1943,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),1.6000000000000001e-28
