sequence_id	class_fst_stage	class_snd_stage
NODE_74_length_3541_cov_17.4784	archaea	n/a
NODE_241_length_4376_cov_30.4292	bacteria	n/a
NODE_275_length_9489_cov_9.9693	bacteria	n/a
NODE_305_length_5469_cov_45.0622	bacteria	n/a
NODE_393_length_3541_cov_49.3743	bacteria	n/a
NODE_417_length_3718_cov_19.0000	archaea	n/a
NODE_436_length_4732_cov_6.0000	bacteria	n/a
NODE_468_length_4188_cov_11.0000	eukarya	n/a
NODE_531_length_4723_cov_12.0000	eukarya	n/a
NODE_538_length_4353_cov_48.0250	bacteria	n/a
NODE_559_length_4240_cov_8.0000	bacteria	n/a
NODE_621_length_3137_cov_20.0000	prokarya	n/a
NODE_654_length_4731_cov_14.0000	bacteria	n/a
NODE_693_length_3800_cov_20.0000	archaea	n/a
NODE_807_length_3845_cov_12.0000	bacteria	n/a
NODE_834_length_17848_cov_24.5562	prokarya	n/a
NODE_944_length_4089_cov_7.0000	bacteria	n/a
NODE_978_length_3124_cov_27.3218	bacteria	n/a
NODE_993_length_3203_cov_5.0000	bacteria	n/a
NODE_1015_length_4126_cov_20.0000	archaea	n/a
NODE_1065_length_5815_cov_9.0000	bacteria	n/a
NODE_1105_length_3903_cov_8.0000	bacteria	n/a
NODE_1169_length_4904_cov_19.0000	archaea	n/a
NODE_1296_length_4454_cov_22.4621	bacteria	n/a
NODE_1345_length_3203_cov_12.0000	archaea	n/a
NODE_1380_length_7136_cov_6.0000	bacteria	n/a
NODE_1578_length_7283_cov_33.0000	bacteria	n/a
NODE_1636_length_3625_cov_13.0000	bacteria	n/a
NODE_1658_length_3381_cov_18.9227	eukarya	n/a
NODE_1693_length_3579_cov_18.4815	archaea	n/a
NODE_1769_length_3939_cov_26.1780	archaea	n/a
NODE_1829_length_6409_cov_11.0000	bacteria	n/a
NODE_1830_length_4268_cov_13.0000	bacteria	n/a
NODE_1985_length_7088_cov_20.0000	bacteria	n/a
NODE_2045_length_3065_cov_14.8622	bacteria	n/a
NODE_2062_length_5113_cov_28.4505	archaea	n/a
NODE_2149_length_5247_cov_12.9048	bacteria	n/a
NODE_2177_length_3078_cov_17.7357	archaea	n/a
NODE_2318_length_12915_cov_24.0000	archaea	n/a
NODE_2410_length_3785_cov_15.0000	bacteria	n/a
NODE_2458_length_7090_cov_29.0000	bacteria	n/a
NODE_2476_length_3406_cov_12.0000	bacteria	n/a
NODE_2642_length_4530_cov_27.6327	prokarya	n/a
NODE_2646_length_7119_cov_7.0000	bacteria	n/a
NODE_2677_length_6059_cov_24.7051	bacteria	n/a
NODE_2691_length_3466_cov_9.0000	bacteria	n/a
NODE_2970_length_3532_cov_50.0000	bacteria	n/a
NODE_3098_length_5952_cov_30.5104	bacteria	n/a
NODE_3167_length_5942_cov_8.0000	bacteria	n/a
NODE_3195_length_5172_cov_21.0000	archaea	n/a
NODE_3253_length_4253_cov_28.6650	bacteria	n/a
NODE_3305_length_3948_cov_12.7273	bacteria	n/a
NODE_3322_length_4029_cov_17.0000	prokarya	n/a
NODE_3390_length_3269_cov_8.0000	bacteria	n/a
NODE_3479_length_4155_cov_29.0000	eukarya	n/a
NODE_3556_length_6797_cov_11.0000	bacteria	n/a
NODE_3597_length_3821_cov_21.0000	unknown	n/a
NODE_3617_length_3398_cov_7.0000	bacteria	n/a
NODE_3654_length_5308_cov_32.0000	bacteria	n/a
NODE_3659_length_15786_cov_13.0000	bacteria	n/a
NODE_3718_length_3743_cov_21.2999	bacteria	n/a
NODE_3903_length_4184_cov_25.9877	bacteria	n/a
NODE_4030_length_3179_cov_39.1843	archaea	n/a
NODE_4054_length_5543_cov_8.0000	bacteria	n/a
NODE_4325_length_3299_cov_5.0000	bacteria	n/a
NODE_4330_length_3659_cov_27.2678	bacteria	n/a
NODE_4334_length_3082_cov_10.0000	bacteria	n/a
NODE_4376_length_4546_cov_20.7836	archaea	n/a
NODE_4428_length_10832_cov_15.0000	archaea	n/a
NODE_4431_length_21757_cov_40.7930	unknown	n/a
NODE_4489_length_3338_cov_10.7484	bacteria	n/a
NODE_4710_length_5045_cov_11.0000	bacteria	n/a
NODE_4817_length_3068_cov_19.0000	bacteria	n/a
NODE_4905_length_3016_cov_7.0000	bacteria	n/a
NODE_4910_length_3466_cov_25.9435	bacteria	n/a
NODE_4911_length_5000_cov_13.0000	eukarya	n/a
NODE_4984_length_4048_cov_8.0000	bacteria	n/a
NODE_5116_length_3453_cov_24.6329	bacteria	n/a
NODE_5205_length_4734_cov_16.0000	archaea	n/a
NODE_5426_length_3263_cov_20.7964	unknown	n/a
NODE_5540_length_3068_cov_34.5164	archaea	n/a
NODE_5613_length_3428_cov_20.4802	unknown	n/a
NODE_5674_length_9062_cov_6.0000	archaea	n/a
NODE_5680_length_3937_cov_23.5060	prokarya	n/a
NODE_5746_length_3809_cov_17.2726	archaea	n/a
NODE_5755_length_3354_cov_14.0000	bacteria	n/a
NODE_5836_length_3464_cov_16.3124	archaea	n/a
NODE_5923_length_4796_cov_17.7528	bacteria	n/a
NODE_5996_length_5078_cov_9.0000	bacteria	n/a
NODE_6006_length_3598_cov_15.5151	bacteria	n/a
NODE_6032_length_11974_cov_26.8156	bacteria	n/a
NODE_6036_length_3347_cov_21.5316	archaea	n/a
NODE_6072_length_8384_cov_16.0000	bacteria	n/a
NODE_6089_length_16763_cov_14.7935	archaea	n/a
NODE_6099_length_4279_cov_10.0000	bacteria	n/a
NODE_6108_length_3012_cov_15.0000	bacteria	n/a
NODE_6189_length_4573_cov_30.2928	bacteria	n/a
NODE_6194_length_5388_cov_21.7609	eukarya	n/a
NODE_6265_length_3896_cov_34.0000	bacteria	n/a
NODE_6266_length_3845_cov_17.0000	bacteria	n/a
NODE_6339_length_4217_cov_4.0000	bacteria	n/a
NODE_6357_length_3531_cov_11.0000	archaea	n/a
NODE_6360_length_3776_cov_16.9519	bacteria	n/a
NODE_6435_length_4041_cov_22.0000	bacteria	n/a
NODE_6452_length_3546_cov_12.0000	bacteria	n/a
NODE_6461_length_3840_cov_24.9613	bacteria	n/a
NODE_6521_length_3015_cov_6.0000	bacteria	n/a
NODE_6631_length_5029_cov_11.0000	bacteria	n/a
NODE_6647_length_4434_cov_17.0394	archaea	n/a
NODE_6658_length_6508_cov_7.0000	bacteria	n/a
NODE_6754_length_3019_cov_23.0000	bacteria	n/a
NODE_6792_length_3386_cov_17.0000	bacteria	n/a
NODE_6828_length_4697_cov_15.0000	eukarya	n/a
NODE_6853_length_11478_cov_11.0000	bacteria	n/a
NODE_6891_length_4560_cov_6.0000	bacteria	n/a
NODE_6902_length_5195_cov_5.0000	bacteria	n/a
NODE_6908_length_3342_cov_15.0971	eukarya	n/a
NODE_7049_length_3720_cov_31.0000	bacteria	n/a
NODE_7076_length_3058_cov_12.0000	bacteria	n/a
NODE_7170_length_5400_cov_28.9099	bacteria	n/a
NODE_7236_length_4580_cov_22.0000	archaea	n/a
NODE_7318_length_6895_cov_12.0000	archaea	n/a
NODE_7394_length_4953_cov_19.7960	bacteria	n/a
NODE_7452_length_3325_cov_21.6497	bacteria	n/a
NODE_7526_length_3377_cov_16.0000	archaea	n/a
NODE_7563_length_5553_cov_19.6678	bacteria	n/a
NODE_7649_length_3194_cov_27.6273	eukarya	n/a
NODE_7656_length_7162_cov_10.0000	bacteria	n/a
NODE_7694_length_3776_cov_20.0000	archaea	n/a
NODE_7827_length_5258_cov_24.9689	bacteria	n/a
NODE_8006_length_10108_cov_44.6212	unknown	n/a
