sequence_id	class_fst_stage	class_snd_stage
NODE_68_length_3040_cov_10.0000	bacteria	n/a
NODE_89_length_3698_cov_22.6826	eukarya	n/a
NODE_154_length_4674_cov_34.6766	bacteria	n/a
NODE_184_length_3233_cov_348.2884	bacteria	n/a
NODE_266_length_7657_cov_12.0000	archaea	n/a
NODE_361_length_10667_cov_22.0000	archaea	n/a
NODE_505_length_5187_cov_12.0000	bacteria	n/a
NODE_525_length_5148_cov_17.0000	eukarya	n/a
NODE_574_length_3123_cov_7.0000	bacteria	n/a
NODE_669_length_3634_cov_8.8589	archaea	n/a
NODE_782_length_4202_cov_14.0000	bacteria	n/a
NODE_847_length_4893_cov_151.3986	bacteria	n/a
NODE_884_length_4735_cov_14.0000	prokarya	n/a
NODE_1004_length_3639_cov_13.0000	bacteria	n/a
NODE_1084_length_9700_cov_30.1952	archaea	n/a
NODE_1094_length_7175_cov_14.0000	bacteria	n/a
NODE_1153_length_3123_cov_10.7503	bacteria	n/a
NODE_1234_length_12655_cov_13.0000	bacteria	n/a
NODE_1292_length_4807_cov_24.0305	bacteria	n/a
NODE_1513_length_4622_cov_11.0000	bacteria	n/a
NODE_1640_length_3473_cov_13.0000	bacteria	n/a
NODE_1658_length_3116_cov_19.0000	bacteria	n/a
NODE_1691_length_4987_cov_22.0000	archaea	n/a
NODE_1698_length_3173_cov_14.6699	prokarya	n/a
NODE_1699_length_4654_cov_10.0000	archaea	n/a
NODE_1762_length_3030_cov_22.8468	prokarya	n/a
NODE_1815_length_5728_cov_10.0000	bacteria	n/a
NODE_1838_length_6015_cov_12.7761	bacteria	n/a
NODE_1921_length_6055_cov_18.0000	eukarya	n/a
NODE_1982_length_6202_cov_15.8997	eukarya	n/a
NODE_1984_length_8486_cov_20.0000	eukarya	n/a
NODE_1990_length_3562_cov_10.6921	unknown	n/a
NODE_2016_length_11229_cov_15.0000	bacteria	n/a
NODE_2105_length_4308_cov_26.8692	prokarya	n/a
NODE_2256_length_3241_cov_12.0000	bacteria	n/a
NODE_2323_length_3592_cov_17.0210	archaea	n/a
NODE_2336_length_17119_cov_14.0000	archaea	n/a
NODE_2488_length_6167_cov_219.0804	bacteria	n/a
NODE_2755_length_3067_cov_18.0000	eukarya	n/a
NODE_2788_length_5132_cov_13.0000	bacteria	n/a
NODE_2832_length_3433_cov_14.4212	eukarya	n/a
NODE_2870_length_3300_cov_26.6419	bacteria	n/a
NODE_2876_length_5732_cov_14.0000	bacteria	n/a
NODE_2949_length_11986_cov_14.0000	bacteria	n/a
NODE_2955_length_7114_cov_18.0000	eukarya	n/a
NODE_3074_length_3160_cov_17.1453	bacteria	n/a
NODE_3167_length_12252_cov_17.0000	eukarya	n/a
NODE_3211_length_5713_cov_24.0000	bacteria	n/a
NODE_3263_length_4224_cov_7.0000	archaea	n/a
NODE_3332_length_10049_cov_13.0000	archaea	n/a
NODE_3370_length_4051_cov_10.0000	bacteria	n/a
NODE_3653_length_3059_cov_74.4990	bacteria	n/a
NODE_3881_length_9067_cov_48.9409	bacteria	n/a
NODE_3925_length_5296_cov_14.9459	eukarya	n/a
NODE_3948_length_3925_cov_31.0483	archaea	n/a
NODE_3997_length_4886_cov_13.0000	bacteria	n/a
NODE_4026_length_3097_cov_9.0000	bacteria	n/a
NODE_4109_length_4167_cov_14.8617	eukarya	n/a
NODE_4261_length_4598_cov_13.8113	bacteria	n/a
