Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
fungi-Zygosaccharomyces_SPCollapse_SP3-34	1	102	0	102	2505	4.07	100.0
fungi-Malassezia_restricta-341721at2759-S1	1	102	0	102	5961	1.71	100.0
protist-Stramenopiles_sp_TOSAG23-3-1355894at2759-S1	1	101	0	101	534	18.91	100.0
protist-Stramenopiles_sp_TOSAG23-2-551907at2759-S1	1	101	1	102	2607	3.91	99.02
protist-Stramenopiles_sp_TOSAG23-2-290630at2759-S1	2	197	2	199	2526	7.88	98.99
protist-Stramenopiles_sp_TOSAG23-2-156083at2759-S1	2	204	0	204	7107	2.87	100.0
protist-Stramenopiles_sp_TOSAG23-2-1370285at2759-S1	1	100	2	102	2139	4.77	98.04
protist-Stramenopiles_sp_TOSAG23-2-1247641at2759-S1	1	100	2	102	1299	7.85	98.04
protist-Stramenopiles_sp_TOSAG23-2-937686at2759-S1	1	102	0	102	1455	7.01	100.0
protist-Stramenopiles_sp_TOSAG23-2-976469at2759-S1	1	102	0	102	1086	9.39	100.0
protist-Stramenopiles_sp_TOSAG23-2-1228942at2759-S1	1	101	1	102	731	13.95	99.02
protist-Stramenopiles_sp_TOSAG23-2-814241at2759-S1	1	100	2	102	1263	8.08	98.04
protist-Stramenopiles_sp_TOSAG23-2-625387at2759-S1	2	199	1	200	4257	4.7	99.5
protist-Stramenopiles_sp_TOSAG41-1-1348942at2759-S1	2	203	1	204	1161	17.57	99.51
