contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599079,pnps_ERR598948,pnps_ERR599128,pnps_ERR599083,pnps_ERR599055,pnps_ERR598999,pnps_ERR599042,pnps_ERR599132,pnps_ERR599014,pnps_ERR599093,pnps_ERR598992,pnps_ERR598957,pnps_ERR598962,pnps_ERR599085,pnps_ERR599072,pnps_ERR599096,pnps_ERR598943,pnps_ERR599039,pnps_ERR599033,pnps_ERR599168,pnps_ERR598954,pnps_ERR599020,pnps_ERR599120,pnps_ERR598978,pnps_ERR599071
c_2220,SP,48578,integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,,,0.08887325942887027,,,,0.05375083020168708,
c_2220,SP,48579,integron,,,,,,,,,,,0.10863217995275333,,,,,,,,,,,0.15278582824883855,,,,0.10049534676168466,
c_2220,SP,48580,integron,,,,,,,,,,,0.16727022450793896,,,,,,,,,,,0.08350466994603803,,,,0.1376630375052449,
c_2220,SP,48581,non-integron,,,,,,,,,,,0.4351472151003876,,,,,,,,,0.05220715518928229,,0.2156154622580085,,,,0.2186538755093989,
c_2220,SP,48582,non-integron,L,"Replication, recombination and repair",,,,,,,,,,,,,,,,,,,,,,,,0.22347385645873774,
c_2220,SP,48583,non-integron,,,,,,,,,,,0.07451774383127671,,,,,,,,,,,0.203639833947286,,,,0.08013599338921062,
c_2220,SP,48584,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,0.17619855416016958,,,,,,,,,,,,,,,0.13405481129647645,
c_2220,SP,48587,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.0,,,,,,,,,,,0.023948157530837767,,,,0.008120928652471208,
c_2220,SP,48588,non-integron,C,Energy production and conversion,,,,,,,,,,,,,,,,,,,,,,,,0.0,
c_12628,SP,237170,non-integron,,,,0.04497636395907117,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237171,non-integron,D!!!H,"Cell cycle control, cell division, chromosome partitioning!!!Coenzyme transport and metabolism",,0.07085613460066001,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237176,non-integron,,,,0.13755531631333728,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237177,non-integron,,,,0.1692797186117389,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237178,non-integron,,,,0.41114915478587577,,,,,,,,,,,,,,,,,,,,,,,
c_12628,SP,237179,non-integron,,,,0.07681017200378452,,,,,,,,,,,,,,,,,,,,,,,
