bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,transposase_pnps_median,transposase_count
SP-1,ERR598948,DCM,0.059237152374896365,2022.0,0.04630632593861902,53.0,,
SP-1,ERR598999,MES,0.060168247298436374,1.0,,,,
SP-1,ERR599020,MES,0.021349822316140857,9.0,0.013839190764497267,2.0,,
SP-1,ERR599033,MES,0.02824769717584263,1.0,,,,
SP-1,ERR599072,MES,0.006856071192361148,7.0,0.05132024802600329,3.0,,
SP-1,ERR599083,MES,0.01803152661573476,3.0,,,,
SP-10,ERR598948,DCM,0.19869462687461206,1.0,,,,
SP-10,ERR598954,SRF,0.18117002540090932,14.0,,,0.3865036204713466,1.0
SP-10,ERR598957,DCM,0.23921515398446574,1.0,,,,
SP-10,ERR598992,SRF,0.2483941069259981,1.0,,,,
SP-10,ERR599014,DCM,1.3026515119457704,1.0,,,,
SP-10,ERR599020,MES,0.2296824275463833,1.0,,,,
SP-10,ERR599039,SRF,0.0532341874647938,1.0,,,,
SP-10,ERR599071,MES,1.721914283609278,2.0,,,,
SP-10,ERR599072,MES,2.1166564204568985,2.0,,,,
SP-10,ERR599093,SRF,0.247448049712017,1.0,,,,
SP-10,ERR599120,SRF,0.18606030191041095,1.0,,,,
SP-10,ERR599132,MES,2.6659910659663253,1.0,,,,
SP-101,ERR598943,SRF,0.07511375807107608,2.0,,,,
SP-101,ERR598948,DCM,0.008341429172433008,4.0,,,,
SP-101,ERR598954,SRF,0.06216731577750003,306.0,0.05323260693197951,4.0,,
SP-101,ERR598957,DCM,0.03516226255666189,8.0,,,,
SP-101,ERR598978,SRF,0.07864788568236042,13.0,,,,
SP-101,ERR598992,SRF,0.04435695221611807,19.0,,,,
SP-101,ERR599007,DCM,0.06941457970000867,10.0,,,,
SP-101,ERR599014,DCM,0.07275350939868025,18.0,,,,
SP-101,ERR599020,MES,0.04850113122172158,7.0,,,,
SP-101,ERR599039,SRF,0.06485241680145418,18.0,,,,
SP-101,ERR599079,DCM,0.039647161169370504,2.0,,,,
SP-101,ERR599093,SRF,0.09468671212303756,1268.0,0.09239923268419988,57.0,,
SP-101,ERR599120,SRF,0.07612258821410632,335.0,0.0,4.0,,
SP-101,ERR599168,DCM,0.047340016942323815,7.0,,,,
SP-102,ERR598954,SRF,0.015753656852801987,1.0,,,,
SP-102,ERR599014,DCM,0.008688536734867823,1.0,,,,
SP-102,ERR599020,MES,0.024385518457462767,1.0,,,,
SP-102,ERR599039,SRF,0.004951062279050668,1.0,,,,
SP-104,ERR598992,SRF,0.008224702128919103,2.0,,,,
SP-107,ERR598943,SRF,0.6477713758425281,3.0,,,,
SP-107,ERR598948,DCM,0.25750442752955993,3.0,,,,
SP-107,ERR598954,SRF,0.06183965938381985,90.0,,,,
SP-107,ERR598957,DCM,0.07292556582427333,9.0,,,,
SP-107,ERR598962,DCM,0.8953073235235005,1.0,,,,
SP-107,ERR598978,SRF,0.1084804708400225,7.0,,,,
SP-107,ERR598992,SRF,0.079672923521626,34.0,0.44342755703534775,1.0,,
SP-107,ERR599007,DCM,0.7736115744079984,1.0,,,,
SP-107,ERR599014,DCM,0.14454621792625663,8.0,,,,
SP-107,ERR599020,MES,0.65862794002426,3.0,,,,
SP-107,ERR599039,SRF,0.20615315966615444,7.0,,,,
SP-107,ERR599079,DCM,0.056922636605971716,3.0,,,,
SP-107,ERR599093,SRF,0.6295566431655826,1.0,,,,
SP-107,ERR599120,SRF,0.8649640122667158,1.0,,,,
SP-107,ERR599168,DCM,0.8762565641284001,1.0,,,,
SP-108,ERR598943,SRF,0.08065090923508028,1.0,,,,
SP-108,ERR598948,DCM,0.06511567683007542,15.0,0.0,3.0,,
SP-108,ERR598954,SRF,0.0817028245006389,40.0,0.15025905655081462,1.0,,
SP-108,ERR598957,DCM,0.03570323225778397,118.0,0.003955611239663898,9.0,,
SP-108,ERR598978,SRF,0.05351766291935648,10.0,,,,
SP-108,ERR598992,SRF,0.06700555115818023,119.0,0.0,1.0,,
SP-108,ERR599007,DCM,0.06368313601159505,2.0,,,,
SP-108,ERR599014,DCM,0.039501497199393276,104.0,0.0,7.0,,
SP-108,ERR599020,MES,0.11838861916342236,4.0,,,,
SP-108,ERR599039,SRF,0.04608007287990189,7.0,,,,
SP-108,ERR599042,DCM,0.2088671767495136,1.0,,,,
SP-108,ERR599071,MES,0.032174046017784216,1.0,,,,
SP-108,ERR599079,DCM,0.14777720005349348,7.0,,,,
SP-108,ERR599093,SRF,0.04277244099285025,1.0,,,,
SP-108,ERR599096,MES,0.23086837992905035,1.0,,,,
SP-108,ERR599120,SRF,0.05374697714832718,1.0,,,,
SP-108,ERR599132,MES,0.1461896916418442,3.0,,,,
SP-109,ERR598954,SRF,0.10350775169048539,4.0,,,,
SP-109,ERR598957,DCM,0.04610927656423915,2.0,,,,
SP-109,ERR598992,SRF,0.1382438999701601,7.0,,,,
SP-11,ERR598948,DCM,1.9612973795671085,1.0,,,,
SP-11,ERR598954,SRF,3.3546866150503907,1.0,,,,
SP-11,ERR598957,DCM,2.463785002554335,2.0,,,,
SP-11,ERR598992,SRF,1.7347975993030522,1.0,,,,
SP-11,ERR599014,DCM,1.267479778838829,1.0,,,,
SP-11,ERR599039,SRF,1.8489739989959653,1.0,,,,
SP-11,ERR599072,MES,0.1629541101819228,10.0,0.3540189353312898,1.0,,
SP-11,ERR599093,SRF,3.6301576848896895,1.0,,,,
SP-110,ERR598948,DCM,0.40561455352818,2.0,,,,
SP-110,ERR598954,SRF,0.6082983210803474,1.0,,,,
SP-110,ERR598957,DCM,0.24034869466467856,2.0,,,,
SP-110,ERR598978,SRF,0.4986685383927066,1.0,,,,
SP-110,ERR598992,SRF,0.4870837250319388,1.0,,,,
SP-110,ERR599014,DCM,0.4711595237370694,1.0,,,,
SP-110,ERR599020,MES,0.4707781590667922,1.0,,,,
SP-110,ERR599039,SRF,0.460344296896483,1.0,,,,
SP-110,ERR599071,MES,0.4572366012628836,1.0,,,,
SP-110,ERR599072,MES,0.4641163551415459,1.0,,,,
SP-110,ERR599079,DCM,0.4781788439725593,1.0,,,,
SP-110,ERR599093,SRF,0.561449763459395,1.0,,,,
SP-110,ERR599120,SRF,0.474585410895658,1.0,,,,
SP-110,ERR599132,MES,0.4471952908587237,1.0,,,,
SP-112,ERR599072,MES,0.13274980747835757,10.0,,,,
SP-113,ERR599071,MES,0.1776158289042912,3.0,,,,
SP-113,ERR599072,MES,0.34152749765186685,1.0,,,,
SP-114,ERR598954,SRF,0.15153325577118887,2.0,,,,
SP-114,ERR598978,SRF,0.08576244293976298,64.0,,,,
SP-114,ERR598992,SRF,0.05710524382153236,5.0,,,,
SP-114,ERR599007,DCM,0.07098099089671481,61.0,,,,
SP-114,ERR599039,SRF,0.030403978325942563,41.0,0.0,1.0,,
SP-115,ERR598948,DCM,0.04641242631273418,1.0,,,,
SP-115,ERR598954,SRF,0.13401883938724796,1.0,,,,
SP-115,ERR598957,DCM,0.13482519289375985,1.0,,,,
