contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599102,pnps_ERR598949,pnps_ERR599023,pnps_ERR599088,pnps_ERR599082,pnps_ERR598972,pnps_ERR599034,pnps_ERR599112,pnps_ERR599062,pnps_ERR599150,pnps_ERR599057,pnps_ERR598966,pnps_ERR599018,pnps_ERR599143,pnps_ERR599031,pnps_ERR599028,pnps_ERR599158,pnps_ERR599110,pnps_ERR599167,pnps_ERR599025,pnps_ERR599109,pnps_ERR599146,pnps_ERR598970,pnps_ERR598974,pnps_ERR598990,pnps_ERR599021,pnps_ERR599164,pnps_ERR598960,pnps_ERR599026,pnps_ERR598979
c_1593,IN,19090,non-integron,R,General function prediction only,,,,,,,,,0.2366347527661469,,,,,,,,,,,,,,,,,,0.1425870193401584,0.33256891658522075,,
c_1593,IN,19091,integron,,,,,,,,,,,0.054511514834848805,,,,,,,,,,,,,,,,,,,,,
c_1593,IN,19092,integron,,,,,,,,,,,1.0914276930951667,,,,,,,,,,,,,,,,,,,,,
c_1593,IN,19095,integron,,,,,,,,,,,0.2793864366623541,,,,,,,,,,,,,,,,,,,,,
c_1593,IN,19096,integron,,,,,,,,,,,0.1645284888978386,,,,,,,,,,0.16370138034773285,,,,,,,,0.18430533862909446,0.11751183132963078,,
c_1593,IN,19098,integron,,,,,,,1.0304448506039399,,,,0.4450669296663797,,,,,,,,,,,,,,,,,,,0.3719839876804167,,
c_2206,IN,25842,non-integron,,,,,,,,,,,,0.2277244688142512,,,,,,,,,,,,,,,,,,,,
c_2206,IN,25843,integron,,,,,0.07638858563322168,0.05347475105078602,,0.0,,,,0.06850266841902841,,,,,,,,0.0,,0.05374867511637313,,0.0,0.056732284177848,,,,,,,
c_2206,IN,25844,non-integron,,,,,0.9398612411933488,,,,,,,0.9925564022898884,,,,,,,,,,,,0.97749196141479,0.7512438220080421,,,,,,,
c_2206,IN,25845,non-integron,,,,,0.3085331482182537,0.08336975635539189,,,,,,0.18963739822100065,,,,,,,,,,,,,0.7328237674442564,,,,,,,
c_2206,IN,25846,non-integron,,,,,,,,,,,,1.2273844295309675,,,,,,,,,,,,,,,,,,,,
c_2322,IN,27678,non-integron,,,,,,,0.10438955151155754,,,,,,,,,,,,,,,,,,,,,,,,,
c_3949,IN,48268,non-integron,K,Transcription,,,,,,,,,,,,,,,,0.0044412495389479145,,,,,,,,,,,,,,
c_19423,IN,237734,non-integron,,,,,,,,,,,0.04549084550309897,,,,,,,,,,,,,,,,,,,,,
c_19423,IN,237735,non-integron,C,Energy production and conversion,,,,,0.039255770396554514,,,,0.05358871911768035,,,,,,,,,,,,,,,,,,0.019297439680650563,0.055997606565833566,,
c_19423,IN,237736,non-integron,T!!!T,Signal transduction mechanisms!!!Signal transduction mechanisms,,,,,0.14445795589495325,,,,0.11847575601610925,,,,,,,,,,,,,,,,,,,0.011750532708827349,,
c_19423,IN,237738,non-integron,G!!!E!!!R,Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only,0.5096217650962238,,,,0.2286581477972743,,,,0.3939185237639346,,,,,,,,,,,,,,,,,,0.17661841972529366,0.2433017873598189,,
c_19423,IN,237739,non-integron,F,Nucleotide transport and metabolism,,,,,0.017352334540712357,,,,,,,,,,,,,,,,,,,,,,,0.015938049121638726,,
c_19423,IN,237740,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,0.4461888693838128,,,,0.06562401683710843,,,,,,0.0237552807794124,,,,0.3815543815005251,,,,,,,,0.3064417680735161,0.018568709923198697,,
c_19423,IN,237741,non-integron,E!!!M,Amino acid transport and metabolism!!!Cell wall/membrane/envelope biogenesis,0.021043673331039014,,,,0.017515233398772718,,,,0.018174616533501477,,,,,,,,,,0.018730676251440027,,,,,,,0.0,0.007338189833960884,0.05448075855965052,,
c_19423,IN,237742,non-integron,E,Amino acid transport and metabolism,0.4781407541843082,,,,0.08574103468600153,,,,0.07085360338076999,,,,,,0.004913474613006304,,,,0.1295438605821524,,,,,,,,0.09002205933293603,0.11445423105490922,,
c_19423,IN,237743,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,0.07044965302230438,,,,0.03268966689720815,,,,,,,,,,0.024710366706510948,,,,,,,0.02648504349114119,0.047555031804741466,0.042561165529562,,
c_19423,IN,237744,non-integron,R,General function prediction only,0.00558403115115266,,,,0.013387903626100772,,,,0.020372659460028426,,,,,,0.03337961034973226,,,,0.0,,,,,,,,0.0,0.007285109371610397,,
