gene_callers_id,contig,start,stop,direction,partial,call_type,integron,ocean,annotation,accession,function
28919,c_2091,13798,15574,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
28920,c_2091,15570,16584,r,0,1,CALIN,ARS,protein,nan,nan
28921,c_2091,16638,17463,r,0,1,CALIN,ARS,protein,nan,nan
28922,c_2091,17539,18355,f,0,1,CALIN,ARS,protein,nan,nan
58118,c_4337,0,1734,r,1,1,CALIN,ARS,protein,nan,nan
58119,c_4337,1747,2836,r,1,1,CALIN,ARS,protein,nan,nan
69912,c_5307,994,1807,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
69913,c_5307,2026,2881,r,0,1,CALIN,ARS,protein,nan,nan
69914,c_5307,2877,3843,r,0,1,CALIN,ARS,protein,M,Cell wall/membrane/envelope biogenesis
82845,c_6369,60,3588,f,0,1,CALIN,ARS,protein,K!!!L,Transcription
82845,c_6369,60,3588,f,0,1,CALIN,ARS,protein,K!!!L,"Replication, recombination and repair"
82850,c_6369,11595,11847,r,1,1,CALIN,ARS,protein,nan,nan
84358,c_6477,125,1079,f,0,1,In0,ARS,intI,L,"Replication, recombination and repair"
91958,c_7151,1,460,f,1,1,CALIN,ARS,protein,K,Transcription
92008,c_7151,48279,48582,f,0,1,CALIN,ARS,protein,X,"Mobilome: prophages, transposons"
92009,c_7151,48678,48972,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
92010,c_7151,48971,49268,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
125434,c_10079,2,80,r,1,1,CALIN,ARS,protein,nan,nan
125435,c_10079,111,1461,r,0,1,CALIN,ARS,protein,nan,nan
125436,c_10079,1489,4321,r,0,1,CALIN,ARS,protein,nan,nan
125437,c_10079,4340,4469,r,0,1,CALIN,ARS,protein,nan,nan
125439,c_10079,5475,5775,r,1,1,CALIN,ARS,protein,nan,nan
180973,c_15646,4880,5834,r,0,1,In0,ARS,intI,L,"Replication, recombination and repair"
184138,c_15980,2,650,f,1,1,CALIN,ARS,protein,T,Signal transduction mechanisms
184139,c_15980,733,1789,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
