bin,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_gene_median,DCM_gene_median,MES_gene_median,deep_gene_median,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
IN-11,7,15,7,2,0.005749677094774,0.04167466067715735,0.107014620480119,1.3695806824459609,0.0684482540168099,0.07709672535530668,0.0984713823723611,0.45474860236435294
IN-14,5,8,0,0,0.0967657469149658,0.20984107825815615,nan,nan,0.0804180078790084,0.0736218787196872,0.06674448124233928,0.0270608902827939
IN-32,18,28,29,30,0.0772577001825719,0.1041643586070248,0.1023588207794901,0.29501095603329863,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
IN-6,6,14,2,1,0.04055100630105888,0.04665200333902125,0.12159486274415203,0.0970130369143911,0.07552507267586657,0.0994379236679198,0.0863296782423783,0.1225567406166242
IN-9,2,11,8,3,0.11878922634212265,0.0750243402324034,0.1291583144854695,0.09010955227650064,0.07072417538526538,0.0600313694325236,0.12471078721536201,0.0983007156973059
SP-259,1,6,1,0,0.2798218569763009,0.13315199989671792,0.44366120938495396,nan,0.109730106449759,0.0405075243950985,0.1187149684594459,nan
SP-288,0,18,0,0,nan,0.18187128494629315,nan,nan,0.508213572815866,0.085152450118693,0.018333307654154998,0.7713907157721143
SP-3030,0,7,9,0,nan,0.1399568489557852,0.1363783178189043,nan,0.00777758714001965,0.0600396483820349,0.0630836393988653,nan
SP-3072,0,9,20,0,nan,0.0829956269246452,0.12467729719545807,nan,0.7034346531969885,0.0463918207396246,0.0391383191114825,nan
SP-32,3,9,4,1,0.0284686294643579,0.0977548026973603,0.0421238183653698,0.4019749925175649,0.0626427670643276,0.1430964526873376,0.07289580792989765,0.13361862941936356
SP-78,12,6,2,0,0.0656554624058753,0.08526687335233246,0.1158505605772448,nan,0.0836814465477622,0.06998790811637409,0.0599478694594713,nan
SP-93,1,6,2,2,0.05370467595533096,0.0655100988713771,0.05193162751874547,0.045771332416210994,0.05370467595533096,0.0482462313927244,0.0414340816954177,0.045771332416210994
NP-15,3,6,18,14,0.084566182910742,0.0459563606821622,0.0823235414018,0.06867085931223725,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
NP-39,0,11,7,2,nan,0.071020252229441,0.06930656160690216,0.02669575866499133,0.10780121155651316,0.071020252229441,0.0517386253545651,0.0644524201543272
NP-64,9,6,0,0,0.4206398607239457,0.242078123915662,nan,nan,0.1299806329335886,0.1183503205992968,0.1008040298591871,nan
NP-939,0,12,20,6,nan,0.1615273177629422,0.1367618627816945,0.17734813282727108,0.01407593772862115,0.0572632239907279,0.0492308907855098,0.1280999366513094
NP-955,0,6,7,1,nan,0.29236157536785584,0.2033649268426535,0.1500567755868974,0.04138774607994645,0.1138038397873759,0.1195504475047556,0.07543626672640971
NP-964,0,9,8,0,nan,0.1333876366837488,0.12682227550814718,nan,0.5914565662732864,0.15491649425322587,0.15317675584112955,nan
NP-969,13,8,0,0,0.6880119371565274,0.7722612387555015,nan,nan,0.14213274164246875,0.09727353943191057,0.09580727198959564,nan
NP-973,0,8,0,0,nan,0.16660400145924076,nan,nan,0.1185203448483684,0.12167063360125302,0.067758098345373,0.09135906402973744
SAT-1,6,16,20,1,0.13326073776612662,0.1094618505911996,0.10422586353629193,0.1781560846771245,0.044045231760118,0.0472388017215544,0.04896579184733825,0.0903525308729376
SAT-1614,0,8,0,0,nan,0.04785877499944045,nan,nan,0.8886313393996959,0.08606936117191269,1.8646551961038684,nan
SAT-46,3,13,10,0,0.2414180221275856,1.0417381812251985,0.14025131966358645,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
SAT-62,2,11,10,0,0.14277749083673666,0.1269376530887248,0.10641881449099663,nan,0.05176818609654505,0.0361892608784103,0.06697333955088114,0.0771397900457095
SAT-63,5,7,19,4,0.15048188987601424,0.1303868981725257,0.0892595976256724,0.17770266256342102,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
NAT-10,0,9,0,0,nan,0.0767610301020495,nan,nan,0.08216498250832564,0.054386441996117904,0.03495656893879502,0.3314500941619543
NAT-15,0,10,26,1,nan,0.0990493182196979,0.11788976933987355,0.1792669299277035,0.0226422193406204,0.0874385161678165,0.0774172956400632,0.35862464035978703
NAT-237,0,7,2,0,nan,0.0510669584155787,0.1551754675740363,nan,0.0789946694207325,0.1226591760299626,0.1745296408965957,1.0103869073980989
NAT-28,8,11,3,0,0.1260619750260719,0.0899619846604392,0.0537610808130024,nan,0.0847787344032776,0.10711354998923857,0.0866337147168851,0.2709702468135612
NAT-282,0,6,7,0,nan,0.09745251356393077,0.08720025747632246,nan,0.0058462164689949,0.029435762998973998,0.03675279004974842,nan
NAT-32,0,11,0,0,nan,0.1234049147141086,nan,nan,0.01874806645332265,0.0430436842216023,nan,nan
NAT-46,11,11,15,0,0.1278823991383889,0.1042829003026975,0.0863828545536129,nan,0.0747080318903138,0.0630187883988951,0.07782747296434643,0.0072934246310288
NAT-55,10,7,0,0,0.06728939464180805,0.0625538847707747,nan,nan,0.08045793859933333,0.0625243447222583,0.00832739893149635,nan
NAT-60,0,13,22,20,nan,0.0933517378237345,0.08582365990458997,0.34885517997108584,0.1232891325395408,0.0549698487205462,0.05967437568664275,0.1832338535082882
NAT-67,0,6,5,2,nan,0.14610947824017784,0.07825456482053425,0.4492763944964637,0.1590216835942228,0.08318076579252827,0.0455512162969395,0.07157833025792171
NAT-68,10,9,0,0,0.06878852313601755,0.0587135716848303,nan,nan,0.05398137349935885,0.0538419632426092,1.373259844695161,nan
NAT-75,7,8,12,9,0.0466925231631115,0.07175766369974376,0.0341036522647767,0.2713531464760037,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
