contig,ocean,gene_callers_id,is_integron,COG_accession,COG_category,pnps_ERR599056,pnps_ERR599126,pnps_ERR599148,pnps_ERR599000,pnps_ERR599048,pnps_ERR599035,pnps_ERR598984,pnps_ERR599010,pnps_ERR599009,pnps_ERR599103,pnps_ERR599131,pnps_ERR599017,pnps_ERR599122,pnps_ERR599027,pnps_ERR599133,pnps_ERR599149,pnps_ERR599044,pnps_ERR598947,pnps_ERR599129,pnps_ERR599005,pnps_ERR599040,pnps_ERR599137,pnps_ERR599105
c_9591,SAT,126445,integron,M!!!M,Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,0.3521777867387961,,,,,,,,,,
c_9591,SAT,126446,integron,D!!!M,"Cell cycle control, cell division, chromosome partitioning!!!Cell wall/membrane/envelope biogenesis",,,,,,,,,,,,,0.14078220065446828,,,,,,,,,,
c_9591,SAT,126449,integron,D,"Cell cycle control, cell division, chromosome partitioning",,,,,,,,,,,,,0.028399843693569543,,,,,,,,,,
c_10418,SAT,135064,non-integron,H,Coenzyme transport and metabolism,,,,,,0.04971988146340272,,,0.048798143791880855,,,,0.05341941581177417,,,,,,,,,,
c_10418,SAT,135065,non-integron,H,Coenzyme transport and metabolism,,,,,,0.3406557208226689,,,0.12549055603098996,,,,0.11292916663834175,,,,,,,,,,
c_10418,SAT,135066,non-integron,C,Energy production and conversion,,,,,,0.1310625248199611,,,0.14187321195682598,,,,0.13401666253069186,,,,,,,,,,
c_10418,SAT,135067,non-integron,,,,,,,,,,,0.08648891683251261,,,,0.05923647342183042,,,,,,,,,,
c_10418,SAT,135068,non-integron,,,,,,,,,,,,,,,0.2762126408623221,,,,,,,,,,
c_10418,SAT,135069,non-integron,R,General function prediction only,,,,,,0.10944790686432802,,,0.12620099968259538,,,,0.11731994749512605,0.22755788753279654,,,,,,,,,
c_10418,SAT,135070,non-integron,I,Lipid transport and metabolism,,,,,,0.05261042788180585,,,0.04834017800835618,,,,0.05947986310229044,0.04031140954870755,,,,,,,,,
c_10418,SAT,135071,integron,J,"Translation, ribosomal structure and biogenesis",,,,,,0.2799612920526643,,,0.2247922764955864,,,,0.20708000744344954,,,,,,,,,,
c_10418,SAT,135072,integron,K,Transcription,,,,,,0.07649455390041339,,,0.0569619105450194,,,,0.09046843682162883,0.064314708934726,,,,,,,,,
c_16679,SAT,200905,non-integron,R,General function prediction only,,,,,,,,,,,,,0.046445551275432435,,,,,,,,,,
c_16679,SAT,200906,non-integron,R,General function prediction only,,,,,,,,,,,,,0.023003069686579274,,,,,,,,,,
c_16679,SAT,200908,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,0.0,,,,,,,,,,
c_33550,SAT,404127,non-integron,H,Coenzyme transport and metabolism,,,0.0,,,,,,,,,,,,,,0.00012528984230381778,,,0.028908314231435295,,,
c_33550,SAT,404130,non-integron,M,Cell wall/membrane/envelope biogenesis,,,0.012427501636356522,,,,,,,,,,,,,,0.6752099763237553,,,0.02070066012931573,,,
c_33550,SAT,404131,non-integron,I!!!I,Lipid transport and metabolism!!!Lipid transport and metabolism,,,0.01920251349763012,,,,,,,,,,,,,,0.0682618168598875,,,0.0294270277692305,,,
c_33550,SAT,404138,integron,,,,,,,,,,,,,,,0.3045029595003816,,,,0.1125155041367364,,,,,,
c_33550,SAT,404139,integron,,,,,,,,,,,,,,,,,,,0.06846709032090262,,,,,,
c_36407,SAT,435902,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,0.13254853196105146,,,,,,
c_36407,SAT,435903,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,0.16275461090968305,,,,,,,,,,,,,0.2278756298661916,,,,,,
c_36407,SAT,435904,non-integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,0.12376677756333915,,,,,,
c_36407,SAT,435905,non-integron,J!!!O,"Translation, ribosomal structure and biogenesis!!!Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,0.3664139987591858,,,,,,
c_36407,SAT,435919,non-integron,X,"Mobilome: prophages, transposons",,,0.2945003028467578,0.2550508871631876,,,,,,,,0.14889075512632008,0.21506176290836268,,0.2247577254768576,,0.2188101307790886,0.18450771671798524,,0.1937201177330566,,,
c_37953,SAT,453101,integron,G!!!P!!!T,Carbohydrate transport and metabolism!!!Inorganic ion transport and metabolism!!!Signal transduction mechanisms,,,,,,,,,,,,0.20028061965698354,,,,,,,,,,,
c_39383,SAT,467826,non-integron,,,,,,,,,,,,,,,,,0.3325449173409519,,,,,,,,
c_39383,SAT,467828,non-integron,,,,,,,,,,,,,,,,,0.08571688536203351,,,,,,,,
c_39383,SAT,467829,non-integron,U,"Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,0.1846422533261121,,,,,,,,
c_39383,SAT,467830,non-integron,,,,,,,,,,,,,,,,,0.4892228073717233,,,,,,,,
c_39383,SAT,467831,non-integron,N!!!U!!!W,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",,,,,,,,,,,,,,,0.21734690542367688,,,,,,,,
c_39383,SAT,467832,integron,N!!!U!!!W,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures",,,,,,,,,,,,,,,0.08915011506742977,,,,,,,,
c_39383,SAT,467835,integron,,,,,,,,,,,,,,,,,0.3602329426365459,,,,,,,,
c_39383,SAT,467836,integron,,,,,,,,,,,,,,,,,0.9214378200161772,,,,,,,,
c_39383,SAT,467837,non-integron,,,,,,,,,,,,,,,,,0.23715747797951905,,,,,,,,
c_39383,SAT,467838,non-integron,N!!!U,"Cell motility!!!Intracellular trafficking, secretion, and vesicular transport",,,,,,,,,,,,,,,0.2000975578676301,,,,,,,,
c_43771,SAT,510050,non-integron,,,,0.0842024444412251,0.10127424140873027,,,,0.07676187389640395,,,,,,,,,,,,,0.0,,,0.034199151070732785
c_43771,SAT,510051,integron,,,,,,,,,0.3785735956023211,,,,,,,,,,,,,,,,
c_43771,SAT,510052,non-integron,,,,,,,,,0.14487770374699627,,,,,,,,,,,,,,,,
c_44884,SAT,520233,non-integron,,,,,,0.4030364715255064,,,,,,,,,,,,,,0.711083212792353,,,,,
c_44884,SAT,520234,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,0.03447253142219358,,,,,
c_44884,SAT,520235,non-integron,,,,,,0.094246333906218,,,,,,,,,,,,,,0.1391304488473016,,,,,
c_44884,SAT,520236,integron,,,,,,0.4619868792464609,,,,,,,,,,,,,0.34847064413797674,0.17746326048884373,,,,,
c_44884,SAT,520237,non-integron,K,Transcription,,,,0.0,,,,,,,,,,,,,,0.0,,,,,
c_46810,SAT,542751,non-integron,,,,,,,,,,,,,,,,,,,0.3793188131343193,,,,,,
c_47631,SAT,552363,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,,0.4384184441953161,,,,,
c_47631,SAT,552369,non-integron,E!!!Q,"Amino acid transport and metabolism!!!Secondary metabolites biosynthesis, transport and catabolism",,,,,,,,,,,,,,,,,,0.05243537893441109,,,,,
c_48200,SAT,558861,integron,Q,"Secondary metabolites biosynthesis, transport and catabolism",,,,0.14645715884771607,,,,,,,,,,,,,,0.01944181919879659,,,,,
c_51454,SAT,595765,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,0.07030088779978297,,,,0.1230776512834724,,,,,0.042743916880574516,,,,,
c_51454,SAT,595766,integron,E!!!R,Amino acid transport and metabolism!!!General function prediction only,,,,,,,,,,,0.26877812957923425,,,,,,,0.07448358512196195,,,,,
c_51454,SAT,595767,non-integron,J,"Translation, ribosomal structure and biogenesis",,,,,,,,,,,,,,,,,,0.11483567273826205,,,,,
c_51454,SAT,595768,non-integron,C!!!P,Energy production and conversion!!!Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,0.08787148962023936,,,,,
c_51454,SAT,595769,non-integron,C,Energy production and conversion,,,,0.0,,,,,,,0.018534516396581442,,0.022897385960927958,,,,,0.04349315010594047,,,,,
c_52342,SAT,605486,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.29155317667103386,,,,,,,,,,,,,,0.2546299014503617,,,,,
c_52342,SAT,605487,integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,0.12558019124612746,,,,,,,,,,,,,0.11468842114003384,0.13013854107450756,,,,,
c_52342,SAT,605488,integron,O,"Posttranslational modification, protein turnover, chaperones",,,,0.21523846440775649,,,,,,,,,,,,,,0.1104454574467162,,,,,
c_52342,SAT,605489,integron,C!!!O,"Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones",,,,0.13567806711792735,,,,,,,,,,,,,0.1317993891876697,0.12827156120864516,,,,,
c_53586,SAT,617506,non-integron,G,Carbohydrate transport and metabolism,,,,,,,,,,,,,,,,,,0.030361705132259106,,,,,
c_53586,SAT,617507,non-integron,S,Function unknown,,,,,,,,,,,,,,,,,,0.05949546122155613,,,,,
c_53586,SAT,617508,non-integron,P,Inorganic ion transport and metabolism,,,,,,,,,,,,,,,,,,0.06769449886759962,,,,,
c_53586,SAT,617509,integron,M,Cell wall/membrane/envelope biogenesis,,,,,,,,,,,,,,,,,,0.013529836044774238,,,,,
c_53586,SAT,617511,integron,O!!!S,"Posttranslational modification, protein turnover, chaperones!!!Function unknown",,,,,,,,,,,,,,,,,,0.050645021803457306,,,,,
c_54164,SAT,623209,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,0.017322500424528146,,,0.006241684424213545,,,
c_54164,SAT,623211,non-integron,H,Coenzyme transport and metabolism,,,,,,,,,,,,,,,,,0.1587254320751363,,,,,,
c_54164,SAT,623212,non-integron,O,"Posttranslational modification, protein turnover, chaperones",,,,,,,,,,,,,,,,,0.014842399013545548,,,0.1204311534094581,,,
c_54164,SAT,623215,non-integron,T,Signal transduction mechanisms,,,,,,,,,,,,,,,,,0.3567400987907064,,,,,,
c_54164,SAT,623216,non-integron,V,Defense mechanisms,,,,,,,,,,,,,,,,,0.2562941144847856,,,,,,
c_54164,SAT,623217,non-integron,E,Amino acid transport and metabolism,,,,,,,,,,,,,,,,,0.2458571815287546,,,0.3641028281878225,,,
