bin,signal_CAZ_count,percent_sect_CAZ,signal_pep_count,percent_sect_pep
ARS-1360,0,0.0,3,13.043478260869565
ARS-125,0,0.0,10,23.809523809523807
ARS-13,0,0.0,61,39.61038961038961
ARS-1358,0,0.0,5,14.285714285714285
ARS-117,0,0.0,63,43.44827586206896
ARS-38,0,0.0,73,31.196581196581196
ARS-1199,0,0.0,5,12.5
ARS-45,0,0.0,51,36.42857142857142
ARS-1203,0,0.0,4,10.81081081081081
ARS-93,0,0.0,116,55.50239234449761
ARS-77,0,0.0,8,13.793103448275861
ARS-4,0,0.0,24,28.57142857142857
ARS-104,0,0.0,114,50.89285714285714
ARS-1032,0,0.0,40,18.01801801801802
ARS-70,0,0.0,12,6.629834254143646
ARS-3,0,0.0,144,53.13653136531366
ARS-1279,0,0.0,66,42.30769230769231
ARS-1297,0,0.0,17,27.419354838709676
ARS-42,0,0.0,3,1.9607843137254901
ARS-14,0,0.0,57,40.42553191489361
ARS-63,0,0.0,86,47.77777777777778
ARS-51,0,0.0,201,57.42857142857143
ARS-1019,0,0.0,21,17.5
ARS-28,0,0.0,51,29.310344827586203
ARS-1427,0,0.0,4,21.052631578947366
ARS-67,0,0.0,80,44.19889502762431
ARS-1307,0,0.0,6,18.181818181818183
ARS-46,0,0.0,21,15.217391304347828
ARS-31,0,0.0,33,17.098445595854923
ARS-1004,0,0.0,37,42.5287356321839
ARS-1434,0,0.0,174,58.78378378378378
ARS-7,0,0.0,32,20.253164556962027
ARS-74,0,0.0,10,21.27659574468085
ARS-90,0,0.0,62,43.97163120567376
ARS-1036,0,0.0,91,48.148148148148145
ARS-73,0,0.0,4,12.5
ARS-100,0,0.0,21,30.88235294117647
ARS-1009,0,0.0,58,46.774193548387096
ARS-84,0,0.0,8,9.523809523809524
ARS-60,0,0.0,17,20.98765432098765
ARS-17,0,0.0,169,58.88501742160279
ARS-52,0,0.0,12,26.666666666666668
ARS-86,0,0.0,62,48.4375
ARS-68,0,0.0,50,43.47826086956522
ARS-62,0,0.0,84,44.680851063829785
ARS-15,0,0.0,89,44.27860696517413
ARS-123,0,0.0,9,9.090909090909092
ARS-1012,0,0.0,80,32.78688524590164
ARS-1168,0,0.0,5,11.363636363636363
ARS-1018,0,0.0,10,24.390243902439025
ARS-27,0,0.0,20,22.22222222222222
ARS-1330,0,0.0,9,15.0
ARS-102,0,0.0,2,5.263157894736842
ARS-1134,0,0.0,21,28.37837837837838
ARS-71,0,0.0,28,23.333333333333332
ARS-95,0,0.0,51,49.51456310679612
ARS-34,0,0.0,19,10.326086956521738
ARS-49,0,0.0,8,24.242424242424242
ARS-33,0,0.0,24,25.263157894736842
ARS-1176,0,0.0,9,20.930232558139537
ARS-1441,0,0.0,5,17.24137931034483
ARS-5,0,0.0,55,22.35772357723577
ARS-76,0,0.0,22,28.57142857142857
ARS-1034,0,0.0,8,8.333333333333332
ARS-18,0,0.0,130,55.55555555555556
ARS-81,0,0.0,63,43.75
ARS-65,0,0.0,36,16.071428571428573
ARS-1419,0,0.0,7,20.0
ARS-16,0,0.0,28,20.437956204379564
ARS-61,0,0.0,78,34.51327433628318
ARS-112,0,0.0,44,26.34730538922156
ARS-24,0,0.0,73,42.94117647058823
ARS-59,0,0.0,17,14.285714285714285
ARS-1215,0,0.0,9,9.67741935483871
ARS-120,0,0.0,58,20.422535211267608
ARS-1030,0,0.0,14,9.722222222222223
ARS-1,0,0.0,8,11.594202898550725
ARS-40,0,0.0,93,54.06976744186046
ARS-30,0,0.0,14,17.94871794871795
ARS-1037,0,0.0,41,29.28571428571429
ARS-75,0,0.0,71,39.8876404494382
ARS-1386,0,0.0,10,34.48275862068966
ARS-29,0,0.0,17,15.454545454545453
ARS-1426,0,0.0,11,10.0
ARS-115,0,0.0,61,44.52554744525548
ARS-66,0,0.0,64,23.79182156133829
ARS-11,0,0.0,32,27.11864406779661
ARS-1414,0,0.0,2,8.695652173913043
CPC-324,0,0.0,80,48.19277108433735
CPC-41,0,0.0,75,46.58385093167702
CPC-316,0,0.0,87,36.09958506224066
CPC-79,0,0.0,121,56.018518518518526
CPC-97,0,0.0,42,46.15384615384615
CPC-73,0,0.0,52,41.935483870967744
CPC-288,0,0.0,83,55.70469798657718
CPC-25,0,0.0,120,50.63291139240506
CPC-52,0,0.0,62,44.285714285714285
CPC-58,0,0.0,19,13.66906474820144
CPC-17,0,0.0,131,49.43396226415094
CPC-84,0,0.0,44,44.89795918367347
