bin,HTG
SAT-40,479
SAT-2766,69
SAT-107,318
NAT-131,1812
SP-127,841
SP-2999,1367
SP-76,194
SAT-1331,801
SP-71,409
SAT-1608,160
SAT-47,604
SAT-217,833
NP-13,1174
NAT-221,634
NAT-136,419
SAT-35,147
SAT-1449,123
SP-183,1186
NAT-253,1028
SP-245,661
NAT-282,92
SAT-49,192
SAT-98,642
SP-3018,451
NAT-138,469
SP-3982,1434
IN-3,1203
SAT-1344,1350
SAT-109,297
SP-242,934
SAT-175,691
SP-293,883
NAT-143,34
NAT-43,62
NAT-92,286
IN-17,193
SP-160,921
SAT-140,44
NP-53,598
IN-10,433
NAT-171,32
SP-167,506
SP-3109,589
NP-54,988
SP-354,186
SP-3966,113
SP-169,820
SAT-149,214
SAT-198,562
SP-3023,137
SP-38,39
SP-115,117
NP-26,85
IN-1213,642
SAT-75,889
SAT-132,636
SP-486,66
SP-3058,695
SAT-1475,852
NAT-178,929
SP-279,96
SAT-64,742
SP-3035,754
NAT-20,888
NAT-169,859
SAT-18,1148
SP-3098,181
SP-330,636
SP-52,833
SAT-189,90
SP-337,668
SP-4045,592
SAT-3021,93
IN-922,422
NAT-205,536
NP-37,1068
SP-104,116
SAT-63,1111
SP-176,1082
NAT-501,315
NAT-84,1329
SP-3040,223
NAT-55,535
NP-39,167
SP-27,196
SAT-1367,101
SAT-180,1241
SP-171,953
NAT-167,1068
NAT-239,1249
SP-282,133
SP-144,350
SAT-1507,409
SP-195,417
SAT-1610,442
NAT-245,599
NAT-67,305
SP-3072,431
SAT-23,309
SP-285,113
NAT-155,887
NAT-242,581
IN-919,808
NAT-60,388
SP-4369,527
NAT-129,222
SP-3009,487
SAT-4,592
SP-60,48
SAT-111,1035
SP-131,229
NAT-127,1309
NAT-12,74
SAT-87,593
SP-136,771
SAT-201,406
NAT-237,289
NAT-15,688
SAT-51,673
SAT-1509,114
SAT-2595,44
NAT-69,799
SAT-74,212
EAC-713,1560
SP-113,967
SAT-133,902
NAT-212,400
NP-944,52
CPC-316,1438
SP-93,539
IN-18,1094
SP-45,119
SP-94,73
EAC-17,604
CPC-50,575
NAT-269,88
SAT-73,948
SAT-134,407
NP-992,1643
SAT-2755,349
SP-3050,864
NAT-45,514
SP-2975,103
SP-166,800
SAT-197,120
NP-931,817
NAT-39,241
SP-4027,298
SP-37,153
EAC-642,772
SAT-1401,1168
EAC-65,731
EAC-62,428
SP-161,408
SAT-141,188
NP-125,505
SAT-33,483
SP-185,99
NAT-255,183
NAT-142,604
NP-1070,72
SP-182,1007
NAT-252,158
NAT-145,284
IN-5,694
EAC-50,144
SP-360,462
SP-238,41
SP-3983,1837
SP-70,891
SP-312,368
SP-4060,206
SAT-1609,1277
SAT-46,553
SAT-97,1316
SP-236,854
SAT-101,464
CPC-19,1301
EAC-108,142
CPC-323,138
SAT-117,437
IN-40,92
NAT-686,57
NAT-121,930
SAT-200,95
NAT-236,276
SP-2989,698
SAT-5,693
SP-61,408
EAC-33,610
SAT-110,744
IN-47,1020
NAT-231,84
SAT-86,177
SAT-57,954
NAT-185,30
NAT-61,1118
SAT-25,135
SAT-88,561
SAT-59,167
SP-283,75
IN-32,527
SP-145,526
NAT-182,690
SP-194,672
SP-252,858
SP-3073,39
NAT-66,232
SAT-22,435
NAT-271,570
NAT-166,36
NAT-82,1036
SAT-17,972
SP-3046,90
NAT-276,562
SP-260,648
NAT-161,193
SP-177,1519
NAT-85,424
SP-179,500
SAT-159,819
CPC-300,442
SP-105,688
NAT-113,995
SP-102,111
SAT-65,533
SP-3110,294
SP-269,135
SAT-19,646
SP-82,695
SP-331,721
SP-3048,135
SAT-6,854
NAT-188,995
SP-62,166
SAT-28,1316
NAT-125,654
NAT-232,630
IN-43,36
SAT-1388,457
IN-1311,39
NAT-249,113
IN-912,149
NAT-181,462
NAT-157,822
NAT-291,669
NAT-62,393
SAT-185,608
SP-59,691
NAT-209,382
SP-5,1700
NAT-119,583
SP-22,229
NAT-272,110
NAT-165,605
IN-929,862
NAT-200,73
SAT-121,353
SAT-66,126
SP-81,763
SP-86,249
NAT-88,399
SP-57,446
SAT-126,1732
SAT-61,11
NAT-34,649
SAT-2787,672
NAT-101,6
SAT-1585,414
SAT-2756,85
SAT-1582,124
SAT-2910,900
NAT-108,88
NAT-90,96
IN-15,75
SAT-1308,1067
NAT-46,257
NAT-173,1293
NAT-197,75
IN-27,228
NAT-146,57
IN-6,2427
IN-1,511
SAT-1346,108
IN-20,85
NAT-141,548
NAT-133,181
IN-29,337
NAT-134,494
NAT-89,1028
SP-334,154
SAT-230,2101
SAT-127,57
NAT-111,545
SP-107,786
SAT-60,526
NAT-24,561
SP-3031,322
SP-348,914
NAT-201,587
NAT-116,348
SAT-67,142
SP-3036,609
SP-3112,104
SP-333,212
SP-219,953
SAT-69,434
SAT-1415,1049
SP-341,746
SAT-183,1130
SAT-152,441
IN-928,411
SAT-184,31
NAT-163,138
SAT-129,472
SP-109,364
SP-346,613
SP-140,108
NAT-290,2606
NAT-241,859
SAT-1614,986
NAT-187,780
SP-2982,10
SP-281,739
SP-250,905
SAT-1613,45
NAT-64,749
SP-2985,608
SAT-20,866
IN-42,508
NAT-123,3193
SAT-115,115
SAT-83,1354
NAT-16,421
SAT-1358,103
SAT-52,1132
SP-149,269
NAT-248,170
NAT-158,770
SP-288,788
SP-259,445
NAT-124,934
SAT-112,521
SP-3004,121
SAT-55,32
IN-28,189
SP-299,93
SP-123,1031
SAT-103,571
SAT-43,948
SAT-92,886
NAT-225,173
NAT-132,657
SAT-104,148
NAT-259,225
SP-189,552
SP-158,287
SP-4300,63
SAT-31,1299
NAT-75,459
IN-21,794
SAT-176,1416
NAT-72,163
SP-246,373
IN-7,882
SAT-1340,481
SAT-1309,314
SP-3083,1053
SP-164,850
IN-13,607
SAT-195,1076
SAT-1403,665
SAT-2788,1154
SP-118,155
SP-3029,720
SP-350,508
NAT-109,938
SP-3055,287
NAT-40,26
NAT-91,360
NAT-175,169
SP-163,664
IN-14,417
SP-274,683
SAT-226,106
NAT-210,528
SAT-1289,772
SP-3103,147
NAT-100,61
SP-201,500
