bin,signal_CAZ_count,percent_sect_CAZ,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,percent_sect_pep,signal_pep_aa
ARS-1360,0,0,0,175065,627,3,13.043478260869565,1043
ARS-125,0,0,0,308578,1047,9,21.428571428571427,3795
ARS-13,6,24.0,3358,1116066,3438,59,38.311688311688314,30089
ARS-38,15,18.51851851851852,8394,1808461,5515,68,29.059829059829063,33581
ARS-45,5,23.809523809523807,2585,894336,2868,47,33.57142857142857,21105
ARS-93,35,42.168674698795186,20545,1087836,3353,111,53.110047846889955,72566
ARS-77,0,0,0,432900,1388,8,13.793103448275861,3075
ARS-4,3,23.076923076923077,1687,538095,1800,23,27.380952380952383,10043
ARS-104,70,49.645390070921984,35904,1089252,3516,110,49.107142857142854,75468
ARS-1032,3,10.0,1357,1314605,4207,36,16.216216216216218,14869
ARS-70,0,0,0,874875,3075,10,5.524861878453039,3984
ARS-3,17,25.0,7989,1361745,4271,137,50.55350553505535,76161
ARS-1279,4,19.047619047619047,1393,786918,2461,64,41.02564102564102,37208
ARS-1297,4,26.666666666666668,2359,411806,1290,16,25.806451612903224,6542
ARS-42,1,7.6923076923076925,735,736467,2370,3,1.9607843137254901,875
ARS-14,9,30.0,5410,973742,3008,52,36.87943262411347,27320
ARS-63,7,18.91891891891892,5862,1110164,3042,80,44.44444444444444,48553
ARS-51,120,68.96551724137932,71041,2380457,7148,201,57.42857142857143,149285
ARS-1019,6,9.375,2519,688161,2550,21,17.5,8077
ARS-67,10,20.833333333333336,6554,1307758,3717,78,43.0939226519337,46944
ARS-46,1,4.166666666666666,335,856554,2689,21,15.217391304347828,9665
ARS-31,5,10.638297872340425,2001,1280143,3907,32,16.580310880829018,13030
ARS-1004,7,22.58064516129032,5737,483024,1522,33,37.93103448275862,19860
ARS-1434,33,51.5625,28944,1794814,4663,168,56.75675675675676,108335
ARS-7,7,15.217391304347828,3047,1131945,3515,31,19.62025316455696,13456
ARS-90,12,24.0,10198,1033443,2714,58,41.13475177304964,35409
ARS-1036,16,37.2093023255814,7075,875885,2861,90,47.61904761904761,47189
ARS-100,2,18.181818181818183,2471,571457,1532,21,30.88235294117647,17665
ARS-1009,27,52.94117647058824,19871,994487,2610,56,45.16129032258064,29593
ARS-84,2,10.526315789473683,1057,551690,1738,8,9.523809523809524,3213
ARS-17,19,25.333333333333336,11038,1447249,4175,169,58.88501742160279,92092
ARS-52,0,0,0,330864,1124,11,24.444444444444443,7232
ARS-86,21,42.0,12130,671646,1896,51,39.84375,33556
ARS-68,9,24.324324324324326,8810,875410,2288,48,41.73913043478261,29616
ARS-62,34,37.77777777777778,18553,957189,3092,84,44.680851063829785,41110
